STRATEGY,FRONT,BACK,STARTTIME,ENDTIME
SLSL,XCME.ZN.0,XCME.GE.12,080000,215900
SLSL,XCME.ZN.0,XCME.GE.13,080000,215900
SLSL,XCME.ZN.0,XCME.GE.14,080000,215900
SLSL,XCME.ZN.0,XCME.GE.15,080000,215900
SLSL,XCME.ZN.0,XCME.GE.16,080000,215900
SLSL,XCME.ZN.0,XCME.GE.17,080000,215900
SLSL,XCME.ZN.0,XCME.GE.18,080000,215900
SLSL,XCME.ZN.0,XCME.GE.19,080000,215900
SLSL,XCME.ZN.0,XCME.GE.20,080000,215900
SLSL,XCME.ZN.0,XCME.GE.21,080000,215900
SLSL,XCME.ZN.0,XCME.GE.22,080000,215900
SLSL,XCME.ZN.0,XCME.GE.23,080000,215900
SLSL,XCME.ZN.0,XCME.GE.24,080000,215900
SLSL,XCME.ZN.0,XCME.GE.25,080000,215900
SLSL,XCME.ZN.0,XCME.GE.26,080000,215900
SLSL,XCME.ZN.0,XCME.GE.27,080000,215900
SLSL,XCME.ZN.0,XCME.GE.28,080000,215900
SLSL,XCME.ZB.0,XCME.GE.12,080000,215900
SLSL,XCME.ZB.0,XCME.GE.13,080000,215900
SLSL,XCME.ZB.0,XCME.GE.14,080000,215900
SLSL,XCME.ZB.0,XCME.GE.15,080000,215900
SLSL,XCME.ZB.0,XCME.GE.16,080000,215900
SLSL,XCME.ZB.0,XCME.GE.17,080000,215900
SLSL,XCME.ZB.0,XCME.GE.18,080000,215900
SLSL,XCME.ZB.0,XCME.GE.19,080000,215900
SLSL,XCME.ZB.0,XCME.GE.20,080000,215900
SLSL,XCME.ZB.0,XCME.GE.21,080000,215900
SLSL,XCME.ZB.0,XCME.GE.22,080000,215900
SLSL,XCME.ZB.0,XCME.GE.23,080000,215900
SLSL,XCME.ZB.0,XCME.GE.24,080000,215900
SLSL,XCME.ZB.0,XCME.GE.25,080000,215900
SLSL,XCME.ZB.0,XCME.GE.26,080000,215900
SLSL,XCME.ZB.0,XCME.GE.27,080000,215900
SLSL,XCME.ZB.0,XCME.GE.28,080000,215900
SLSL,XEUR.FGBL.0,XLIF.I.5,080000,215900
SLSL,XEUR.FGBL.0,XLIF.I.6,080000,215900
SLSL,XEUR.FGBL.0,XLIF.I.7,080000,215900
SLSL,XEUR.FGBL.0,XLIF.I.8,080000,215900
SLSL,XEUR.FGBL.0,XLIF.I.9,080000,215900
SLSL,XEUR.FGBL.0,XLIF.I.10,080000,215900
SLSL,XEUR.FGBL.0,XLIF.I.11,080000,215900
SLSL,XEUR.FGBL.0,XLIF.I.12,080000,215900
SLSL,XEUR.FGBL.0,XLIF.I.13,080000,215900
SLSL,XEUR.FGBL.0,XLIF.I.14,080000,215900
SLSL,XEUR.FGBL.0,XLIF.I.15,080000,215900
SLSL,XEUR.FGBL.0,XLIF.I.16,080000,215900
SLSL,XEUR.FGBM.0,XLIF.I.5,080000,215900
SLSL,XEUR.FGBM.0,XLIF.I.6,080000,215900
SLSL,XEUR.FGBM.0,XLIF.I.7,080000,215900
SLSL,XEUR.FGBM.0,XLIF.I.8,080000,215900
SLSL,XEUR.FGBM.0,XLIF.I.9,080000,215900
SLSL,XEUR.FGBM.0,XLIF.I.10,080000,215900
SLSL,XEUR.FGBM.0,XLIF.I.11,080000,215900
SLSL,XEUR.FGBM.0,XLIF.I.12,080000,215900
SLSL,XEUR.FGBM.0,XLIF.I.13,080000,215900
SLSL,XEUR.FGBM.0,XLIF.I.14,080000,215900
SLSL,XEUR.FGBM.0,XLIF.I.15,080000,215900
SLSL,XEUR.FGBM.0,XLIF.I.16,080000,215900
SLSL,XEUR.FGBS.0,XLIF.I.5,080000,215900
SLSL,XEUR.FGBS.0,XLIF.I.6,080000,215900
SLSL,XEUR.FGBS.0,XLIF.I.7,080000,215900
SLSL,XEUR.FGBS.0,XLIF.I.8,080000,215900
SLSL,XEUR.FGBS.0,XLIF.I.9,080000,215900
SLSL,XEUR.FGBS.0,XLIF.I.10,080000,215900
SLSL,XEUR.FGBS.0,XLIF.I.11,080000,215900
SLSL,XEUR.FGBS.0,XLIF.I.12,080000,215900
SLSL,XEUR.FGBS.0,XLIF.I.13,080000,215900
SLSL,XEUR.FGBS.0,XLIF.I.14,080000,215900
SLSL,XEUR.FGBS.0,XLIF.I.15,080000,215900
SLSL,XEUR.FGBS.0,XLIF.I.16,080000,215900
SLSL,XLIF.R.0,XLIF.L.5,090000,185900
SLSL,XLIF.R.0,XLIF.L.6,090000,185900
SLSL,XLIF.R.0,XLIF.L.7,090000,185900
SLSL,XLIF.R.0,XLIF.L.8,090000,185900
SLSL,XLIF.R.0,XLIF.L.9,090000,185900
SLSL,XLIF.R.0,XLIF.L.10,090000,185900
SLSL,XLIF.R.0,XLIF.L.11,090000,185900
SLSL,XLIF.R.0,XLIF.L.12,090000,185900
