ROOT EXPIRIES STARTTIME ENDTIME
XCME.UB 2 020000 230000
XCME.ZB 2 020000 230000
XCME.ZN 2 020000 230000
XCME.ZF 2 020000 230000
XCME.ZT 2 020000 230000
XEUR.FGBX 2 080000 215900
XEUR.FGBL 2 080000 215900
XEUR.FGBM 2 080000 215900
XEUR.FGBS 2 080000 215900
XEUR.FOAT 2 080000 185900
XEUR.FBTP 2 080000 185900
XEUR.FBTS 2 080000 185900
XEUR.FESX 2 080000 215900
XEUR.FESB 2 080000 215900
XEUR.FDAX 2 080000 215900
XLIF.R 2 090000 185900
XLIF.Z 2 090000 185900
XCME.GE 30 020000 230000
XLIF.I 20 080000 215900
XLIF.L 16 090000 185900
XCME.6E 2 020000 230000
XCME.6B 2 020000 230000
XCME.6A 2 020000 230000
XCME.6C 2 020000 230000
XCME.6J 2 020000 230000
XCME.6M 2 020000 230000
XCME.6N 2 020000 230000
XCME.YM 2 020000 230000
XCME.ES 2 020000 230000
XCME.EMD 2 020000 230000
XCME.NIY 2 020000 230000
XCME.NQ 2 020000 230000
XLIF.FCE 2 080000 215900
XLIF.FTI 2 080000 215900
XTMX.CGB 2 080000 215900
XTMX.BAX 8 080000 215900
XTMX.SXF 2 080000 215900
XASX.XT 2 080000 215900
XASX.YT 2 080000 215900
XASX.IR 8 080000 215900
XASX.AP 2 080000 215900
