RUB_WomenDay;20150309;00:00;Women Day;Russia;RUB;0
AUD_ANZJobAdvertisements;20150309;00:30;ANZ Job Advertisements;Australia;AUD;1
JPY_CentralBankSpeech;20150309;01:00;BoJ Nakaso speech;Japan;JPY;1
JPY_EcoWatchersSurvey:Current;20150309;05:00;Eco Watchers Survey: Current;Japan;JPY;2
JPY_EcoWatchersSurvey:Outlook;20150309;05:00;Eco Watchers Survey: Outlook;Japan;JPY;2
CZK_ForeignTradeBalance;20150309;07:00;Foreign Trade Balance (MoM);Czech Republic;CZK;1
EUR_GerImports;20150309;07:00;Imports (MoM);Germany;EUR;1
EUR_GerCurrentAccount;20150309;07:00;Current Account n.s.a.;Germany;EUR;1
EUR_GerExports;20150309;07:00;Exports (MoM);Germany;EUR;1
EUR_GerTradeBalance;20150309;07:00;Trade Balance s.a.;Germany;EUR;2
CZK_ConsumerPriceIndex;20150309;08:00;Consumer Price Index (YoY);Czech Republic;CZK;1
CZK_UnemploymentRate;20150309;08:00;Unemployment Rate;Czech Republic;CZK;1
TRY_IndustrialProduction;20150309;08:00;Industrial Production (YoY);Turkey;TRY;1
EUR_EurSentixInvestorConfidence;20150309;09:30;Sentix Investor Confidence;European Monetary Union;EUR;1
CLP_TradeBalance;20150309;11:30;Trade Balance;Chile;CLP;1
CAD_HousingStarts;20150309;12:15;Housing Starts s.a (YoY);Canada;CAD;2
MXN_HeadlineInflation;20150309;14:00;Headline Inflation;Mexico;MXN;1
MXN_12MonthInflation;20150309;14:00;12-Month Inflation;Mexico;MXN;1
USD_LaborMarketConditionsIndex;20150309;14:00;Labor Market Conditions Index;United States;USD;2
EUR_EurEurogroupMeeting;20150309;14:00;Eurogroup Meeting;European Monetary Union;EUR;3
MXN_CoreInflation;20150309;14:00;Core Inflation;Mexico;MXN;1
USD_Auction;20150309;15:30;6-Month Bill Auction;United States;USD;1
EUR_GerCentralBankSpeech;20150309;17:30;German Buba President Weidmann speech;Germany;EUR;2
NZD_RetailSales;20150309;21:45;Electronic Card Retail Sales (YoY);New Zealand;NZD;1
USD_CentralBankSpeech;20150309;23:30;Fed Richard Fisher speech;United States;USD;2
JPY_MoneySupplyM2+CD;20150309;23:50;Money Supply M2+CD (YoY);Japan;JPY;1
