BRL_TiradentesDay;20150421;00:00;Tiradentes Day;Brazil;BRL;0
AUD_RBAMeetingMinutes;20150421;01:30;RBA Meeting Minutes;Australia;AUD;2
JPY_CoincidentIndex;20150421;05:00;Coincident Index;Japan;JPY;2
JPY_LeadingEconomicIndex;20150421;05:00;Leading Economic Index;Japan;JPY;2
HUF_GrossWages;20150421;07:00;Gross Wages (YoY);Hungary;HUF;1
SEK_UnemploymentRate;20150421;07:30;Unemployment Rate;Sweden;SEK;1
EUR_EurZEWSurvey–EconomicSentiment;20150421;09:00;ZEW Survey – Economic Sentiment;European Monetary Union;EUR;2
EUR_GerZEWSurvey–CurrentSituation;20150421;09:00;ZEW Survey – Current Situation;Germany;EUR;2
EUR_GerZEWSurvey–EconomicSentiment;20150421;09:00;ZEW Survey – Economic Sentiment;Germany;EUR;3
GBP_Auction;20150421;09:52;30-y Bond Auction;United Kingdom;GBP;1
HUF_MNBInterestRateDecision;20150421;12:00;MNB Interest Rate Decision;Hungary;HUF;1
CAD_WholesaleSales;20150421;12:30;Wholesale Sales (MoM);Canada;CAD;1
USD_RedbookIndex;20150421;12:55;Redbook Index (YoY);United States;USD;1
USD_Auction;20150421;15:30;4-Week Bill Auction;United States;USD;1
CAD_AnnualBudgetRelease;20150421;20:00;Annual Budget Release;Canada;CAD;1
JPY_AdjustedMerchandiseTradeBalance;20150421;23:50;Adjusted Merchandise Trade Balance;Japan;JPY;2
JPY_Imports;20150421;23:50;Imports (YoY);Japan;JPY;1
JPY_MerchandiseTradeBalanceTotal;20150421;23:50;Merchandise Trade Balance Total;Japan;JPY;2
JPY_Exports;20150421;23:50;Exports (YoY);Japan;JPY;1
