AUD_WagePriceIndex;20150513;01:30;Wage Price Index (YoY);Australia;AUD;1
JPY_CentralBankSpeech;20150513;02:45;BoJ Sato speech;Japan;JPY;1
JPY_EcoWatchersSurvey:Outlook;20150513;05:00;Eco Watchers Survey: Outlook;Japan;JPY;2
JPY_EcoWatchersSurvey:Current;20150513;05:00;Eco Watchers Survey: Current;Japan;JPY;2
CNY_RetailSales;20150513;05:30;Retail Sales (YoY);China;CNY;2
EUR_FraGrossDomesticProduct;20150513;05:30;Gross Domestic Product (YoY);France;EUR;1
CNY_IndustrialProduction;20150513;05:30;Industrial Production (YoY);China;CNY;2
CNY_FixedAssetInvestment;20150513;05:30;Fixed Asset Investment (YTD) (YoY);China;CNY;1
EUR_GerWholesalePriceIndex;20150513;06:00;Wholesale Price Index (YoY);Germany;EUR;1
EUR_GerConsumerPriceIndex;20150513;06:00;Consumer Price Index (MoM);Germany;EUR;2
EUR_GerHarmonizedIndexofConsumerPrices;20150513;06:00;Harmonized Index of Consumer Prices (YoY);Germany;EUR;2
EUR_GerGrossDomesticProduct;20150513;06:00;Gross Domestic Product (QoQ);Germany;EUR;3
EUR_FraConsumerPriceIndex;20150513;06:45;Consumer Price Index (EU norm) (YoY);France;EUR;1
EUR_FraCurrentAccount;20150513;06:45;Current Account;France;EUR;1
EUR_FraInflationextobacco;20150513;06:45;Inflation ex-tobacco (MoM);France;EUR;1
EUR_FraNonfarmPayrolls;20150513;06:45;Nonfarm Payrolls (QoQ);France;EUR;1
RON_GrossDomesticProduct;20150513;07:00;Gross Domestic Product;Romania;RON;1
HUF_GrossDomesticProduct;20150513;07:00;Gross Domestic Product (YoY);Hungary;HUF;1
EUR_ItaGrossDomesticProduct;20150513;08:00;Gross Domestic Product (QoQ);Italy;EUR;1
GBP_ClaimantCountChange;20150513;08:30;Claimant Count Change;United Kingdom;GBP;2
GBP_ClaimantCountRate;20150513;08:30;Claimant Count Rate;United Kingdom;GBP;2
GBP_AverageEarningsIncludingBonus;20150513;08:30;Average Earnings Including Bonus (3Mo/Yr);United Kingdom;GBP;2
GBP_AverageEarningsExcludingBonus;20150513;08:30;Average Earnings Excluding Bonus (3Mo/Yr);United Kingdom;GBP;2
GBP_ILOUnemploymentRate;20150513;08:30;ILO Unemployment Rate (3M);United Kingdom;GBP;2
EUR_EurGrossDomesticProduct;20150513;09:00;Gross Domestic Product s.a. (QoQ);European Monetary Union;EUR;2
EUR_GerAuction;20150513;09:00;10-y Bond Auction;Germany;EUR;2
EUR_ItaConsumerPriceIndex;20150513;09:00;Consumer Price Index (EU Norm) (YoY);Italy;EUR;1
EUR_EurIndustrialProduction;20150513;09:00;Industrial Production s.a. (MoM);European Monetary Union;EUR;2
GBP_BankofEnglandMonetaryPolicyReport;20150513;09:30;Bank of England Monetary Policy Report;United Kingdom;GBP;3
GBP_CentralBankSpeech;20150513;09:30;BoE Governor Carney speech;United Kingdom;GBP;3
USD_MBAMortgageApplications;20150513;11:00;MBA Mortgage Applications;United States;USD;1
INR_M3MoneySupply;20150513;11:30;M3 Money Supply;India;INR;1
USD_RetailSales;20150513;12:30;Retail Sales (MoM);United States;USD;3
USD_ImportPriceIndex;20150513;12:30;Import Price Index (MoM);United States;USD;1
USD_ExportPriceIndex;20150513;12:30;Export Price Index (MoM);United States;USD;1
USD_BusinessInventories;20150513;14:00;Business Inventories;United States;USD;1
USD_EIACrudeOilStocksChange;20150513;14:30;EIA Crude Oil Stocks Change;United States;USD;1
CNY_NewLoans;20150513;14:36;New Loans;China;CNY;3
CNY_M2MoneySupply;20150513;14:36;M2 Money Supply (YoY);China;CNY;1
EUR_FraAuction;20150513;14:37;10-y Bond Auction;France;EUR;1
USD_Auction;20150513;17:00;10-Year Note Auction;United States;USD;2
NZD_BusinessNZPMI;20150513;22:30;Business NZ PMI;New Zealand;NZD;2
NZD_RetailSales;20150513;22:45;Retail Sales ex Autos (QoQ);New Zealand;NZD;2
GBP_RICSHousingPriceBalance;20150513;23:01;RICS Housing Price Balance;United Kingdom;GBP;2
JPY_MoneySupplyM2+CD;20150513;23:50;Money Supply M2+CD (YoY);Japan;JPY;1
JPY_ForeignInvestmentinJapanStocks;20150513;23:50;Foreign Investment in Japan Stocks;Japan;JPY;2
JPY_ForeignBondInvestment;20150513;23:50;Foreign Bond Investment;Japan;JPY;2
