CHF_EmploymentLevel;20150526;07:15;Employment Level (QoQ);Switzerland;CHF;2
SEK_ProducerPriceIndex;20150526;07:30;Producer Price Index (YoY);Sweden;SEK;1
PLN_Unemployment;20150526;08:00;Unemployment (MoM);Poland;PLN;1
ZAR_GrossDomesticProduct;20150526;09:30;Gross Domestic Product (QoQ);South Africa;ZAR;1
GBP_CBIDistributiveTradesSurvey–Realized;20150526;10:00;CBI Distributive Trades Survey – Realized (MoM);United Kingdom;GBP;1
ZAR_UnemploymentRate;20150526;11:00;Unemployment Rate (%);South Africa;ZAR;1
ZAR_UnemploymentTotal;20150526;11:00;Unemployment Total ;South Africa;ZAR;1
HUF_MNBInterestRateDecision;20150526;12:00;MNB Interest Rate Decision;Hungary;HUF;1
BRL_CurrentAccount;20150526;12:30;Current Account;Brazil;BRL;1
USD_DurableGoodsOrders;20150526;12:30;Durable Goods Orders ex Transportation;United States;USD;3
USD_S&PCaseShillerHomePriceIndices;20150526;13:00;S&P/Case-Shiller Home Price Indices (YoY);United States;USD;2
MXN_RetailSales;20150526;13:00;Retail Sales (YoY);Mexico;MXN;1
USD_HousingPriceIndex;20150526;13:00;Housing Price Index (MoM);United States;USD;2
USD_S&PGlobalCompositePMI;20150526;13:45;S&P Global Composite PMI;United States;USD;2
USD_S&PGlobalServicesPMI;20150526;13:45;S&P Global Services PMI;United States;USD;2
USD_ConsumerConfidence;20150526;14:00;Consumer Confidence;United States;USD;2
USD_NewHomeSalesChange;20150526;14:00;New Home Sales Change (MoM);United States;USD;2
USD_NewHomeSales;20150526;14:00;New Home Sales (MoM);United States;USD;2
USD_RichmondFedManufacturingIndex;20150526;14:00;Richmond Fed Manufacturing Index;United States;USD;1
USD_DallasFedManufacturingBusinessIndex;20150526;14:30;Dallas Fed Manufacturing Business Index;United States;USD;2
USD_CentralBankSpeech;20150526;16:30;Fed Stanley Fischer speech;United States;USD;2
USD_Auction;20150526;17:00;2-Year Note Auction;United States;USD;1
JPY_BoJMonetaryPolicyMeetingMinutes;20150526;23:50;BoJ Monetary Policy Meeting Minutes;Japan;JPY;2
