AUD_QueenBirthday;20150608;00:00;Queen Birthday;Australia;AUD;0
EUR_EurG7Meeting;20150608;00:00;G7 Meeting;European Monetary Union;EUR;3
COP_CorpusChristi;20150608;00:00;Corpus Christi;Colombia;COP;0
CNY_TradeBalanceCNY;20150608;02:00;Trade Balance CNY;China;CNY;2
CNY_TradeBalanceUSD;20150608;02:26;Trade Balance USD;China;CNY;2
CNY_Exports;20150608;02:26;Exports (YoY);China;CNY;2
CNY_Imports;20150608;02:26;Imports (YoY);China;CNY;2
JPY_EcoWatchersSurvey:Outlook;20150608;05:00;Eco Watchers Survey: Outlook;Japan;JPY;2
JPY_EcoWatchersSurvey:Current;20150608;05:00;Eco Watchers Survey: Current;Japan;JPY;2
EUR_GerIndustrialProduction;20150608;06:00;Industrial Production n.s.a. w.d.a. (YoY);Germany;EUR;2
EUR_GerCurrentAccount;20150608;06:00;Current Account n.s.a.;Germany;EUR;2
EUR_GerImports;20150608;06:00;Imports (MoM);Germany;EUR;2
EUR_GerTradeBalance;20150608;06:00;Trade Balance s.a.;Germany;EUR;2
EUR_GerExports;20150608;06:00;Exports (MoM);Germany;EUR;2
CZK_UnemploymentRate;20150608;07:00;Unemployment Rate;Czech Republic;CZK;1
TRY_IndustrialProduction;20150608;07:00;Industrial Production (YoY);Turkey;TRY;1
CZK_IndustrialProduction;20150608;07:00;Industrial Production (YoY);Czech Republic;CZK;1
DKK_IndustrialProduction;20150608;07:00;Industrial Production (MoM);Denmark;DKK;1
CZK_Constructionoutput;20150608;07:00;Construction output (YoY);Czech Republic;CZK;1
CZK_ForeignTradeBalance;20150608;07:00;Foreign Trade Balance (MoM);Czech Republic;CZK;1
CZK_FXReserves;20150608;08:00;FX Reserves;Czech Republic;CZK;1
EUR_EurSentixInvestorConfidence;20150608;08:30;Sentix Investor Confidence;European Monetary Union;EUR;1
CLP_ConsumerPriceIndex;20150608;12:00;Consumer Price Index (Inflation) (MoM);Chile;CLP;1
CAD_HousingStarts;20150608;12:15;Housing Starts s.a (YoY);Canada;CAD;2
CAD_BuildingPermits;20150608;12:30;Building Permits (MoM);Canada;CAD;1
CLP_TradeBalance;20150608;12:30;Trade Balance;Chile;CLP;1
USD_LaborMarketConditionsIndex;20150608;14:00;Labor Market Conditions Index;United States;USD;2
HUF_BudgetBalance;20150608;14:00;Budget Balance;Hungary;HUF;1
USD_Auction;20150608;15:30;3-Month Bill Auction;United States;USD;1
NZD_ManufacturingSales;20150608;22:45;Manufacturing Sales;New Zealand;NZD;1
GBP_RetailSales;20150608;23:01;BRC Like-For-Like Retail Sales (YoY);United Kingdom;GBP;2
JPY_MoneySupplyM2+CD;20150608;23:50;Money Supply M2+CD (YoY);Japan;JPY;1
