TRY_SacrificeFeast;20150923;00:00;Sacrifice Feast;Turkey;TRY;0
JPY_AutumnalEquinoxDay;20150923;00:00;Autumnal Equinox Day;Japan;JPY;0
CNY_CaixinManufacturingPMI;20150923;01:45;Caixin Manufacturing PMI;China;CNY;2
EUR_FraGrossDomesticProduct;20150923;06:45;Gross Domestic Product (YoY);France;EUR;1
EUR_FraHCOBManufacturingPMI;20150923;07:00;HCOB Manufacturing PMI;France;EUR;1
EUR_FraHCOBServicesPMI;20150923;07:00;HCOB Services PMI;France;EUR;1
EUR_FraHCOBCompositePMI;20150923;07:00;HCOB Composite PMI;France;EUR;1
HUF_CurrentAccount;20150923;07:30;Current Account Balance (QoQ);Hungary;HUF;1
EUR_GerHCOBManufacturingPMI;20150923;07:30;HCOB Manufacturing PMI;Germany;EUR;2
EUR_GerHCOBServicesPMI;20150923;07:30;HCOB Services PMI;Germany;EUR;2
EUR_GerHCOBCompositePMI;20150923;07:30;HCOB Composite PMI;Germany;EUR;2
PLN_Unemployment;20150923;08:00;Unemployment (MoM);Poland;PLN;1
ZAR_ConsumerPriceIndex;20150923;08:00;Consumer Price Index (YoY);South Africa;ZAR;1
NOK_LabourForceSurvey;20150923;08:00;Labour Force Survey;Norway;NOK;1
EUR_EurHCOBServicesPMI;20150923;08:00;HCOB Services PMI;European Monetary Union;EUR;2
EUR_EurHCOBManufacturingPMI;20150923;08:00;HCOB Manufacturing PMI;European Monetary Union;EUR;2
EUR_EurHCOBCompositePMI;20150923;08:00;HCOB Composite PMI;European Monetary Union;EUR;2
ZAR_ProducerPriceIndex;20150923;09:30;Producer Price Index (YoY);South Africa;ZAR;1
USD_MBAMortgageApplications;20150923;11:00;MBA Mortgage Applications;United States;USD;1
CAD_RetailSales;20150923;12:30;Retail Sales (MoM);Canada;CAD;1
CHF_SNBQuarterlyBulletin;20150923;13:00;SNB Quarterly Bulletin;Switzerland;CHF;2
EUR_EurCentralBankSpeech;20150923;13:00;ECB President Draghi speech;European Monetary Union;EUR;3
MXN_RetailSales;20150923;13:00;Retail Sales (YoY);Mexico;MXN;1
ZAR_SARBInterestRateDecision;20150923;13:00;SARB Interest Rate Decision;South Africa;ZAR;1
BRL_CurrentAccount;20150923;13:30;Current Account;Brazil;BRL;1
USD_S&PGlobalManufacturingPMI;20150923;13:45;S&P Global Manufacturing PMI;United States;USD;2
USD_EIACrudeOilStocksChange;20150923;14:30;EIA Crude Oil Stocks Change;United States;USD;1
GBP_CentralBankSpeech;20150923;16:00;BoE Broadbent speech;United Kingdom;GBP;1
USD_CentralBankSpeech;20150923;16:30;Fed Lockhart speech;United States;USD;1
USD_Auction;20150923;17:00;5-Year Note Auction;United States;USD;1
NZD_TradeBalanceNZD;20150923;22:45;Trade Balance NZD (YoY);New Zealand;NZD;2
NZD_Exports;20150923;22:45;Exports;New Zealand;NZD;2
NZD_Imports;20150923;22:45;Imports;New Zealand;NZD;2
