CZK_StWenceslasDay;20150928;00:00;St Wenceslas Day ;Czech Republic;CZK;0
KRW_HarvestFestival;20150928;00:00;Harvest Festival ;South Korea;KRW;0
JPY_CoincidentIndex;20150928;05:00;Coincident Index;Japan;JPY;2
JPY_LeadingEconomicIndex;20150928;05:00;Leading Economic Index;Japan;JPY;2
SEK_RetailSales;20150928;07:30;Retail Sales (MoM);Sweden;SEK;1
SEK_TradeBalance;20150928;07:30;Trade Balance (MoM);Sweden;SEK;1
EUR_ItaBusinessConfidence;20150928;08:00;Business Confidence;Italy;EUR;1
EUR_ItaConsumerConfidence;20150928;08:00;Consumer Confidence;Italy;EUR;1
TRY_ManufacturingConfidence;20150928;11:30;Manufacturing Confidence;Turkey;TRY;1
TRY_CapacityUtilization;20150928;11:30;Capacity Utilization;Turkey;TRY;1
USD_PersonalIncome;20150928;12:30;Personal Income (MoM);United States;USD;2
USD_CorePersonalConsumptionExpendituresPriceIndex;20150928;12:30;Core Personal Consumption Expenditures - Price Index (MoM);United States;USD;2
USD_PersonalConsumptionExpendituresPriceIndex;20150928;12:30;Personal Consumption Expenditures - Price Index (YoY);United States;USD;1
USD_PersonalSpending;20150928;12:30;Personal Spending;United States;USD;2
MXN_JoblessRate;20150928;13:00;Jobless Rate;Mexico;MXN;1
USD_PendingHomeSales;20150928;14:00;Pending Home Sales (MoM);United States;USD;2
USD_DallasFedManufacturingBusinessIndex;20150928;14:30;Dallas Fed Manufacturing Business Index;United States;USD;2
USD_Auction;20150928;15:30;3-Month Bill Auction;United States;USD;1
USD_CentralBankSpeech;20150928;21:00;Fed Williams speech;United States;USD;1
