CHF_UBSConsumptionIndicator;20151027;07:00;UBS Consumption Indicator;Switzerland;CHF;2
TRY_EconomicConfidenceIndex;20151027;07:00;Economic Confidence Index;Turkey;TRY;1
SEK_ConsumerConfidence;20151027;08:00;Consumer Confidence (MoM);Sweden;SEK;1
SEK_ProducerPriceIndex;20151027;08:30;Producer Price Index (MoM);Sweden;SEK;1
SEK_TradeBalance;20151027;08:30;Trade Balance (MoM);Sweden;SEK;1
TRY_ForeignArrivals;20151027;09:00;Foreign Arrivals;Turkey;TRY;1
EUR_EurM3MoneySupply;20151027;09:00;M3 Money Supply (3m);European Monetary Union;EUR;1
EUR_EurPrivateLoans;20151027;09:00;Private Loans (YoY);European Monetary Union;EUR;1
GBP_GrossDomesticProduct;20151027;09:30;Gross Domestic Product (QoQ);United Kingdom;GBP;2
GBP_IndexofServices;20151027;09:30;Index of Services (3M/3M);United Kingdom;GBP;1
ZAR_UnemploymentRate;20151027;09:30;Unemployment Rate (%);South Africa;ZAR;1
ZAR_UnemploymentTotal;20151027;09:30;Unemployment Total ;South Africa;ZAR;1
GBP_Auction;20151027;10:50;10-y Bond Auction;United Kingdom;GBP;1
USD_DurableGoodsOrders;20151027;12:30;Durable Goods Orders ex Transportation;United States;USD;2
USD_RedbookIndex;20151027;12:55;Redbook Index (YoY);United States;USD;1
USD_S&PCaseShillerHomePriceIndices;20151027;13:00;S&P/Case-Shiller Home Price Indices (YoY);United States;USD;2
USD_S&PGlobalCompositePMI;20151027;13:45;S&P Global Composite PMI;United States;USD;2
USD_S&PGlobalServicesPMI;20151027;13:45;S&P Global Services PMI;United States;USD;2
MXN_TradeBalancesa;20151027;14:00;Trade Balance s/a, $;Mexico;MXN;1
MXN_TradeBalance;20151027;14:00;Trade Balance, $;Mexico;MXN;1
USD_ConsumerConfidence;20151027;14:00;Consumer Confidence;United States;USD;3
USD_RichmondFedManufacturingIndex;20151027;14:00;Richmond Fed Manufacturing Index;United States;USD;1
CAD_CentralBankSpeech;20151027;15:20;BoC Lane speech;Canada;CAD;1
USD_Auction;20151027;15:30;4-Week Bill Auction;United States;USD;1
USD_APIWeeklyCrudeOilStock;20151027;21:30;API Weekly Crude Oil Stock;United States;USD;1
JPY_LargeRetailerSales;20151027;23:50;Large Retailer Sales;Japan;JPY;2
JPY_RetailTrade;20151027;23:50;Retail Trade s.a (MoM);Japan;JPY;2
