MXN_ConstitutionDay;20160201;00:00;Constitution Day;Mexico;MXN;0
KRW_TradeBalance;20160201;00:00;Trade Balance;South Korea;KRW;1
CNY_NonManufacturingPMI;20160201;01:00;Non-Manufacturing PMI;China;CNY;2
CNY_NBSManufacturingPMI;20160201;01:00;NBS Manufacturing PMI;China;CNY;2
KRW_S&PGlobalManufacturingPMI;20160201;01:30;S&P Global Manufacturing PMI;South Korea;KRW;1
CNY_CaixinManufacturingPMI;20160201;01:45;Caixin Manufacturing PMI;China;CNY;2
JPY_JibunBankManufacturingPMI;20160201;02:00;Jibun Bank Manufacturing PMI;Japan;JPY;1
IDR_Inflation;20160201;04:00;Inflation (MoM);Indonesia;IDR;1
IDR_CoreInflation;20160201;04:00;Core Inflation (YoY);Indonesia;IDR;1
JPY_VehicleSales;20160201;05:00;Vehicle Sales (YoY);Japan;JPY;1
AUD_RBACommodityIndexSDR;20160201;05:30;RBA Commodity Index SDR (YoY);Australia;AUD;1
RUB_S&PGlobalManufacturingPMI;20160201;06:00;S&P Global Manufacturing PMI;Russia;RUB;1
SEK_PurchasingManagersIndexManufacturing;20160201;07:30;Purchasing Managers Index Manufacturing (MoM);Sweden;SEK;2
HUF_PurchasingManagerIndex;20160201;08:00;Purchasing Manager Index;Hungary;HUF;1
PLN_PurchasingManagerIndex;20160201;08:00;Purchasing Manager Index;Poland;PLN;2
CHF_SVMEPurchasingManagers'Index;20160201;08:30;SVME - Purchasing Managers' Index;Switzerland;CHF;1
CZK_S&PGlobalPMI;20160201;08:30;S&P Global PMI;Czech Republic;CZK;1
EUR_ItaHCOBManufacturingPMI;20160201;08:45;HCOB Manufacturing PMI;Italy;EUR;1
EUR_FraHCOBManufacturingPMI;20160201;08:50;HCOB Manufacturing PMI;France;EUR;1
EUR_GerHCOBManufacturingPMI;20160201;08:55;HCOB Manufacturing PMI;Germany;EUR;2
TRY_Exports;20160201;09:00;Exports;Turkey;TRY;1
EUR_EurHCOBManufacturingPMI;20160201;09:00;HCOB Manufacturing PMI;European Monetary Union;EUR;2
GBP_NetLendingtoIndividuals;20160201;09:30;Net Lending to Individuals (MoM);United Kingdom;GBP;1
GBP_ConsumerCredit;20160201;09:30;Consumer Credit;United Kingdom;GBP;2
GBP_MortgageApprovals;20160201;09:30;Mortgage Approvals;United Kingdom;GBP;2
GBP_S&PGlobalCIPSManufacturingPMI;20160201;09:30;S&P Global/CIPS Manufacturing PMI;United Kingdom;GBP;2
GBP_M4MoneySupply;20160201;09:30;M4 Money Supply (MoM);United Kingdom;GBP;1
ZAR_TotalNewVehicleSales;20160201;10:00;Total New Vehicle Sales;South Africa;ZAR;1
BRL_S&PGlobalManufacturingPMI;20160201;12:00;S&P Global Manufacturing PMI;Brazil;BRL;1
CZK_BudgetBalance;20160201;13:00;Budget Balance;Czech Republic;CZK;1
USD_PersonalConsumptionExpendituresPriceIndex;20160201;13:30;Personal Consumption Expenditures - Price Index (YoY);United States;USD;2
USD_CorePersonalConsumptionExpendituresPriceIndex;20160201;13:30;Core Personal Consumption Expenditures - Price Index (MoM);United States;USD;2
USD_PersonalIncome;20160201;13:30;Personal Income (MoM);United States;USD;2
USD_PersonalSpending;20160201;13:30;Personal Spending;United States;USD;2
CAD_S&PGlobalManufacturingPMI;20160201;14:30;S&P Global Manufacturing PMI;Canada;CAD;2
USD_S&PGlobalManufacturingPMI;20160201;14:45;S&P Global Manufacturing PMI;United States;USD;2
USD_ISMManufacturingPMI;20160201;15:00;ISM Manufacturing PMI;United States;USD;2
USD_ISMManufacturingPricesPaid;20160201;15:00;ISM Manufacturing Prices Paid;United States;USD;2
USD_ConstructionSpending;20160201;15:00;Construction Spending (MoM);United States;USD;2
EUR_EurCentralBankSpeech;20160201;16:00;ECB President Draghi speech;European Monetary Union;EUR;3
USD_Auction;20160201;16:30;3-Month Bill Auction;United States;USD;1
BRL_TradeBalance;20160201;17:00;Trade Balance;Brazil;BRL;1
USD_CentralBankSpeech;20160201;18:00;Fed Stanley Fischer speech;United States;USD;2
USD_LoanOfficerSurvey;20160201;19:00;Loan Officer Survey;United States;USD;1
KRW_ConsumerPriceIndex;20160201;23:00;Consumer Price Index Growth (YoY);South Korea;KRW;1
JPY_MonetaryBase;20160201;23:50;Monetary Base (YoY);Japan;JPY;1
