RUB_DefenceoftheFatherland;20160223;00:00;Defence of the Fatherland;Russia;RUB;0
EUR_GerGrossDomesticProduct;20160223;07:00;Gross Domestic Product w.d.a (YoY);Germany;EUR;2
EUR_FraBusinessClimateinManufacturing;20160223;07:45;Business Climate in Manufacturing;France;EUR;1
CZK_ProducerPriceIndex;20160223;08:00;Producer Price Index (YoY);Czech Republic;CZK;1
PLN_Unemployment;20160223;09:00;Unemployment (MoM);Poland;PLN;1
EUR_GerIFO–BusinessClimate;20160223;09:00;IFO – Business Climate;Germany;EUR;2
EUR_GerIFO–CurrentAssessment;20160223;09:00;IFO – Current Assessment;Germany;EUR;2
EUR_GerIFO–Expectations;20160223;09:00;IFO – Expectations;Germany;EUR;2
GBP_BoEMonetaryPolicyReportHearings;20160223;10:00;BoE Monetary Policy Report Hearings;United Kingdom;GBP;3
CHF_CentralBankSpeech;20160223;11:15;SNB Chairman Jordan speech;Switzerland;CHF;2
TRY_CBRTInterestRateDecision;20160223;12:00;CBRT Interest Rate Decision;Turkey;TRY;0
BRL_MidmonthInflation;20160223;12:00;Mid-month Inflation;Brazil;BRL;1
TRY_CapacityUtilization;20160223;12:30;Capacity Utilization;Turkey;TRY;1
TRY_ManufacturingConfidence;20160223;12:30;Manufacturing Confidence;Turkey;TRY;1
HUF_MNBInterestRateDecision;20160223;13:00;MNB Interest Rate Decision;Hungary;HUF;1
BRL_CurrentAccount;20160223;13:30;Current Account;Brazil;BRL;1
USD_RedbookIndex;20160223;13:55;Redbook Index (YoY);United States;USD;1
USD_S&PCaseShillerHomePriceIndices;20160223;14:00;S&P/Case-Shiller Home Price Indices (YoY);United States;USD;2
MXN_GrossDomesticProduct;20160223;14:00;Gross Domestic Product (YoY);Mexico;MXN;1
USD_ExistingHomeSales;20160223;15:00;Existing Home Sales (MoM);United States;USD;1
USD_ExistingHomeSalesChange;20160223;15:00;Existing Home Sales Change (MoM);United States;USD;1
USD_ConsumerConfidence;20160223;15:00;Consumer Confidence;United States;USD;3
USD_RichmondFedManufacturingIndex;20160223;15:00;Richmond Fed Manufacturing Index;United States;USD;1
GBP_CentralBankSpeech;20160223;17:00;BoE Haldane speech;United Kingdom;GBP;1
USD_Auction;20160223;18:00;2-Year Note Auction;United States;USD;1
USD_APIWeeklyCrudeOilStock;20160223;21:30;API Weekly Crude Oil Stock;United States;USD;2
JPY_CorporateServicePriceIndex;20160223;23:50;Corporate Service Price Index (YoY);Japan;JPY;1
