RUB_GrossDomesticProduct;20160229;00:00;Gross Domestic Product Monthly (YoY);Russia;RUB;1
AUD_TDSecuritiesInflation;20160229;00:00;TD Securities Inflation (MoM);Australia;AUD;1
AUD_PrivateSectorCredit;20160229;00:30;Private Sector Credit (MoM);Australia;AUD;1
AUD_CompanyGrossOperatingProfits;20160229;00:30;Company Gross Operating Profits (QoQ);Australia;AUD;1
NZD_M3MoneySupply;20160229;03:00;M3 Money Supply (YoY);New Zealand;NZD;1
JPY_VehicleProduction;20160229;04:00;Vehicle Production (YoY);Japan;JPY;1
JPY_AnnualizedHousingStarts;20160229;05:00;Annualized Housing Starts;Japan;JPY;1
JPY_HousingStarts;20160229;05:00;Housing Starts (YoY);Japan;JPY;1
JPY_ConstructionOrders;20160229;05:00;Construction Orders (YoY);Japan;JPY;1
ZAR_M3MoneySupply;20160229;06:00;M3 Money Supply (YoY);South Africa;ZAR;1
ZAR_PrivateSectorCredit;20160229;06:00;Private Sector Credit;South Africa;ZAR;1
INR_InfrastructureOutput;20160229;06:30;Infrastructure Output (YoY);India;INR;1
EUR_GerImportPriceIndex;20160229;07:00;Import Price Index (YoY);Germany;EUR;1
EUR_GerRetailSales;20160229;07:00;Retail Sales (YoY);Germany;EUR;1
CHF_KOFLeadingIndicator;20160229;08:00;KOF Leading Indicator;Switzerland;CHF;2
TRY_TradeBalance;20160229;08:00;Trade Balance;Turkey;TRY;1
PLN_GrossDomesticProduct;20160229;08:00;Gross Domestic Product Qtr (YoY);Poland;PLN;1
DKK_UnemploymentRate;20160229;08:00;Unemployment Rate;Denmark;DKK;1
DKK_GrossDomesticProduct;20160229;08:00;Gross Domestic Product (QoQ);Denmark;DKK;1
TRY_EconomicConfidenceIndex;20160229;08:00;Economic Confidence Index;Turkey;TRY;1
HUF_ProducerPriceIndex;20160229;08:00;Producer Price Index (YoY);Hungary;HUF;1
CLP_IndustrialProduction;20160229;08:00;Industrial Production (YoY);Chile;CLP;1
SEK_GrossDomesticProduct;20160229;08:30;Gross Domestic Product (YoY);Sweden;SEK;1
CZK_M2MoneySupply;20160229;09:00;M2 Money Supply (YoY);Czech Republic;CZK;1
TRY_ForeignArrivals;20160229;09:00;Foreign Arrivals;Turkey;TRY;1
NOK_RetailSales;20160229;09:00;Retail Sales ;Norway;NOK;1
NOK_CreditIndicator;20160229;09:00;Credit Indicator;Norway;NOK;1
GBP_NetLendingtoIndividuals;20160229;09:30;Net Lending to Individuals (MoM);United Kingdom;GBP;1
GBP_ConsumerCredit;20160229;09:30;Consumer Credit;United Kingdom;GBP;2
GBP_MortgageApprovals;20160229;09:30;Mortgage Approvals;United Kingdom;GBP;2
GBP_M4MoneySupply;20160229;09:30;M4 Money Supply (MoM);United Kingdom;GBP;1
EUR_EurCoreHarmonizedIndexofConsumerPrices;20160229;10:00;Core Harmonized Index of Consumer Prices (YoY);European Monetary Union;EUR;3
EUR_EurHarmonizedIndexofConsumerPrices;20160229;10:00;Harmonized Index of Consumer Prices (YoY);European Monetary Union;EUR;3
EUR_ItaConsumerPriceIndex;20160229;10:00;Consumer Price Index (EU Norm) (MoM);Italy;EUR;1
INR_FederalFiscalDeficitINR;20160229;10:30;Federal Fiscal Deficit, INR;India;INR;1
CLP_Unemploymentrate;20160229;12:00;Unemployment rate;Chile;CLP;1
ZAR_TradeBalance;20160229;12:00;Trade Balance (in Rands);South Africa;ZAR;1
CAD_RawMaterialPriceIndex;20160229;13:30;Raw Material Price Index;Canada;CAD;1
CAD_IndustrialProductPrice;20160229;13:30;Industrial Product Price (MoM);Canada;CAD;1
CAD_CurrentAccount;20160229;13:30;Current Account;Canada;CAD;2
USD_DallasFedManufacturingBusinessIndex;20160229;14:30;Dallas Fed Manufacturing Business Index;United States;USD;2
USD_ChicagoPurchasingManagers'Index;20160229;14:45;Chicago Purchasing Managers' Index;United States;USD;2
USD_PendingHomeSales;20160229;15:00;Pending Home Sales (YoY);United States;USD;2
USD_Auction;20160229;16:30;6-Month Bill Auction;United States;USD;1
COP_NationalJoblessRate;20160229;17:00;National Jobless Rate;Colombia;COP;1
NZD_TermsofTradeIndex;20160229;21:45;Terms of Trade Index;New Zealand;NZD;1
AUD_AiGPerformanceofMfgIndex;20160229;22:30;AiG Performance of Mfg Index;Australia;AUD;2
JPY_UnemploymentRate;20160229;23:30;Unemployment Rate;Japan;JPY;2
JPY_JobsApplicantsRatio;20160229;23:30;Jobs / Applicants Ratio;Japan;JPY;2
JPY_OverallHouseholdSpending;20160229;23:30;Overall Household Spending (YoY);Japan;JPY;2
JPY_CapitalSpending;20160229;23:50;Capital Spending;Japan;JPY;1
