RUB_CentralBankReserves;20160310;00:00;Central Bank Reserves $;Russia;RUB;1
AUD_ConsumerInflationExpectations;20160310;00:00;Consumer Inflation Expectations;Australia;AUD;2
GBP_RICSHousingPriceBalance;20160310;00:01;RICS Housing Price Balance;United Kingdom;GBP;2
KRW_BoKInterestRateDecision;20160310;01:00;BoK Interest Rate Decision;South Korea;KRW;1
CNY_ConsumerPriceIndex;20160310;01:30;Consumer Price Index (MoM);China;CNY;2
CNY_ProducerPriceIndex;20160310;01:30;Producer Price Index (YoY);China;CNY;2
EUR_FraNonfarmPayrolls;20160310;06:30;Nonfarm Payrolls (QoQ);France;EUR;1
EUR_GerImports;20160310;07:00;Imports (MoM);Germany;EUR;2
EUR_GerCurrentAccount;20160310;07:00;Current Account n.s.a.;Germany;EUR;2
EUR_GerExports;20160310;07:00;Exports (MoM);Germany;EUR;2
EUR_GerTradeBalance;20160310;07:00;Trade Balance s.a.;Germany;EUR;2
EUR_FraIndustrialOutput;20160310;07:45;Industrial Output (MoM);France;EUR;1
DKK_Inflation;20160310;08:00;Inflation (HICP) (YoY);Denmark;DKK;1
DKK_ConsumerPriceIndex;20160310;08:00;Consumer Price Index (YoY);Denmark;DKK;1
TRY_CurrentAccount;20160310;08:00;Current Account Balance;Turkey;TRY;1
NOK_CoreInflation;20160310;09:00;Core Inflation (MoM);Norway;NOK;1
NOK_ConsumerPriceIndex;20160310;09:00;Consumer Price Index (YoY);Norway;NOK;1
NOK_ProducerPriceIndex;20160310;09:00;Producer Price Index (YoY);Norway;NOK;1
ZAR_ManufacturingProductionIndex;20160310;11:00;Manufacturing Production Index (YoY);South Africa;ZAR;1
BRL_RetailSales;20160310;12:00;Retail Sales (MoM);Brazil;BRL;1
EUR_EurECBRateOnDepositFacility;20160310;12:45;ECB Rate On Deposit Facility;European Monetary Union;EUR;3
EUR_EurECBRateOnMainRefinancingOperations;20160310;12:45;ECB Rate On Main Refinancing Operations;European Monetary Union;EUR;3
USD_JoblessClaims;20160310;13:30;Continuing Jobless Claims;United States;USD;1
EUR_EurECBPressConference;20160310;13:30;ECB Press Conference;European Monetary Union;EUR;3
CAD_CapacityUtilization;20160310;13:30;Capacity Utilization;Canada;CAD;1
CAD_NewHousingPriceIndex;20160310;13:30;New Housing Price Index (YoY);Canada;CAD;1
USD_EIANaturalGasStorageChange;20160310;15:30;EIA Natural Gas Storage Change;United States;USD;1
USD_Auction;20160310;18:00;30-Year Bond Auction;United States;USD;1
USD_MonthlyBudgetStatement;20160310;19:00;Monthly Budget Statement;United States;USD;2
CAD_CentralBankSpeech;20160310;21:15;BoC Governor Poloz speech;Canada;CAD;1
NZD_BusinessNZPMI;20160310;21:30;Business NZ PMI;New Zealand;NZD;2
NZD_FoodPriceIndex;20160310;21:45;Food Price Index (MoM);New Zealand;NZD;1
JPY_BSILargeManufacturingConditionsIndex;20160310;23:50;BSI Large Manufacturing Conditions Index (QoQ);Japan;JPY;2
