HUF_NationalDay;20160315;00:00;National Day ;Hungary;HUF;0
AUD_NewMotorVehicleSales;20160315;00:30;New Motor Vehicle Sales (YoY);Australia;AUD;1
AUD_RBAMeetingMinutes;20160315;00:30;RBA Meeting Minutes;Australia;AUD;3
JPY_BoJMonetaryPolicyStatement;20160315;03:00;BoJ Monetary Policy Statement ;Japan;JPY;3
JPY_BoJInterestRateDecision;20160315;03:00;BoJ Interest Rate Decision;Japan;JPY;3
IDR_Imports;20160315;04:00;Imports;Indonesia;IDR;1
IDR_Exports;20160315;04:00;Exports;Indonesia;IDR;1
IDR_TradeBalance;20160315;04:00;Trade Balance;Indonesia;IDR;1
JPY_TertiaryIndustryIndex;20160315;04:30;Tertiary Industry Index (MoM);Japan;JPY;2
JPY_IndustrialProduction;20160315;04:30;Industrial Production (MoM);Japan;JPY;2
JPY_CapacityUtilization;20160315;04:30;Capacity Utilization;Japan;JPY;1
JPY_BoJPressConference;20160315;06:30;BoJ Press Conference;Japan;JPY;3
EUR_FraConsumerPriceIndex;20160315;07:45;Consumer Price Index (EU norm) (YoY);France;EUR;1
EUR_FraInflationextobacco;20160315;07:45;Inflation ex-tobacco (MoM);France;EUR;1
TRY_UnemploymentRate;20160315;08:00;Unemployment Rate;Turkey;TRY;1
CZK_IndustrialProduction;20160315;08:00;Industrial Production (YoY);Czech Republic;CZK;1
CZK_Constructionoutput;20160315;08:00;Construction output (YoY);Czech Republic;CZK;1
SEK_ConsumerPriceIndex;20160315;08:30;Consumer Price Index (YoY);Sweden;SEK;1
TRY_BudgetBalance;20160315;09:00;Budget Balance;Turkey;TRY;1
EUR_ItaConsumerPriceIndex;20160315;09:00;Consumer Price Index (YoY);Italy;EUR;1
RUB_BudgetFulfilment;20160315;09:00;Budget Fulfilment;Russia;RUB;1
CZK_CurrentAccount;20160315;09:00;Current Account (MoM);Czech Republic;CZK;1
EUR_EurEmploymentChange;20160315;10:00;Employment Change (YoY);European Monetary Union;EUR;1
USD_NYEmpireStateManufacturingIndex;20160315;12:30;NY Empire State Manufacturing Index;United States;USD;1
USD_RetailSales;20160315;12:30;Retail Sales ex Autos (MoM);United States;USD;2
USD_ProducerPriceIndex;20160315;12:30;Producer Price Index (MoM);United States;USD;1
USD_RedbookIndex;20160315;12:55;Redbook Index (YoY);United States;USD;1
PLN_ConsumerPriceIndex;20160315;13:00;Consumer Price Index (YoY);Poland;PLN;1
PLN_CurrentAccount;20160315;13:00;Current Account;Poland;PLN;1
USD_BusinessInventories;20160315;14:00;Business Inventories;United States;USD;1
USD_NAHBHousingMarketIndex;20160315;14:00;NAHB Housing Market Index;United States;USD;2
NZD_GDTPriceIndex;20160315;14:43;GDT Price Index;New Zealand;NZD;1
USD_Auction;20160315;15:30;4-Week Bill Auction;United States;USD;1
USD_TotalNetTICFlows;20160315;20:00;Total Net TIC Flows;United States;USD;1
USD_NetLongTermTICFlows;20160315;20:00;Net Long-Term TIC Flows;United States;USD;1
USD_APIWeeklyCrudeOilStock;20160315;20:30;API Weekly Crude Oil Stock;United States;USD;1
NZD_CurrentAccount;20160315;21:45;Current Account (QoQ);New Zealand;NZD;1
KRW_UnemploymentRate;20160315;23:00;Unemployment Rate;South Korea;KRW;1
AUD_WestpacLeadingIndex;20160315;23:30;Westpac Leading Index (MoM);Australia;AUD;1
