CNY_ChingMingFestival;20160404;00:00;Ching Ming Festival;China;CNY;0
AUD_TDSecuritiesInflation;20160404;01:00;TD Securities Inflation (MoM);Australia;AUD;2
AUD_ANZJobAdvertisements;20160404;01:30;ANZ Job Advertisements;Australia;AUD;1
AUD_RetailSales;20160404;01:30;Retail Sales s.a. (MoM);Australia;AUD;2
AUD_BuildingPermits;20160404;01:30;Building Permits (YoY);Australia;AUD;1
TRY_ProducerPriceIndex;20160404;08:00;Producer Price Index (MoM);Turkey;TRY;1
DKK_UnemploymentRate;20160404;08:00;Unemployment Rate;Denmark;DKK;1
TRY_ConsumerPriceIndex;20160404;08:00;Consumer Price Index (YoY);Turkey;TRY;1
EUR_ItaPublicDeficitGDP;20160404;08:00;Public Deficit/GDP;Italy;EUR;1
EUR_EurSentixInvestorConfidence;20160404;08:30;Sentix Investor Confidence;European Monetary Union;EUR;1
GBP_S&PGlobalConstructionPMI;20160404;08:30;S&P Global Construction PMI;United Kingdom;GBP;2
EUR_EurUnemploymentRate;20160404;09:00;Unemployment Rate;European Monetary Union;EUR;2
EUR_EurProducerPriceIndex;20160404;09:00;Producer Price Index (MoM);European Monetary Union;EUR;1
USD_ISMNYBusinessConditionsIndex;20160404;13:45;ISM-NY Business Conditions Index;United States;USD;1
USD_LaborMarketConditionsIndex;20160404;14:00;Labor Market Conditions Index;United States;USD;2
CAD_CentralBankSpeech;20160404;14:00;BoC Governor Poloz speech;Canada;CAD;3
DKK_CurrencyReserves;20160404;14:00;Currency Reserves;Denmark;DKK;1
USD_FactoryOrders;20160404;14:00;Factory Orders (MoM);United States;USD;2
USD_Auction;20160404;15:30;6-Month Bill Auction;United States;USD;1
KRW_FXReserves;20160404;21:00;FX Reserves;South Korea;KRW;1
NZD_NZIERBusinessConfidence;20160404;22:00;NZIER Business Confidence (QoQ);New Zealand;NZD;2
AUD_AiGPerformanceofServicesIndex;20160404;23:30;AiG Performance of Services Index;Australia;AUD;1
