NOK_ConstitutionDay;20160517;00:00;Constitution Day;Norway;NOK;0
AUD_NewMotorVehicleSales;20160517;01:30;New Motor Vehicle Sales (MoM);Australia;AUD;1
AUD_RBAMeetingMinutes;20160517;01:30;RBA Meeting Minutes;Australia;AUD;3
NZD_RBNZInflationExpectations;20160517;03:00;RBNZ Inflation Expectations (QoQ);New Zealand;NZD;2
JPY_IndustrialProduction;20160517;04:30;Industrial Production (YoY);Japan;JPY;2
JPY_CapacityUtilization;20160517;04:30;Capacity Utilization;Japan;JPY;1
CZK_GrossDomesticProduct;20160517;07:00;Gross Domestic Product (YoY) 	;Czech Republic;CZK;1
CHF_ProducerandImportPrices;20160517;07:15;Producer and Import Prices (MoM);Switzerland;CHF;1
EUR_EurCentralBankSpeech;20160517;07:45;ECB Praet speech;European Monetary Union;EUR;1
EUR_ItaTradeBalanceEU;20160517;08:00;Trade Balance EU;Italy;EUR;1
EUR_ItaGlobalTradeBalance;20160517;08:00;Global Trade Balance;Italy;EUR;1
GBP_RetailPriceIndex;20160517;08:30;Retail Price Index (YoY);United Kingdom;GBP;1
GBP_DCLGHousePriceIndex;20160517;08:30;DCLG House Price Index (YoY);United Kingdom;GBP;1
GBP_ProducerPriceIndex;20160517;08:30;Producer Price Index - Output (MoM) n.s.a;United Kingdom;GBP;2
GBP_PPICoreOutput;20160517;08:30;PPI Core Output (MoM) n.s.a;United Kingdom;GBP;2
GBP_ConsumerPriceIndex;20160517;08:30;Core Consumer Price Index (YoY);United Kingdom;GBP;3
EUR_EurTradeBalance;20160517;09:00;Trade Balance n.s.a.;European Monetary Union;EUR;2
EUR_GerGermanBubaMonthlyReport;20160517;10:00;German Buba Monthly Report;Germany;EUR;1
USD_BuildingPermitsChange;20160517;12:30;Building Permits Change;United States;USD;1
USD_BuildingPermits;20160517;12:30;Building Permits (MoM);United States;USD;2
USD_HousingStarts;20160517;12:30;Housing Starts (MoM);United States;USD;2
CAD_ManufacturingSales;20160517;12:30;Manufacturing Sales (MoM);Canada;CAD;1
USD_ConsumerPriceIndex;20160517;12:30;Consumer Price Index Core s.a;United States;USD;2
USD_RedbookIndex;20160517;12:55;Redbook Index (YoY);United States;USD;1
USD_IndustrialProduction;20160517;13:15;Industrial Production (MoM);United States;USD;2
USD_CapacityUtilization;20160517;13:15;Capacity Utilization;United States;USD;2
USD_HousingStartsChange;20160517;13:30;Housing Starts Change;United States;USD;1
NZD_GDTPriceIndex;20160517;14:39;GDT Price Index;New Zealand;NZD;1
USD_Auction;20160517;15:30;4-Week Bill Auction;United States;USD;1
USD_CentralBankSpeech;20160517;16:00;Fed Williams speech;United States;USD;1
USD_APIWeeklyCrudeOilStock;20160517;20:30;API Weekly Crude Oil Stock;United States;USD;1
NZD_ProducerPriceIndex;20160517;21:45;Producer Price Index - Input (QoQ);New Zealand;NZD;1
CLP_BCCHInterestRate;20160517;23:00;BCCH Interest Rate;Chile;CLP;1
JPY_GrossDomesticProduct;20160517;23:50;Gross Domestic Product (QoQ);Japan;JPY;2
