EUR_FraBastilleDay;20160714;00:00;Bastille Day;France;EUR;0
AUD_ConsumerInflationExpectations;20160714;01:00;Consumer Inflation Expectations;Australia;AUD;2
KRW_BoKInterestRateDecision;20160714;01:00;BoK Interest Rate Decision;South Korea;KRW;1
AUD_NewMotorVehicleSales;20160714;01:30;New Motor Vehicle Sales (YoY);Australia;AUD;1
AUD_EmploymentChange;20160714;01:30;Employment Change s.a.;Australia;AUD;1
AUD_ParticipationRate;20160714;01:30;Participation Rate;Australia;AUD;1
AUD_UnemploymentRate;20160714;01:30;Unemployment Rate s.a.;Australia;AUD;1
AUD_PartTimeEmployment;20160714;01:30;Part-Time Employment;Australia;AUD;1
AUD_FullTimeEmployment;20160714;01:30;Full-Time Employment;Australia;AUD;1
IDR_Exports;20160714;04:00;Exports;Indonesia;IDR;1
IDR_Imports;20160714;04:00;Imports;Indonesia;IDR;1
IDR_TradeBalance;20160714;04:00;Trade Balance;Indonesia;IDR;1
INR_WPIInflation;20160714;06:30;WPI Inflation;India;INR;1
TRY_IndustrialProduction;20160714;07:00;Industrial Production (YoY);Turkey;TRY;1
TRY_CurrentAccount;20160714;07:00;Current Account Balance;Turkey;TRY;1
CHF_ProducerandImportPrices;20160714;07:15;Producer and Import Prices (MoM);Switzerland;CHF;1
CZK_CurrentAccount;20160714;08:00;Current Account (MoM);Czech Republic;CZK;1
GBP_BoEAssetPurchaseFacility;20160714;11:00;BoE Asset Purchase Facility;United Kingdom;GBP;3
GBP_BoEInterestRateDecision;20160714;11:00;BoE Interest Rate Decision;United Kingdom;GBP;3
GBP_MonetaryPolicySummary;20160714;11:00;Monetary Policy Summary;United Kingdom;GBP;3
GBP_BoEMPCVoteRateCut;20160714;11:00;BoE MPC Vote Rate Cut;United Kingdom;GBP;3
GBP_BoEMPCVoteRateHike;20160714;11:00;BoE MPC Vote Rate Hike;United Kingdom;GBP;3
GBP_BoEMPCVoteRateUnchanged;20160714;11:00;BoE MPC Vote Rate Unchanged;United Kingdom;GBP;3
GBP_BankofEnglandMinutes;20160714;11:00;Bank of England Minutes;United Kingdom;GBP;3
RUB_CentralBankReserves;20160714;11:00;Central Bank Reserves $;Russia;RUB;1
PLN_CurrentAccount;20160714;12:00;Current Account;Poland;PLN;1
PLN_M3MoneySupply;20160714;12:00;M3 Money Supply (YoY);Poland;PLN;1
USD_ProducerPriceIndex;20160714;12:30;Producer Price Index ex Food & Energy (YoY);United States;USD;1
USD_JoblessClaims;20160714;12:30;Initial Jobless Claims;United States;USD;2
CAD_NewHousingPriceIndex;20160714;12:30;New Housing Price Index (YoY);Canada;CAD;1
USD_EIANaturalGasStorageChange;20160714;14:30;EIA Natural Gas Storage Change;United States;USD;1
USD_CentralBankSpeech;20160714;15:15;Fed Lockhart speech;United States;USD;1
