GBP_SummerBankHoliday;20160829;00:00;Summer Bank Holiday;United Kingdom;GBP;0
AUD_HIANewHomeSales;20160829;01:00;HIA New Home Sales (MoM);Australia;AUD;2
TRY_EconomicConfidenceIndex;20160829;07:00;Economic Confidence Index;Turkey;TRY;1
SEK_RetailSales;20160829;07:30;Retail Sales (YoY);Sweden;SEK;1
SEK_TradeBalance;20160829;07:30;Trade Balance (MoM);Sweden;SEK;1
EUR_ItaConsumerConfidence;20160829;08:00;Consumer Confidence;Italy;EUR;1
EUR_ItaBusinessConfidence;20160829;08:00;Business Confidence;Italy;EUR;1
USD_PersonalConsumptionExpendituresPriceIndex;20160829;12:30;Personal Consumption Expenditures - Price Index (YoY);United States;USD;2
USD_PersonalIncome;20160829;12:30;Personal Income (MoM);United States;USD;2
USD_CorePersonalConsumptionExpendituresPriceIndex;20160829;12:30;Core Personal Consumption Expenditures - Price Index (MoM);United States;USD;2
USD_PersonalSpending;20160829;12:30;Personal Spending;United States;USD;2
MXN_JoblessRate;20160829;13:00;Jobless Rate s.a;Mexico;MXN;1
USD_DallasFedManufacturingBusinessIndex;20160829;14:30;Dallas Fed Manufacturing Business Index;United States;USD;2
USD_Auction;20160829;15:30;3-Month Bill Auction;United States;USD;1
COP_GrossDomesticProduct;20160829;16:00;Gross Domestic Product (YoY);Colombia;COP;1
NZD_BuildingPermits;20160829;22:45;Building Permits s.a. (MoM);New Zealand;NZD;2
JPY_UnemploymentRate;20160829;23:30;Unemployment Rate;Japan;JPY;2
JPY_JobsApplicantsRatio;20160829;23:30;Jobs / Applicants Ratio;Japan;JPY;2
JPY_OverallHouseholdSpending;20160829;23:30;Overall Household Spending (YoY);Japan;JPY;2
JPY_LargeRetailerSales;20160829;23:50;Large Retailer Sales;Japan;JPY;2
JPY_RetailTrade;20160829;23:50;Retail Trade (YoY);Japan;JPY;2
