MXN_IndependenceDay;20160916;00:00;Independence Day ;Mexico;MXN;0
EUR_EurEUleaderssummit;20160916;00:00;EU leaders summit;European Monetary Union;EUR;3
KRW_HarvestFestival;20160916;00:00;Harvest Festival ;South Korea;KRW;0
CZK_ProducerPriceIndex;20160916;07:00;Producer Price Index (YoY);Czech Republic;CZK;1
EUR_ItaTradeBalanceEU;20160916;08:00;Trade Balance EU;Italy;EUR;1
EUR_ItaGlobalTradeBalance;20160916;08:00;Global Trade Balance;Italy;EUR;1
EUR_EurLaborCost;20160916;09:00;Labor Cost;European Monetary Union;EUR;2
RUB_Interestratedecision;20160916;10:30;Interest rate decision;Russia;RUB;2
INR_BankLoanGrowth;20160916;11:30;Bank Loan Growth;India;INR;1
INR_FXReservesUSD;20160916;11:30;FX Reserves, USD;India;INR;1
PLN_CorporateSectorWages;20160916;12:00;Corporate Sector Wages;Poland;PLN;1
CAD_ManufacturingSales;20160916;12:30;Manufacturing Sales (MoM);Canada;CAD;1
CAD_ForeignPortfolioInvestmentinCanadianSecurities;20160916;12:30;Foreign Portfolio Investment in Canadian Securities;Canada;CAD;1
CAD_CanadianPortfolioInvestmentinForeignSecurities;20160916;12:30;Canadian Portfolio Investment in Foreign Securities;Canada;CAD;1
USD_ConsumerPriceIndex;20160916;12:30;Consumer Price Index ex Food & Energy (MoM);United States;USD;2
RUB_ProducerPriceIndex;20160916;13:00;Producer Price Index (MoM);Russia;RUB;1
USD_MichiganConsumerSentimentIndex;20160916;14:00;Michigan Consumer Sentiment Index;United States;USD;3
USD_BakerHughesUSOilRigCount;20160916;17:00;Baker Hughes US Oil Rig Count;United States;USD;2
AUD_CFTCAUDNCNetPositions;20160916;19:30;CFTC AUD NC Net Positions;Australia;AUD;1
EUR_EurCFTCEURNCNetPositions;20160916;19:30;CFTC EUR NC Net Positions;European Monetary Union;EUR;1
USD_CFTCS&P500NCNetPositions;20160916;19:30;CFTC S&P 500 NC Net Positions;United States;USD;1
GBP_CFTCGBPNCNetPositions;20160916;19:30;CFTC GBP NC Net Positions;United Kingdom;GBP;1
USD_CFTCGoldNCNetPositions;20160916;19:30;CFTC Gold NC Net Positions;United States;USD;1
USD_CFTCOilNCNetPositions;20160916;19:30;CFTC Oil NC Net Positions;United States;USD;1
JPY_CFTCJPYNCNetPositions;20160916;19:30;CFTC JPY NC Net Positions;Japan;JPY;1
USD_NetLongTermTICFlows;20160916;20:00;Net Long-Term TIC Flows;United States;USD;1
USD_TotalNetTICFlows;20160916;20:00;Total Net TIC Flows;United States;USD;1
COP_TradeBalance;20160916;20:00;Trade Balance;Colombia;COP;1
