NZD_LabourDay;20161024;00:00;Labour Day;New Zealand;NZD;0
JPY_JibunBankManufacturingPMI;20161024;00:30;Jibun Bank Manufacturing PMI;Japan;JPY;1
JPY_LeadingEconomicIndex;20161024;05:00;Leading Economic Index;Japan;JPY;2
JPY_CoincidentIndex;20161024;05:00;Coincident Index;Japan;JPY;2
EUR_FraHCOBManufacturingPMI;20161024;07:00;HCOB Manufacturing PMI;France;EUR;1
EUR_FraHCOBServicesPMI;20161024;07:00;HCOB Services PMI;France;EUR;1
EUR_FraHCOBCompositePMI;20161024;07:00;HCOB Composite PMI;France;EUR;1
EUR_GerHCOBCompositePMI;20161024;07:30;HCOB Composite PMI;Germany;EUR;2
EUR_GerHCOBManufacturingPMI;20161024;07:30;HCOB Manufacturing PMI;Germany;EUR;2
EUR_GerHCOBServicesPMI;20161024;07:30;HCOB Services PMI;Germany;EUR;2
EUR_ItaTradeBalancenonEU;20161024;08:00;Trade Balance non-EU;Italy;EUR;1
EUR_EurHCOBCompositePMI;20161024;08:00;HCOB Composite PMI;European Monetary Union;EUR;2
EUR_EurHCOBServicesPMI;20161024;08:00;HCOB Services PMI;European Monetary Union;EUR;2
EUR_EurHCOBManufacturingPMI;20161024;08:00;HCOB Manufacturing PMI;European Monetary Union;EUR;2
EUR_GerGermanBubaMonthlyReport;20161024;10:00;German Buba Monthly Report;Germany;EUR;1
GBP_CBIIndustrialTrendsSurvey–Orders;20161024;10:00;CBI Industrial Trends Survey – Orders (MoM);United Kingdom;GBP;1
USD_ChicagoFedNationalActivityIndex;20161024;12:30;Chicago Fed National Activity Index ;United States;USD;2
CAD_WholesaleSales;20161024;12:30;Wholesale Sales (MoM);Canada;CAD;1
MXN_JoblessRate;20161024;13:00;Jobless Rate;Mexico;MXN;1
MXN_1sthalfmonthCoreInflation;20161024;13:00;1st half-month Core Inflation;Mexico;MXN;1
MXN_1sthalfmonthInflation;20161024;13:00;1st half-month Inflation;Mexico;MXN;1
USD_S&PGlobalManufacturingPMI;20161024;13:45;S&P Global Manufacturing PMI;United States;USD;2
CHF_CentralBankSpeech;20161024;15:15;SNB Chairman Jordan speech;Switzerland;CHF;1
USD_Auction;20161024;15:30;6-Month Bill Auction;United States;USD;1
USD_CentralBankSpeech;20161024;18:00;FOMC Member Powell speech (don't use);United States;USD;1
CAD_CentralBankSpeech;20161024;18:30;BoC Governor Poloz speech;Canada;CAD;3
KRW_GrossDomesticProduct;20161024;23:00;Gross Domestic Product Growth (QoQ) ;South Korea;KRW;1
