RUB_ConsumerPriceIndex;20161206;00:00;Consumer Price Index (MoM);Russia;RUB;1
JPY_LaborCashEarnings;20161206;00:00;Labor Cash Earnings (YoY);Japan;JPY;1
GBP_UKSupremeCourtHearsGovernmentParliamentBrexitAppeal;20161206;00:00;UK Supreme Court Hears Government-Parliament Brexit Appeal;United Kingdom;GBP;3
GBP_RetailSales;20161206;00:01;BRC Like-For-Like Retail Sales (YoY);United Kingdom;GBP;2
AUD_CurrentAccount;20161206;00:30;Current Account Balance;Australia;AUD;1
COP_ConsumerPriceIndex;20161206;01:00;Consumer Price Index (YoY);Colombia;COP;1
AUD_RBAInterestRateDecision;20161206;03:30;RBA Interest Rate Decision;Australia;AUD;3
AUD_RBARateStatement;20161206;03:30;RBA Rate Statement;Australia;AUD;3
CNY_ForeignExchangeReserves;20161206;04:00;Foreign Exchange Reserves (MoM);China;CNY;1
EUR_GerFactoryOrders;20161206;07:00;Factory Orders n.s.a. (YoY);Germany;EUR;1
ZAR_GrossDomesticProduct;20161206;07:30;Gross Domestic Product (YoY);South Africa;ZAR;1
HUF_IndustrialOutput;20161206;08:00;Industrial Output (YoY);Hungary;HUF;1
CZK_RetailSales;20161206;08:00;Retail Sales (YoY);Czech Republic;CZK;1
RON_GrossDomesticProduct;20161206;08:00;Gross Domestic Product;Romania;RON;1
HUF_GrossDomesticProduct;20161206;08:00;Gross Domestic Product (YoY);Hungary;HUF;1
CHF_ConsumerPriceIndex;20161206;08:15;Consumer Price Index (MoM);Switzerland;CHF;2
EUR_EurGrossDomesticProduct;20161206;10:00;Gross Domestic Product s.a. (YoY);European Monetary Union;EUR;3
EUR_EurEcoFinMeeting;20161206;10:30;EcoFin Meeting;European Monetary Union;EUR;2
GBP_Auction;20161206;13:22;10-y Bond Auction;United Kingdom;GBP;1
USD_GoodsandServicesTradeBalance;20161206;13:30;Goods and Services Trade Balance;United States;USD;2
USD_NonfarmProductivity;20161206;13:30;Nonfarm Productivity;United States;USD;1
USD_UnitLaborCosts;20161206;13:30;Unit Labor Costs;United States;USD;1
CAD_InternationalMerchandiseTrade;20161206;13:30;International Merchandise Trade;Canada;CAD;1
CAD_Imports;20161206;13:30;Imports;Canada;CAD;1
CAD_Exports;20161206;13:30;Exports;Canada;CAD;1
USD_RedbookIndex;20161206;13:55;Redbook Index (YoY);United States;USD;1
MXN_ConsumerConfidence;20161206;14:00;Consumer Confidence s.a;Mexico;MXN;1
NZD_GDTPriceIndex;20161206;14:27;GDT Price Index;New Zealand;NZD;1
USD_FactoryOrders;20161206;15:00;Factory Orders (MoM);United States;USD;2
CAD_IveyPurchasingManagersIndex;20161206;15:00;Ivey Purchasing Managers Index s.a;Canada;CAD;2
USD_IBDTIPPEconomicOptimism;20161206;15:00;IBD/TIPP Economic Optimism (MoM);United States;USD;1
USD_Auction;20161206;16:30;52-Week Bill Auction;United States;USD;1
USD_APIWeeklyCrudeOilStock;20161206;21:30;API Weekly Crude Oil Stock;United States;USD;1
NZD_CentralBankSpeech;20161206;22:00;RBNZ Governor Wheeler Speech;New Zealand;NZD;2
AUD_AiGPerformanceofConstructionIndex;20161206;22:30;AiG Performance of Construction Index;Australia;AUD;2
JPY_JPForeignReserves;20161206;23:50;JP Foreign Reserves;Japan;JPY;1
