GBP_ChristmasDay;20161227;00:00;Christmas Day (substitute day);United Kingdom;GBP;0
NZD_ChristmasDay;20161227;00:00;Christmas Day (observed);New Zealand;NZD;0
AUD_ChristmasDay;20161227;00:00;Christmas Day (observed);Australia;AUD;0
CAD_BoxingDay;20161227;00:00;Boxing Day (observed);Canada;CAD;0
JPY_AnnualizedHousingStarts;20161227;05:00;Annualized Housing Starts;Japan;JPY;1
JPY_ConstructionOrders;20161227;05:00;Construction Orders (YoY);Japan;JPY;1
JPY_HousingStarts;20161227;05:00;Housing Starts (YoY);Japan;JPY;1
BRL_NominalBudgetBalance;20161227;12:30;Nominal Budget Balance;Brazil;BRL;1
BRL_PrimaryBudgetSurplus;20161227;12:30;Primary Budget Surplus;Brazil;BRL;1
USD_S&PCaseShillerHomePriceIndices;20161227;14:00;S&P/Case-Shiller Home Price Indices (YoY);United States;USD;2
USD_ConsumerConfidence;20161227;15:00;Consumer Confidence;United States;USD;2
USD_RichmondFedManufacturingIndex;20161227;15:00;Richmond Fed Manufacturing Index;United States;USD;1
USD_DallasFedManufacturingBusinessIndex;20161227;15:30;Dallas Fed Manufacturing Business Index;United States;USD;2
USD_Auction;20161227;18:00;4-Week Bill Auction;United States;USD;1
JPY_IndustrialProduction;20161227;23:50;Industrial Production (YoY);Japan;JPY;2
JPY_RetailTrade;20161227;23:50;Retail Trade (YoY);Japan;JPY;2
JPY_LargeRetailerSales;20161227;23:50;Large Retailer Sales;Japan;JPY;2
