NZD_ANZCommodityPrice;20170203;00:00;ANZ Commodity Price;New Zealand;NZD;1
JPY_JibunBankServicesPMI;20170203;00:30;Jibun Bank Services PMI;Japan;JPY;1
HUF_PurchasingManagerIndex;20170203;00:30;Purchasing Manager Index;Hungary;HUF;1
CNY_CaixinManufacturingPMI;20170203;01:45;Caixin Manufacturing PMI;China;CNY;2
RUB_S&PGlobalServicesPMI;20170203;06:00;S&P Global Services PMI;Russia;RUB;1
TRY_ProducerPriceIndex;20170203;07:00;Producer Price Index (MoM);Turkey;TRY;1
TRY_ConsumerPriceIndex;20170203;07:00;Consumer Price Index (YoY);Turkey;TRY;1
BRL_FipeIPCInflation;20170203;07:00;Fipe IPC Inflation;Brazil;BRL;1
HUF_RetailSales;20170203;08:00;Retail Sales (YoY);Hungary;HUF;1
SEK_IndustrialProductionValue;20170203;08:30;Industrial Production Value (YoY);Sweden;SEK;1
SEK_NewOrdersManufacturing;20170203;08:30;New Orders Manufacturing (YoY);Sweden;SEK;1
EUR_ItaHCOBServicesPMI;20170203;08:45;HCOB Services PMI;Italy;EUR;1
EUR_FraHCOBServicesPMI;20170203;08:50;HCOB Services PMI;France;EUR;1
EUR_FraHCOBCompositePMI;20170203;08:50;HCOB Composite PMI;France;EUR;1
EUR_GerHCOBServicesPMI;20170203;08:55;HCOB Services PMI;Germany;EUR;1
EUR_GerHCOBCompositePMI;20170203;08:55;HCOB Composite PMI;Germany;EUR;1
NOK_RegisteredUnemployment;20170203;09:00;Registered Unemployment n.s.a;Norway;NOK;1
EUR_EurHCOBServicesPMI;20170203;09:00;HCOB Services PMI;European Monetary Union;EUR;2
EUR_EurHCOBCompositePMI;20170203;09:00;HCOB Composite PMI;European Monetary Union;EUR;2
GBP_S&PGlobalCIPSServicesPMI;20170203;09:30;S&P Global/CIPS Services PMI;United Kingdom;GBP;1
EUR_ItaConsumerPriceIndex;20170203;10:00;Consumer Price Index (YoY);Italy;EUR;1
EUR_EurRetailSales;20170203;10:00;Retail Sales (MoM);European Monetary Union;EUR;1
RUB_Interestratedecision;20170203;10:30;Interest rate decision;Russia;RUB;2
INR_BankLoanGrowth;20170203;11:30;Bank Loan Growth;India;INR;1
INR_FXReservesUSD;20170203;11:30;FX Reserves, USD;India;INR;1
RUB_GrossDomesticProduct;20170203;13:00;Gross Domestic Product Quarterly (YoY);Russia;RUB;1
USD_AverageWeeklyHours;20170203;13:30;Average Weekly Hours;United States;USD;2
USD_NonfarmPayrolls;20170203;13:30;Nonfarm Payrolls;United States;USD;3
USD_U6UnderemploymentRate;20170203;13:30;U6 Underemployment Rate;United States;USD;1
USD_UnemploymentRate;20170203;13:30;Unemployment Rate;United States;USD;3
USD_AverageHourlyEarnings;20170203;13:30;Average Hourly Earnings (MoM);United States;USD;1
USD_LaborForceParticipationRate;20170203;13:30;Labor Force Participation Rate;United States;USD;2
MXN_ConsumerConfidence;20170203;14:00;Consumer Confidence;Mexico;MXN;1
USD_CentralBankSpeech;20170203;14:15;Fed Evans speech;United States;USD;1
USD_S&PGlobalServicesPMI;20170203;14:45;S&P Global Services PMI;United States;USD;2
USD_S&PGlobalCompositePMI;20170203;14:45;S&P Global Composite PMI;United States;USD;2
USD_ISMServicesPMI;20170203;15:00;ISM Services PMI;United States;USD;2
USD_FactoryOrders;20170203;15:00;Factory Orders (MoM);United States;USD;2
USD_BakerHughesUSOilRigCount;20170203;18:00;Baker Hughes US Oil Rig Count;United States;USD;2
EUR_EurCFTCEURNCNetPositions;20170203;20:30;CFTC EUR NC Net Positions;European Monetary Union;EUR;1
AUD_CFTCAUDNCNetPositions;20170203;20:30;CFTC AUD NC Net Positions;Australia;AUD;1
JPY_CFTCJPYNCNetPositions;20170203;20:30;CFTC JPY NC Net Positions;Japan;JPY;1
GBP_CFTCGBPNCNetPositions;20170203;20:30;CFTC GBP NC Net Positions;United Kingdom;GBP;1
USD_CFTCGoldNCNetPositions;20170203;20:30;CFTC Gold NC Net Positions;United States;USD;1
USD_CFTCOilNCNetPositions;20170203;20:30;CFTC Oil NC Net Positions;United States;USD;1
USD_CFTCS&P500NCNetPositions;20170203;20:30;CFTC S&P 500 NC Net Positions;United States;USD;1
