BRL_Carnival;20170227;00:00;Carnival;Brazil;BRL;0
AUD_CompanyGrossOperatingProfits;20170227;00:30;Company Gross Operating Profits (QoQ);Australia;AUD;1
TRY_EconomicConfidenceIndex;20170227;07:00;Economic Confidence Index;Turkey;TRY;1
DKK_IndustrialOutlook;20170227;08:00;Industrial Outlook;Denmark;DKK;1
HUF_UnemploymentRate;20170227;08:00;Unemployment Rate (3M);Hungary;HUF;1
CHF_EmploymentLevel;20170227;08:15;Employment Level (QoQ);Switzerland;CHF;1
EUR_ItaTradeBalancenonEU;20170227;09:00;Trade Balance non-EU;Italy;EUR;1
EUR_EurM3MoneySupply;20170227;09:00;M3 Money Supply (YoY);European Monetary Union;EUR;1
EUR_EurPrivateLoans;20170227;09:00;Private Loans (YoY);European Monetary Union;EUR;1
EUR_EurConsumerConfidence;20170227;10:00;Consumer Confidence;European Monetary Union;EUR;2
EUR_EurServicesSentiment;20170227;10:00;Services Sentiment;European Monetary Union;EUR;2
EUR_EurIndustrialConfidence;20170227;10:00;Industrial Confidence;European Monetary Union;EUR;2
EUR_EurBusinessClimate;20170227;10:00;Business Climate;European Monetary Union;EUR;2
EUR_EurEconomicSentimentIndicator;20170227;10:00;Economic Sentiment Indicator;European Monetary Union;EUR;2
EUR_ItaAuction;20170227;10:51;10-y Bond Auction;Italy;EUR;1
CHF_CentralBankSpeech;20170227;12:30;SNB Zurbrugg speech;Switzerland;CHF;1
USD_DurableGoodsOrders;20170227;13:30;Durable Goods Orders;United States;USD;3
MXN_JoblessRate;20170227;14:00;Jobless Rate;Mexico;MXN;1
MXN_TradeBalancesa;20170227;14:00;Trade Balance s/a, $;Mexico;MXN;1
MXN_TradeBalance;20170227;14:00;Trade Balance, $;Mexico;MXN;1
USD_PendingHomeSales;20170227;15:00;Pending Home Sales (YoY);United States;USD;2
USD_DallasFedManufacturingBusinessIndex;20170227;15:30;Dallas Fed Manufacturing Business Index;United States;USD;2
USD_CentralBankSpeech;20170227;16:00;Fed Kaplan speech;United States;USD;1
USD_Auction;20170227;16:30;3-Month Bill Auction;United States;USD;1
NZD_Exports;20170227;21:45;Exports;New Zealand;NZD;2
NZD_Imports;20170227;21:45;Imports;New Zealand;NZD;2
NZD_TradeBalanceNZD;20170227;21:45;Trade Balance NZD (YoY);New Zealand;NZD;2
GBP_GfKConsumerConfidence;20170227;23:05;GfK Consumer Confidence;United Kingdom;GBP;2
JPY_IndustrialProduction;20170227;23:50;Industrial Production (YoY);Japan;JPY;2
JPY_RetailTrade;20170227;23:50;Retail Trade (YoY);Japan;JPY;2
JPY_LargeRetailerSales;20170227;23:50;Large Retailer Sales;Japan;JPY;2
