INR_RamNavami;20170404;00:00;Ram Navami ;India;INR;0
AUD_TradeBalance;20170404;01:30;Trade Balance (MoM);Australia;AUD;2
AUD_Imports;20170404;01:30;Imports (MoM);Australia;AUD;2
AUD_Exports;20170404;01:30;Exports (MoM);Australia;AUD;2
AUD_RBAInterestRateDecision;20170404;04:30;RBA Interest Rate Decision;Australia;AUD;3
AUD_RBARateStatement;20170404;04:30;RBA Rate Statement;Australia;AUD;3
HUF_RetailSales;20170404;07:00;Retail Sales (YoY);Hungary;HUF;1
EUR_ItaPublicDeficitGDP;20170404;08:00;Public Deficit/GDP;Italy;EUR;1
BRL_FipeIPCInflation;20170404;08:00;Fipe IPC Inflation;Brazil;BRL;1
GBP_S&PGlobalConstructionPMI;20170404;08:30;S&P Global Construction PMI;United Kingdom;GBP;2
EUR_EurRetailSales;20170404;09:00;Retail Sales (MoM);European Monetary Union;EUR;1
AUD_CentralBankSpeech;20170404;09:15;RBA Governor Lowe speech;Australia;AUD;1
GBP_Auction;20170404;09:58;10-y Bond Auction;United Kingdom;GBP;1
BRL_IndustrialOutput;20170404;12:00;Industrial Output (YoY);Brazil;BRL;1
USD_GoodsandServicesTradeBalance;20170404;12:30;Goods and Services Trade Balance;United States;USD;2
CAD_Imports;20170404;12:30;Imports;Canada;CAD;1
CAD_InternationalMerchandiseTrade;20170404;12:30;International Merchandise Trade;Canada;CAD;1
CAD_Exports;20170404;12:30;Exports;Canada;CAD;1
USD_RedbookIndex;20170404;12:55;Redbook Index (YoY);United States;USD;1
USD_ISMNYBusinessConditionsIndex;20170404;13:45;ISM-NY Business Conditions Index;United States;USD;1
USD_FactoryOrders;20170404;14:00;Factory Orders (MoM);United States;USD;2
USD_IBDTIPPEconomicOptimism;20170404;14:00;IBD/TIPP Economic Optimism (MoM);United States;USD;1
NZD_GDTPriceIndex;20170404;14:22;GDT Price Index;New Zealand;NZD;1
EUR_EurCentralBankSpeech;20170404;14:30;ECB President Draghi speech;European Monetary Union;EUR;3
DKK_CurrencyReserves;20170404;15:00;Currency Reserves;Denmark;DKK;1
USD_Auction;20170404;15:30;4-Week Bill Auction;United States;USD;1
USD_CentralBankSpeech;20170404;20:30;Fed Tarullo speech;United States;USD;1
USD_APIWeeklyCrudeOilStock;20170404;20:30;API Weekly Crude Oil Stock;United States;USD;1
KRW_FXReserves;20170404;21:00;FX Reserves;South Korea;KRW;1
KRW_CurrentAccount;20170404;23:00;Current Account Balance;South Korea;KRW;1
GBP_BRCShopPriceIndex;20170404;23:01;BRC Shop Price Index (YoY);United Kingdom;GBP;1
AUD_AiGPerformanceofServicesIndex;20170404;23:30;AiG Performance of Services Index;Australia;AUD;1
