ZAR_FreedomDay;20170427;00:00;Freedom Day;South Africa;ZAR;0
AUD_ImportPriceIndex;20170427;01:30;Import Price Index (QoQ);Australia;AUD;1
AUD_ExportPriceIndex;20170427;01:30;Export Price Index (QoQ);Australia;AUD;1
JPY_BoJInterestRateDecision;20170427;03:15;BoJ Interest Rate Decision;Japan;JPY;3
JPY_BoJMonetaryPolicyStatement;20170427;03:15;BoJ Monetary Policy Statement ;Japan;JPY;3
JPY_BoJOutlookReport;20170427;03:15;BoJ Outlook Report;Japan;JPY;2
EUR_GerGfkConsumerConfidenceSurvey;20170427;06:00;Gfk Consumer Confidence Survey;Germany;EUR;2
CHF_Exports;20170427;06:00;Exports (MoM);Switzerland;CHF;1
CHF_Imports;20170427;06:00;Imports (MoM);Switzerland;CHF;1
CHF_TradeBalance;20170427;06:00;Trade Balance;Switzerland;CHF;1
NOK_LabourForceSurvey;20170427;06:00;Labour Force Survey;Norway;NOK;1
JPY_BoJPressConference;20170427;06:30;BoJ Press Conference;Japan;JPY;3
DKK_IndustrialOutlook;20170427;07:00;Industrial Outlook;Denmark;DKK;1
TRY_EconomicConfidenceIndex;20170427;07:00;Economic Confidence Index;Turkey;TRY;0
SEK_ProducerPriceIndex;20170427;07:30;Producer Price Index (YoY);Sweden;SEK;1
SEK_RiksbankInterestRateDecision;20170427;07:30;Riksbank Interest Rate Decision;Sweden;SEK;1
SEK_TradeBalance;20170427;07:30;Trade Balance (MoM);Sweden;SEK;1
EUR_ItaBusinessConfidence;20170427;08:00;Business Confidence;Italy;EUR;1
EUR_ItaConsumerConfidence;20170427;08:00;Consumer Confidence;Italy;EUR;1
EUR_ItaTradeBalancenonEU;20170427;09:00;Trade Balance non-EU;Italy;EUR;1
EUR_EurIndustrialConfidence;20170427;09:00;Industrial Confidence;European Monetary Union;EUR;2
EUR_EurConsumerConfidence;20170427;09:00;Consumer Confidence;European Monetary Union;EUR;2
EUR_EurServicesSentiment;20170427;09:00;Services Sentiment;European Monetary Union;EUR;2
EUR_EurBusinessClimate;20170427;09:00;Business Climate;European Monetary Union;EUR;2
EUR_EurEconomicSentimentIndicator;20170427;09:00;Economic Sentiment Indicator;European Monetary Union;EUR;2
AUD_CentralBankSpeech;20170427;09:10;RBA Governor Lowe speech;Australia;AUD;3
EUR_ItaAuction;20170427;09:58;10-y Bond Auction;Italy;EUR;1
