JPY_GreeneryDay;20170504;00:00;Greenery Day;Japan;JPY;0
AUD_HIANewHomeSales;20170504;01:00;HIA New Home Sales (MoM);Australia;AUD;2
NZD_ANZCommodityPrice;20170504;01:00;ANZ Commodity Price;New Zealand;NZD;1
AUD_Imports;20170504;01:30;Imports (MoM);Australia;AUD;2
AUD_Exports;20170504;01:30;Exports (MoM);Australia;AUD;2
AUD_TradeBalance;20170504;01:30;Trade Balance (MoM);Australia;AUD;2
CNY_CaixinServicesPMI;20170504;01:45;Caixin Services PMI;China;CNY;2
AUD_CentralBankSpeech;20170504;03:10;RBA Governor Lowe speech;Australia;AUD;3
CHF_SECOConsumerClimate;20170504;05:45;SECO Consumer Climate (3m);Switzerland;CHF;2
RUB_S&PGlobalServicesPMI;20170504;06:00;S&P Global Services PMI;Russia;RUB;1
EUR_FraIndividualInvestment;20170504;06:45;Individual Investment (Current Year);France;EUR;1
HUF_RetailSales;20170504;07:00;Retail Sales (YoY);Hungary;HUF;1
EUR_ItaHCOBServicesPMI;20170504;07:45;HCOB Services PMI;Italy;EUR;1
EUR_FraHCOBCompositePMI;20170504;07:50;HCOB Composite PMI;France;EUR;1
EUR_FraHCOBServicesPMI;20170504;07:50;HCOB Services PMI;France;EUR;1
EUR_GerHCOBCompositePMI;20170504;07:55;HCOB Composite PMI;Germany;EUR;1
EUR_GerHCOBServicesPMI;20170504;07:55;HCOB Services PMI;Germany;EUR;1
BRL_FipeIPCInflation;20170504;08:00;Fipe IPC Inflation;Brazil;BRL;1
EUR_EurHCOBServicesPMI;20170504;08:00;HCOB Services PMI;European Monetary Union;EUR;2
EUR_EurHCOBCompositePMI;20170504;08:00;HCOB Composite PMI;European Monetary Union;EUR;2
GBP_NetLendingtoIndividuals;20170504;08:30;Net Lending to Individuals (MoM);United Kingdom;GBP;1
GBP_ConsumerCredit;20170504;08:30;Consumer Credit;United Kingdom;GBP;2
GBP_MortgageApprovals;20170504;08:30;Mortgage Approvals;United Kingdom;GBP;2
GBP_S&PGlobalCIPSServicesPMI;20170504;08:30;S&P Global/CIPS Services PMI;United Kingdom;GBP;1
GBP_M4MoneySupply;20170504;08:30;M4 Money Supply (MoM);United Kingdom;GBP;1
NOK_NorgesBankInterestRateDecision;20170504;09:00;Norges Bank Interest Rate Decision;Norway;NOK;0
EUR_EurRetailSales;20170504;09:00;Retail Sales (MoM);European Monetary Union;EUR;1
ZAR_BusinessConfidenceIndex;20170504;09:30;Business Confidence Index;South Africa;ZAR;1
EUR_FraAuction;20170504;09:36;10-y Bond Auction;France;EUR;1
USD_ChallengerJobCuts;20170504;11:30;Challenger Job Cuts;United States;USD;1
CZK_CNBInterestRateDecision;20170504;12:00;CNB Interest Rate Decision;Czech Republic;CZK;1
USD_GoodsandServicesTradeBalance;20170504;12:30;Goods and Services Trade Balance;United States;USD;2
USD_JoblessClaims;20170504;12:30;Initial Jobless Claims;United States;USD;2
USD_NonfarmProductivity;20170504;12:30;Nonfarm Productivity;United States;USD;2
USD_UnitLaborCosts;20170504;12:30;Unit Labor Costs;United States;USD;2
CAD_Imports;20170504;12:30;Imports;Canada;CAD;1
CAD_InternationalMerchandiseTrade;20170504;12:30;International Merchandise Trade;Canada;CAD;1
CAD_Exports;20170504;12:30;Exports;Canada;CAD;1
RUB_CentralBankReserves;20170504;13:00;Central Bank Reserves $;Russia;RUB;1
USD_FactoryOrders;20170504;14:00;Factory Orders (MoM);United States;USD;2
USD_EIANaturalGasStorageChange;20170504;14:30;EIA Natural Gas Storage Change;United States;USD;1
EUR_EurCentralBankSpeech;20170504;16:30;ECB President Draghi speech;European Monetary Union;EUR;3
CAD_CentralBankSpeech;20170504;20:25;BoC Governor Poloz speech;Canada;CAD;3
AUD_AiGPerformanceofConstructionIndex;20170504;23:30;AiG Performance of Construction Index;Australia;AUD;2
