KRW_ChildrenDay;20170505;00:00;Children Day;South Korea;KRW;0
JPY_ChildrenDay;20170505;00:00;Children Day;Japan;JPY;0
AUD_RBAMonetaryPolicyStatement;20170505;01:30;RBA Monetary Policy Statement;Australia;AUD;3
NZD_RBNZInflationExpectations;20170505;03:00;RBNZ Inflation Expectations (QoQ);New Zealand;NZD;2
RUB_ConsumerPriceIndex;20170505;06:00;Consumer Price Index (MoM);Russia;RUB;1
HUF_IndustrialOutput;20170505;07:00;Industrial Output (YoY);Hungary;HUF;1
CHF_ForeignCurrencyReserves;20170505;07:00;Foreign Currency Reserves;Switzerland;CHF;1
DKK_IndustrialProduction;20170505;07:00;Industrial Production (MoM);Denmark;DKK;1
SEK_IndustrialProductionValue;20170505;07:30;Industrial Production Value (MoM);Sweden;SEK;1
SEK_NewOrdersManufacturing;20170505;07:30;New Orders Manufacturing (YoY);Sweden;SEK;1
INR_FXReservesUSD;20170505;11:30;FX Reserves, USD;India;INR;1
PLN_CentralBankFXReserves;20170505;12:00;Central Bank FX Reserves;Poland;PLN;1
RON_Interestratedecision;20170505;12:00;Interest rate decision;Romania;RON;1
CLP_IMACEC;20170505;12:30;IMACEC;Chile;CLP;1
USD_NonfarmPayrolls;20170505;12:30;Nonfarm Payrolls;United States;USD;3
USD_AverageHourlyEarnings;20170505;12:30;Average Hourly Earnings (YoY);United States;USD;1
USD_AverageWeeklyHours;20170505;12:30;Average Weekly Hours;United States;USD;2
USD_LaborForceParticipationRate;20170505;12:30;Labor Force Participation Rate;United States;USD;2
USD_U6UnderemploymentRate;20170505;12:30;U6 Underemployment Rate;United States;USD;1
USD_UnemploymentRate;20170505;12:30;Unemployment Rate;United States;USD;3
CAD_ParticipationRate;20170505;12:30;Participation Rate;Canada;CAD;2
CAD_UnemploymentRate;20170505;12:30;Unemployment Rate;Canada;CAD;3
CAD_NetChangeinEmployment;20170505;12:30;Net Change in Employment;Canada;CAD;3
CAD_IveyPurchasingManagersIndex;20170505;14:00;Ivey Purchasing Managers Index;Canada;CAD;2
USD_BakerHughesUSOilRigCount;20170505;17:00;Baker Hughes US Oil Rig Count;United States;USD;2
USD_CentralBankSpeech;20170505;17:30;Fed Evans speech;United States;USD;1
USD_ConsumerCreditChange;20170505;19:00;Consumer Credit Change;United States;USD;2
AUD_CFTCAUDNCNetPositions;20170505;19:30;CFTC AUD NC Net Positions;Australia;AUD;1
GBP_CFTCGBPNCNetPositions;20170505;19:30;CFTC GBP NC Net Positions;United Kingdom;GBP;1
USD_CFTCGoldNCNetPositions;20170505;19:30;CFTC Gold NC Net Positions;United States;USD;1
USD_CFTCOilNCNetPositions;20170505;19:30;CFTC Oil NC Net Positions;United States;USD;1
JPY_CFTCJPYNCNetPositions;20170505;19:30;CFTC JPY NC Net Positions;Japan;JPY;1
USD_CFTCS&P500NCNetPositions;20170505;19:30;CFTC S&P 500 NC Net Positions;United States;USD;1
EUR_EurCFTCEURNCNetPositions;20170505;19:30;CFTC EUR NC Net Positions;European Monetary Union;EUR;1
