IDR_PancasilaDay;20170601;00:00;Pancasila Day;Indonesia;IDR;0
KRW_TradeBalance;20170601;00:00;Trade Balance;South Korea;KRW;1
USD_CentralBankSpeech;20170601;00:10;Fed Williams speech;United States;USD;1
KRW_S&PGlobalManufacturingPMI;20170601;00:30;S&P Global Manufacturing PMI;South Korea;KRW;1
JPY_JibunBankManufacturingPMI;20170601;00:30;Jibun Bank Manufacturing PMI;Japan;JPY;1
AUD_RetailSales;20170601;01:30;Retail Sales s.a. (MoM);Australia;AUD;2
AUD_PrivateCapitalExpenditure;20170601;01:30;Private Capital Expenditure;Australia;AUD;1
CNY_CaixinManufacturingPMI;20170601;01:45;Caixin Manufacturing PMI;China;CNY;2
JPY_VehicleSales;20170601;05:00;Vehicle Sales (YoY);Japan;JPY;1
CHF_GrossDomesticProduct;20170601;05:45;Gross Domestic Product (YoY);Switzerland;CHF;2
GBP_NationwideHousingPrices;20170601;06:00;Nationwide Housing Prices s.a (MoM);United Kingdom;GBP;1
RUB_S&PGlobalManufacturingPMI;20170601;06:00;S&P Global Manufacturing PMI;Russia;RUB;1
AUD_RBACommodityIndexSDR;20170601;06:30;RBA Commodity Index SDR (YoY);Australia;AUD;1
SEK_PurchasingManagersIndexManufacturing;20170601;06:30;Purchasing Managers Index Manufacturing (MoM);Sweden;SEK;2
HUF_PurchasingManagerIndex;20170601;07:00;Purchasing Manager Index;Hungary;HUF;1
HUF_TradeBalance;20170601;07:00;Trade Balance;Hungary;HUF;1
PLN_PurchasingManagerIndex;20170601;07:00;Purchasing Manager Index;Poland;PLN;2
CHF_RetailSales;20170601;07:15;Real Retail Sales (YoY);Switzerland;CHF;2
CHF_SVMEPurchasingManagers'Index;20170601;07:30;SVME - Purchasing Managers' Index;Switzerland;CHF;1
CZK_S&PGlobalPMI;20170601;07:30;S&P Global PMI;Czech Republic;CZK;1
EUR_ItaHCOBManufacturingPMI;20170601;07:45;HCOB Manufacturing PMI;Italy;EUR;1
EUR_FraHCOBManufacturingPMI;20170601;07:50;HCOB Manufacturing PMI;France;EUR;1
EUR_GerHCOBManufacturingPMI;20170601;07:55;HCOB Manufacturing PMI;Germany;EUR;2
EUR_ItaGrossDomesticProduct;20170601;08:00;Gross Domestic Product (YoY);Italy;EUR;2
EUR_EurHCOBManufacturingPMI;20170601;08:00;HCOB Manufacturing PMI;European Monetary Union;EUR;2
GBP_S&PGlobalCIPSManufacturingPMI;20170601;08:30;S&P Global/CIPS Manufacturing PMI;United Kingdom;GBP;2
EUR_FraAuction;20170601;09:32;10-y Bond Auction;France;EUR;1
TRY_Exports;20170601;09:48;Exports;Turkey;TRY;1
GBP_Auction;20170601;10:25;10-y Bond Auction;United Kingdom;GBP;1
ZAR_UnemploymentRate;20170601;10:30;Unemployment Rate (%);South Africa;ZAR;1
ZAR_UnemploymentTotal;20170601;10:30;Unemployment Total ;South Africa;ZAR;1
USD_ChallengerJobCuts;20170601;11:30;Challenger Job Cuts;United States;USD;1
CZK_BudgetBalance;20170601;12:00;Budget Balance;Czech Republic;CZK;1
BRL_GrossDomesticProduct;20170601;12:00;Gross Domestic Product (QoQ);Brazil;BRL;1
USD_ADPEmploymentChange;20170601;12:15;ADP Employment Change;United States;USD;2
USD_JoblessClaims;20170601;12:30;Continuing Jobless Claims;United States;USD;1
ZAR_TotalNewVehicleSales;20170601;13:00;Total New Vehicle Sales;South Africa;ZAR;1
BRL_S&PGlobalManufacturingPMI;20170601;13:00;S&P Global Manufacturing PMI;Brazil;BRL;1
RUB_CentralBankReserves;20170601;13:00;Central Bank Reserves $;Russia;RUB;1
CAD_S&PGlobalManufacturingPMI;20170601;13:30;S&P Global Manufacturing PMI;Canada;CAD;2
USD_S&PGlobalManufacturingPMI;20170601;13:45;S&P Global Manufacturing PMI;United States;USD;2
USD_ISMManufacturingPMI;20170601;14:00;ISM Manufacturing PMI;United States;USD;3
USD_ISMManufacturingPricesPaid;20170601;14:00;ISM Manufacturing Prices Paid;United States;USD;3
USD_ConstructionSpending;20170601;14:00;Construction Spending (MoM);United States;USD;2
USD_EIANaturalGasStorageChange;20170601;14:30;EIA Natural Gas Storage Change;United States;USD;1
USD_EIACrudeOilStocksChange;20170601;15:00;EIA Crude Oil Stocks Change;United States;USD;1
USD_TotalVehicleSales;20170601;22:02;Total Vehicle Sales;United States;USD;1
KRW_GrossDomesticProduct;20170601;23:00;Gross Domestic Product Growth (QoQ) ;South Korea;KRW;1
JPY_MonetaryBase;20170601;23:50;Monetary Base (YoY);Japan;JPY;1
