TRY_RamazanFeast;20170627;00:00;Ramazan Feast;Turkey;TRY;0
IDR_CutiBersama;20170627;00:00;Cuti Bersama;Indonesia;IDR;0
DKK_RetailSales;20170627;07:00;Retail Sales (YoY);Denmark;DKK;1
SEK_ProducerPriceIndex;20170627;07:30;Producer Price Index (MoM);Sweden;SEK;1
SEK_TradeBalance;20170627;07:30;Trade Balance (MoM);Sweden;SEK;1
EUR_ItaBusinessConfidence;20170627;08:00;Business Confidence;Italy;EUR;1
EUR_ItaConsumerConfidence;20170627;08:00;Consumer Confidence;Italy;EUR;1
EUR_EurCentralBankSpeech;20170627;08:00;ECB President Draghi speech;European Monetary Union;EUR;3
AUD_CentralBankSpeech;20170627;08:30;RBA Debelle speech;Australia;AUD;2
GBP_FinancialStabilityReport;20170627;09:30;Financial Stability Report;United Kingdom;GBP;2
GBP_CentralBankSpeech;20170627;10:00;BoE Governor Carney speech;United Kingdom;GBP;3
GBP_CBIDistributiveTradesSurvey–Realized;20170627;10:00;CBI Distributive Trades Survey – Realized (MoM);United Kingdom;GBP;1
USD_RedbookIndex;20170627;12:55;Redbook Index (YoY);United States;USD;1
USD_S&PCaseShillerHomePriceIndices;20170627;13:00;S&P/Case-Shiller Home Price Indices (YoY);United States;USD;2
MXN_TradeBalance;20170627;13:00;Trade Balance, $;Mexico;MXN;1
MXN_TradeBalancesa;20170627;13:00;Trade Balance s/a, $;Mexico;MXN;1
BRL_CurrentAccount;20170627;13:30;Current Account;Brazil;BRL;1
USD_RichmondFedManufacturingIndex;20170627;14:00;Richmond Fed Manufacturing Index;United States;USD;1
USD_Auction;20170627;17:00;5-Year Note Auction;United States;USD;1
USD_APIWeeklyCrudeOilStock;20170627;20:30;API Weekly Crude Oil Stock;United States;USD;1
USD_CentralBankSpeech;20170627;21:30;Fed Kashkari speech;United States;USD;2
