NZD_CentralBankSpeech;20170830;01:30;RBNZ Governor Wheeler Speech;New Zealand;NZD;3
AUD_ConstructionWorkDone;20170830;01:30;Construction Work Done;Australia;AUD;1
AUD_BuildingPermits;20170830;01:30;Building Permits (YoY);Australia;AUD;1
AUD_RBAAnnualReport;20170830;02:00;RBA Annual Report;Australia;AUD;1
CHF_UBSConsumptionIndicator;20170830;06:00;UBS Consumption Indicator;Switzerland;CHF;2
NOK_RetailSales;20170830;06:00;Retail Sales ;Norway;NOK;1
ZAR_M3MoneySupply;20170830;06:00;M3 Money Supply (YoY);South Africa;ZAR;1
ZAR_PrivateSectorCredit;20170830;06:00;Private Sector Credit;South Africa;ZAR;1
CHF_KOFLeadingIndicator;20170830;07:00;KOF Leading Indicator;Switzerland;CHF;2
DKK_IndustrialOutlook;20170830;07:00;Industrial Outlook;Denmark;DKK;1
HUF_UnemploymentRate;20170830;07:00;Unemployment Rate (3M);Hungary;HUF;1
SEK_ConsumerConfidence;20170830;07:00;Consumer Confidence (MoM);Sweden;SEK;1
CHF_ZEWSurvey–Expectations;20170830;08:00;ZEW Survey – Expectations;Switzerland;CHF;2
GBP_NetLendingtoIndividuals;20170830;08:30;Net Lending to Individuals (MoM);United Kingdom;GBP;1
GBP_ConsumerCredit;20170830;08:30;Consumer Credit;United Kingdom;GBP;2
GBP_MortgageApprovals;20170830;08:30;Mortgage Approvals;United Kingdom;GBP;2
GBP_M4MoneySupply;20170830;08:30;M4 Money Supply (YoY);United Kingdom;GBP;1
EUR_EurEconomicSentimentIndicator;20170830;09:00;Economic Sentiment Indicator;European Monetary Union;EUR;2
EUR_EurIndustrialConfidence;20170830;09:00;Industrial Confidence;European Monetary Union;EUR;2
EUR_EurBusinessClimate;20170830;09:00;Business Climate;European Monetary Union;EUR;2
EUR_EurConsumerConfidence;20170830;09:00;Consumer Confidence;European Monetary Union;EUR;2
EUR_EurServicesSentiment;20170830;09:00;Services Sentiment;European Monetary Union;EUR;2
EUR_ItaProducerPriceIndex;20170830;09:51;Producer Price Index (MoM);Italy;EUR;1
EUR_ItaAuction;20170830;10:55;5-y Bond Auction;Italy;EUR;1
BRL_InflationIndexIGPM;20170830;11:00;Inflation Index/IGP-M;Brazil;BRL;1
USD_MBAMortgageApplications;20170830;11:00;MBA Mortgage Applications;United States;USD;1
EUR_GerConsumerPriceIndex;20170830;12:00;Consumer Price Index (MoM);Germany;EUR;1
EUR_GerHarmonizedIndexofConsumerPrices;20170830;12:00;Harmonized Index of Consumer Prices (YoY);Germany;EUR;1
USD_ADPEmploymentChange;20170830;12:15;ADP Employment Change;United States;USD;2
CAD_CurrentAccount;20170830;12:30;Current Account;Canada;CAD;2
USD_GrossDomesticProduct;20170830;12:30;Gross Domestic Product Price Index;United States;USD;2
USD_PersonalConsumptionExpendituresPrices;20170830;12:30;Personal Consumption Expenditures Prices (QoQ);United States;USD;2
USD_CorePersonalConsumptionExpenditures;20170830;12:30;Core Personal Consumption Expenditures (QoQ);United States;USD;3
CLP_IndustrialProduction;20170830;13:00;Industrial Production (YoY);Chile;CLP;1
USD_CentralBankSpeech;20170830;13:15;FOMC Member Powell speech (don't use);United States;USD;2
USD_EIACrudeOilStocksChange;20170830;14:30;EIA Crude Oil Stocks Change;United States;USD;2
BRL_NominalBudgetBalance;20170830;14:30;Nominal Budget Balance;Brazil;BRL;1
BRL_PrimaryBudgetSurplus;20170830;14:30;Primary Budget Surplus;Brazil;BRL;1
MXN_FiscalBalancepesos;20170830;21:00;Fiscal Balance, pesos;Mexico;MXN;1
KRW_IndustrialOutputGrowth;20170830;23:00;Industrial Output Growth;South Korea;KRW;1
KRW_IndustrialOutput;20170830;23:00;Industrial Output (YoY);South Korea;KRW;1
KRW_ServiceSectorOutput;20170830;23:00;Service Sector Output;South Korea;KRW;1
GBP_GfKConsumerConfidence;20170830;23:01;GfK Consumer Confidence;United Kingdom;GBP;2
JPY_IndustrialProduction;20170830;23:50;Industrial Production (YoY);Japan;JPY;1
JPY_ForeignInvestmentinJapanStocks;20170830;23:50;Foreign Investment in Japan Stocks;Japan;JPY;2
JPY_ForeignBondInvestment;20170830;23:50;Foreign Bond Investment;Japan;JPY;2
