IDR_EidAlAdha;20170901;00:00;Eid Al Adha;Indonesia;IDR;0
TRY_SacrificeFeast;20170901;00:00;Sacrifice Feast;Turkey;TRY;0
KRW_TradeBalance;20170901;00:00;Trade Balance;South Korea;KRW;1
KRW_S&PGlobalManufacturingPMI;20170901;00:30;S&P Global Manufacturing PMI;South Korea;KRW;1
JPY_JibunBankManufacturingPMI;20170901;00:30;Jibun Bank Manufacturing PMI;Japan;JPY;1
CNY_CaixinManufacturingPMI;20170901;01:45;Caixin Manufacturing PMI;China;CNY;2
JPY_VehicleSales;20170901;05:00;Vehicle Sales (YoY);Japan;JPY;1
JPY_ConsumerConfidenceIndex;20170901;05:00;Consumer Confidence Index;Japan;JPY;1
RUB_S&PGlobalManufacturingPMI;20170901;06:00;S&P Global Manufacturing PMI;Russia;RUB;1
AUD_RBACommodityIndexSDR;20170901;06:30;RBA Commodity Index SDR (YoY);Australia;AUD;1
SEK_PurchasingManagersIndexManufacturing;20170901;06:30;Purchasing Managers Index Manufacturing (MoM);Sweden;SEK;2
HUF_PurchasingManagerIndex;20170901;07:00;Purchasing Manager Index;Hungary;HUF;1
CZK_GrossDomesticProduct;20170901;07:00;Gross Domestic Product (YoY) 	;Czech Republic;CZK;1
HUF_TradeBalance;20170901;07:00;Trade Balance;Hungary;HUF;1
PLN_PurchasingManagerIndex;20170901;07:00;Purchasing Manager Index;Poland;PLN;2
CHF_RetailSales;20170901;07:15;Real Retail Sales (YoY);Switzerland;CHF;2
CHF_SVMEPurchasingManagers'Index;20170901;07:30;SVME - Purchasing Managers' Index;Switzerland;CHF;1
SEK_CurrentAccount;20170901;07:30;Current Account (QoQ);Sweden;SEK;1
CZK_S&PGlobalPMI;20170901;07:30;S&P Global PMI;Czech Republic;CZK;1
EUR_ItaHCOBManufacturingPMI;20170901;07:45;HCOB Manufacturing PMI;Italy;EUR;1
EUR_FraHCOBManufacturingPMI;20170901;07:50;HCOB Manufacturing PMI;France;EUR;1
EUR_GerHCOBManufacturingPMI;20170901;07:55;HCOB Manufacturing PMI;Germany;EUR;2
EUR_ItaGrossDomesticProduct;20170901;08:00;Gross Domestic Product (YoY);Italy;EUR;2
NOK_RegisteredUnemployment;20170901;08:00;Registered Unemployment n.s.a;Norway;NOK;1
EUR_EurHCOBManufacturingPMI;20170901;08:00;HCOB Manufacturing PMI;European Monetary Union;EUR;2
GBP_S&PGlobalCIPSManufacturingPMI;20170901;08:30;S&P Global/CIPS Manufacturing PMI;United Kingdom;GBP;2
TRY_Exports;20170901;09:00;Exports;Turkey;TRY;1
BRL_GrossDomesticProduct;20170901;11:00;Gross Domestic Product (YoY);Brazil;BRL;1
INR_M3MoneySupply;20170901;11:30;M3 Money Supply;India;INR;1
INR_BankLoanGrowth;20170901;11:30;Bank Loan Growth;India;INR;1
INR_FXReservesUSD;20170901;11:30;FX Reserves, USD;India;INR;1
CZK_BudgetBalance;20170901;12:00;Budget Balance;Czech Republic;CZK;1
USD_NonfarmPayrolls;20170901;12:30;Nonfarm Payrolls;United States;USD;3
USD_AverageWeeklyHours;20170901;12:30;Average Weekly Hours;United States;USD;2
USD_AverageHourlyEarnings;20170901;12:30;Average Hourly Earnings (YoY);United States;USD;2
USD_U6UnderemploymentRate;20170901;12:30;U6 Underemployment Rate;United States;USD;1
USD_UnemploymentRate;20170901;12:30;Unemployment Rate;United States;USD;3
USD_LaborForceParticipationRate;20170901;12:30;Labor Force Participation Rate;United States;USD;2
ZAR_TotalNewVehicleSales;20170901;13:00;Total New Vehicle Sales;South Africa;ZAR;1
BRL_S&PGlobalManufacturingPMI;20170901;13:00;S&P Global Manufacturing PMI;Brazil;BRL;1
CAD_S&PGlobalManufacturingPMI;20170901;13:30;S&P Global Manufacturing PMI;Canada;CAD;2
USD_S&PGlobalManufacturingPMI;20170901;13:45;S&P Global Manufacturing PMI;United States;USD;2
USD_MichiganConsumerSentimentIndex;20170901;14:00;Michigan Consumer Sentiment Index;United States;USD;1
USD_ISMManufacturingPMI;20170901;14:00;ISM Manufacturing PMI;United States;USD;3
USD_ISMManufacturingPricesPaid;20170901;14:00;ISM Manufacturing Prices Paid;United States;USD;3
USD_ConstructionSpending;20170901;14:00;Construction Spending (MoM);United States;USD;2
USD_BakerHughesUSOilRigCount;20170901;17:00;Baker Hughes US Oil Rig Count;United States;USD;2
AUD_CFTCAUDNCNetPositions;20170901;19:30;CFTC AUD NC Net Positions;Australia;AUD;1
EUR_EurCFTCEURNCNetPositions;20170901;19:30;CFTC EUR NC Net Positions;European Monetary Union;EUR;1
JPY_CFTCJPYNCNetPositions;20170901;19:30;CFTC JPY NC Net Positions;Japan;JPY;1
USD_CFTCS&P500NCNetPositions;20170901;19:30;CFTC S&P 500 NC Net Positions;United States;USD;1
GBP_CFTCGBPNCNetPositions;20170901;19:30;CFTC GBP NC Net Positions;United Kingdom;GBP;1
USD_CFTCGoldNCNetPositions;20170901;19:30;CFTC Gold NC Net Positions;United States;USD;1
USD_CFTCOilNCNetPositions;20170901;19:30;CFTC Oil NC Net Positions;United States;USD;1
USD_TotalVehicleSales;20170901;19:30;Total Vehicle Sales;United States;USD;1
