JPY_JibunBankManufacturingPMI;20171024;00:30;Jibun Bank Manufacturing PMI;Japan;JPY;1
EUR_FraBusinessClimateinManufacturing;20171024;06:45;Business Climate in Manufacturing;France;EUR;1
EUR_FraHCOBManufacturingPMI;20171024;07:00;HCOB Manufacturing PMI;France;EUR;1
EUR_FraHCOBServicesPMI;20171024;07:00;HCOB Services PMI;France;EUR;1
EUR_FraHCOBCompositePMI;20171024;07:00;HCOB Composite PMI;France;EUR;1
EUR_GerHCOBCompositePMI;20171024;07:30;HCOB Composite PMI;Germany;EUR;2
EUR_GerHCOBManufacturingPMI;20171024;07:30;HCOB Manufacturing PMI;Germany;EUR;2
EUR_GerHCOBServicesPMI;20171024;07:30;HCOB Services PMI;Germany;EUR;2
PLN_Unemployment;20171024;08:00;Unemployment (MoM);Poland;PLN;1
EUR_EurHCOBServicesPMI;20171024;08:00;HCOB Services PMI;European Monetary Union;EUR;2
EUR_EurHCOBManufacturingPMI;20171024;08:00;HCOB Manufacturing PMI;European Monetary Union;EUR;2
EUR_EurHCOBCompositePMI;20171024;08:00;HCOB Composite PMI;European Monetary Union;EUR;2
EUR_ItaTradeBalancenonEU;20171024;08:05;Trade Balance non-EU;Italy;EUR;1
HUF_MNBInterestRateDecision;20171024;12:30;MNB Interest Rate Decision;Hungary;HUF;1
USD_RedbookIndex;20171024;12:55;Redbook Index (YoY);United States;USD;1
MXN_1sthalfmonthCoreInflation;20171024;13:00;1st half-month Core Inflation;Mexico;MXN;1
MXN_1sthalfmonthInflation;20171024;13:00;1st half-month Inflation;Mexico;MXN;1
USD_S&PGlobalManufacturingPMI;20171024;13:45;S&P Global Manufacturing PMI;United States;USD;2
USD_S&PGlobalServicesPMI;20171024;13:45;S&P Global Services PMI;United States;USD;2
USD_S&PGlobalCompositePMI;20171024;13:45;S&P Global Composite PMI;United States;USD;2
USD_RichmondFedManufacturingIndex;20171024;14:00;Richmond Fed Manufacturing Index;United States;USD;1
USD_Auction;20171024;17:00;2-Year Note Auction;United States;USD;1
USD_APIWeeklyCrudeOilStock;20171024;20:30;API Weekly Crude Oil Stock;United States;USD;1
