BRL_RepublicDay;20171115;00:00;Republic Day;Brazil;BRL;0
AUD_WagePriceIndex;20171115;00:30;Wage Price Index (YoY);Australia;AUD;1
KRW_TradeBalance;20171115;02:00;Trade Balance;South Korea;KRW;1
CNY_FDIForeignDirectInvestment;20171115;02:00;FDI - Foreign Direct Investment (YTD) (YoY);China;CNY;2
IDR_Exports;20171115;04:00;Exports;Indonesia;IDR;1
IDR_TradeBalance;20171115;04:00;Trade Balance;Indonesia;IDR;1
IDR_Imports;20171115;04:00;Imports;Indonesia;IDR;1
JPY_IndustrialProduction;20171115;04:30;Industrial Production (MoM);Japan;JPY;1
JPY_CapacityUtilization;20171115;04:30;Capacity Utilization;Japan;JPY;1
NOK_TradeBalance;20171115;07:00;Trade Balance;Norway;NOK;1
TRY_UnemploymentRate;20171115;07:00;Unemployment Rate;Turkey;TRY;1
EUR_FraConsumerPriceIndex;20171115;07:45;Consumer Price Index (EU norm) (MoM);France;EUR;1
EUR_FraInflationextobacco;20171115;07:45;Inflation ex-tobacco (MoM);France;EUR;1
TRY_BudgetBalance;20171115;08:00;Budget Balance;Turkey;TRY;1
USD_CentralBankSpeech;20171115;08:00;Fed Evans speech;United States;USD;1
SEK_CapacityUtilization;20171115;08:30;Capacity Utilization;Sweden;SEK;1
GBP_AverageEarningsExcludingBonus;20171115;09:30;Average Earnings Excluding Bonus (3Mo/Yr);United Kingdom;GBP;3
GBP_ClaimantCountRate;20171115;09:30;Claimant Count Rate;United Kingdom;GBP;1
GBP_ILOUnemploymentRate;20171115;09:30;ILO Unemployment Rate (3M);United Kingdom;GBP;2
GBP_AverageEarningsIncludingBonus;20171115;09:30;Average Earnings Including Bonus (3Mo/Yr);United Kingdom;GBP;3
GBP_ClaimantCountChange;20171115;09:30;Claimant Count Change;United Kingdom;GBP;2
EUR_EurTradeBalance;20171115;10:00;Trade Balance n.s.a.;European Monetary Union;EUR;2
EUR_EurCentralBankSpeech;20171115;10:00;ECB Praet speech;European Monetary Union;EUR;2
EUR_GerAuction;20171115;10:58;10-y Bond Auction;Germany;EUR;2
INR_TradeDeficitGovernment;20171115;11:00;Trade Deficit Government;India;INR;1
ZAR_RetailSales;20171115;11:00;Retail Sales (YoY);South Africa;ZAR;1
RUB_BudgetFulfilment;20171115;12:00;Budget Fulfilment;Russia;RUB;1
USD_MBAMortgageApplications;20171115;12:00;MBA Mortgage Applications;United States;USD;1
GBP_CentralBankSpeech;20171115;13:00;BoE Broadbent speech;United Kingdom;GBP;2
USD_NYEmpireStateManufacturingIndex;20171115;13:30;NY Empire State Manufacturing Index;United States;USD;1
USD_RetailSales;20171115;13:30;Retail Sales ex Autos (MoM);United States;USD;2
USD_ConsumerPriceIndex;20171115;13:30;Consumer Price Index ex Food & Energy (MoM);United States;USD;2
USD_BusinessInventories;20171115;15:00;Business Inventories;United States;USD;1
USD_EIACrudeOilStocksChange;20171115;15:30;EIA Crude Oil Stocks Change;United States;USD;2
COP_GrossDomesticProduct;20171115;16:00;Gross Domestic Product (YoY);Colombia;COP;1
USD_NetLongTermTICFlows;20171115;21:00;Net Long-Term TIC Flows;United States;USD;1
USD_TotalNetTICFlows;20171115;21:00;Total Net TIC Flows;United States;USD;1
CAD_CentralBankSpeech;20171115;23:45;BoC Wilkins speech;Canada;CAD;2
JPY_ForeignInvestmentinJapanStocks;20171115;23:50;Foreign Investment in Japan Stocks;Japan;JPY;2
JPY_ForeignBondInvestment;20171115;23:50;Foreign Bond Investment;Japan;JPY;2
