IDR_MaulidurRasul;20171201;00:00;Maulidur Rasul;Indonesia;IDR;0
RON_NationalDay;20171201;00:00;National Day;Romania;RON;0
KRW_TradeBalance;20171201;00:00;Trade Balance;South Korea;KRW;1
KRW_S&PGlobalManufacturingPMI;20171201;00:30;S&P Global Manufacturing PMI;South Korea;KRW;1
JPY_JibunBankManufacturingPMI;20171201;00:30;Jibun Bank Manufacturing PMI;Japan;JPY;1
CNY_CaixinManufacturingPMI;20171201;01:45;Caixin Manufacturing PMI;China;CNY;2
AUD_RBACommodityIndexSDR;20171201;05:30;RBA Commodity Index SDR (YoY);Australia;AUD;1
RUB_S&PGlobalManufacturingPMI;20171201;06:00;S&P Global Manufacturing PMI;Russia;RUB;1
SEK_PurchasingManagersIndexManufacturing;20171201;07:30;Purchasing Managers Index Manufacturing (MoM);Sweden;SEK;2
HUF_PurchasingManagerIndex;20171201;08:00;Purchasing Manager Index;Hungary;HUF;1
HUF_TradeBalance;20171201;08:00;Trade Balance;Hungary;HUF;1
PLN_PurchasingManagerIndex;20171201;08:00;Purchasing Manager Index;Poland;PLN;2
CHF_SVMEPurchasingManagers'Index;20171201;08:30;SVME - Purchasing Managers' Index;Switzerland;CHF;1
SEK_CurrentAccount;20171201;08:30;Current Account (QoQ);Sweden;SEK;1
CZK_S&PGlobalPMI;20171201;08:30;S&P Global PMI;Czech Republic;CZK;1
EUR_ItaHCOBManufacturingPMI;20171201;08:45;HCOB Manufacturing PMI;Italy;EUR;1
EUR_FraHCOBManufacturingPMI;20171201;08:50;HCOB Manufacturing PMI;France;EUR;1
EUR_GerHCOBManufacturingPMI;20171201;08:55;HCOB Manufacturing PMI;Germany;EUR;2
TRY_Exports;20171201;09:00;Exports;Turkey;TRY;1
EUR_ItaGrossDomesticProduct;20171201;09:00;Gross Domestic Product (QoQ);Italy;EUR;2
CZK_GrossDomesticProduct;20171201;09:00;Gross Domestic Product (YoY) 	;Czech Republic;CZK;1
NOK_RegisteredUnemployment;20171201;09:00;Registered Unemployment n.s.a;Norway;NOK;1
EUR_EurHCOBManufacturingPMI;20171201;09:00;HCOB Manufacturing PMI;European Monetary Union;EUR;2
GBP_S&PGlobalCIPSManufacturingPMI;20171201;09:30;S&P Global/CIPS Manufacturing PMI;United Kingdom;GBP;2
BRL_GrossDomesticProduct;20171201;11:00;Gross Domestic Product (QoQ);Brazil;BRL;1
INR_FXReservesUSD;20171201;11:30;FX Reserves, USD;India;INR;1
BRL_S&PGlobalManufacturingPMI;20171201;12:00;S&P Global Manufacturing PMI;Brazil;BRL;1
ZAR_TotalNewVehicleSales;20171201;13:00;Total New Vehicle Sales;South Africa;ZAR;1
CZK_BudgetBalance;20171201;13:00;Budget Balance;Czech Republic;CZK;1
CAD_GrossDomesticProduct;20171201;13:30;Gross Domestic Product Annualized;Canada;CAD;3
CAD_NetChangeinEmployment;20171201;13:30;Net Change in Employment;Canada;CAD;3
CAD_ParticipationRate;20171201;13:30;Participation Rate;Canada;CAD;2
CAD_UnemploymentRate;20171201;13:30;Unemployment Rate;Canada;CAD;3
CAD_S&PGlobalManufacturingPMI;20171201;14:30;S&P Global Manufacturing PMI;Canada;CAD;2
USD_S&PGlobalManufacturingPMI;20171201;14:45;S&P Global Manufacturing PMI;United States;USD;2
USD_ISMManufacturingPMI;20171201;15:00;ISM Manufacturing PMI;United States;USD;3
USD_ISMManufacturingPricesPaid;20171201;15:00;ISM Manufacturing Prices Paid;United States;USD;3
USD_ISMManufacturingEmploymentIndex;20171201;15:00;ISM Manufacturing Employment Index;United States;USD;2
USD_ISMManufacturingNewOrdersIndex;20171201;15:00;ISM Manufacturing New Orders Index;United States;USD;2
USD_ConstructionSpending;20171201;15:00;Construction Spending (MoM);United States;USD;2
USD_CentralBankSpeech;20171201;15:15;Fed Harker speech;United States;USD;2
USD_BakerHughesUSOilRigCount;20171201;18:00;Baker Hughes US Oil Rig Count;United States;USD;2
AUD_CFTCAUDNCNetPositions;20171201;20:30;CFTC AUD NC Net Positions;Australia;AUD;1
EUR_EurCFTCEURNCNetPositions;20171201;20:30;CFTC EUR NC Net Positions;European Monetary Union;EUR;1
USD_CFTCS&P500NCNetPositions;20171201;20:30;CFTC S&P 500 NC Net Positions;United States;USD;1
JPY_CFTCJPYNCNetPositions;20171201;20:30;CFTC JPY NC Net Positions;Japan;JPY;1
GBP_CFTCGBPNCNetPositions;20171201;20:30;CFTC GBP NC Net Positions;United Kingdom;GBP;1
USD_CFTCGoldNCNetPositions;20171201;20:30;CFTC Gold NC Net Positions;United States;USD;1
USD_CFTCOilNCNetPositions;20171201;20:30;CFTC Oil NC Net Positions;United States;USD;1
USD_TotalVehicleSales;20171201;20:30;Total Vehicle Sales;United States;USD;1
