JPY_ComingofAgeDay;20180108;00:00;Coming-of-Age Day;Japan;JPY;0
COP_Epiphany;20180108;00:00;Epiphany (Observed);Colombia;COP;0
ZAR_Gross$Gold&ForexReserve;20180108;06:00;Gross $Gold & Forex Reserve ;South Africa;ZAR;1
ZAR_Net$Gold&ForexReserve;20180108;06:00;Net $Gold & Forex Reserve;South Africa;ZAR;1
TRY_IndustrialProduction;20180108;07:00;Industrial Production (YoY);Turkey;TRY;1
NOK_ManufacturingOutput;20180108;07:00;Manufacturing Output;Norway;NOK;1
EUR_GerFactoryOrders;20180108;07:00;Factory Orders n.s.a. (YoY);Germany;EUR;1
HUF_IndustrialOutput;20180108;08:00;Industrial Output (YoY);Hungary;HUF;1
CZK_IndustrialProduction;20180108;08:00;Industrial Production (YoY);Czech Republic;CZK;1
HUF_RetailSales;20180108;08:00;Retail Sales (YoY);Hungary;HUF;1
CZK_Constructionoutput;20180108;08:00;Construction output (YoY);Czech Republic;CZK;1
CZK_ForeignTradeBalance;20180108;08:00;Foreign Trade Balance (MoM);Czech Republic;CZK;1
CHF_ConsumerPriceIndex;20180108;08:15;Consumer Price Index (YoY);Switzerland;CHF;2
GBP_HalifaxHousePrices;20180108;08:30;Halifax House Prices (MoM);United Kingdom;GBP;1
CZK_FXReserves;20180108;09:00;FX Reserves;Czech Republic;CZK;1
EUR_EurSentixInvestorConfidence;20180108;09:30;Sentix Investor Confidence;European Monetary Union;EUR;1
EUR_EurServicesSentiment;20180108;10:00;Services Sentiment;European Monetary Union;EUR;2
EUR_EurConsumerConfidence;20180108;10:00;Consumer Confidence;European Monetary Union;EUR;2
EUR_EurIndustrialConfidence;20180108;10:00;Industrial Confidence;European Monetary Union;EUR;2
EUR_EurEconomicSentimentIndicator;20180108;10:00;Economic Sentiment Indicator;European Monetary Union;EUR;2
EUR_EurBusinessClimate;20180108;10:00;Business Climate;European Monetary Union;EUR;2
HUF_BudgetBalance;20180108;10:00;Budget Balance;Hungary;HUF;1
EUR_EurRetailSales;20180108;10:00;Retail Sales (MoM);European Monetary Union;EUR;1
CLP_ConsumerPriceIndex;20180108;11:00;Core Consumer Price Index (Inflation) (MoM);Chile;CLP;1
CLP_TradeBalance;20180108;11:30;Trade Balance;Chile;CLP;1
RON_Interestratedecision;20180108;12:00;Interest rate decision;Romania;RON;1
TRY_TreasuryCashBalance;20180108;14:30;Treasury Cash Balance;Turkey;TRY;1
CAD_BankofCanadaBusinessOutlookSurvey;20180108;15:30;Bank of Canada Business Outlook Survey;Canada;CAD;2
USD_Auction;20180108;16:30;6-Month Bill Auction;United States;USD;1
USD_ConsumerCreditChange;20180108;20:00;Consumer Credit Change;United States;USD;2
USD_CentralBankSpeech;20180108;21:00;Fed Rosengren speech;United States;USD;2
NZD_ANZ–RoyMorganConsumerConfidence;20180108;22:30;ANZ – Roy Morgan Consumer Confidence;New Zealand;NZD;2
