EUR_EurEurogroupMeeting;20180312;00:00;Eurogroup Meeting;European Monetary Union;EUR;2
JPY_MachineToolOrders;20180312;06:00;Machine Tool Orders (YoY);Japan;JPY;1
RON_TradeBalance;20180312;07:00;Trade Balance;Romania;RON;1
DKK_Inflation;20180312;07:00;Inflation (HICP) (YoY);Denmark;DKK;1
DKK_ConsumerPriceIndex;20180312;07:00;Consumer Price Index (YoY);Denmark;DKK;1
TRY_CurrentAccount;20180312;07:00;Current Account Balance;Turkey;TRY;1
DKK_TradeBalance;20180312;07:00;Trade Balance;Denmark;DKK;1
DKK_CurrentAccount;20180312;07:00;Current Account;Denmark;DKK;1
INR_IndustrialOutput;20180312;11:30;Industrial Output;India;INR;1
INR_CumulativeIndustrialOutput;20180312;11:30;Cumulative Industrial Output;India;INR;1
INR_ManufacturingOutput;20180312;11:30;Manufacturing Output;India;INR;1
USD_Auction;20180312;17:00;3-Year Note Auction;United States;USD;1
USD_MonthlyBudgetStatement;20180312;18:00;Monthly Budget Statement;United States;USD;2
NZD_FoodPriceIndex;20180312;21:45;Food Price Index (MoM);New Zealand;NZD;1
NZD_CentralBankSpeech;20180312;23:45;RBNZ Governor Spencer speech;New Zealand;NZD;3
JPY_ProducerPriceIndex;20180312;23:50;Producer Price Index (YoY);Japan;JPY;1
