IDR_WaisakDay;20180529;00:00;Waisak Day;Indonesia;IDR;0
USD_CentralBankSpeech;20180529;04:40;Fed Bullard speech;United States;USD;2
CHF_Exports;20180529;06:00;Exports (MoM);Switzerland;CHF;1
CHF_Imports;20180529;06:00;Imports (MoM);Switzerland;CHF;1
CHF_TradeBalance;20180529;06:00;Trade Balance;Switzerland;CHF;1
EUR_FraConsumerConfidence;20180529;06:45;Consumer Confidence;France;EUR;1
HUF_UnemploymentRate;20180529;07:00;Unemployment Rate (3M);Hungary;HUF;1
SEK_ConsumerConfidence;20180529;07:00;Consumer Confidence (MoM);Sweden;SEK;1
EUR_ItaConsumerConfidence;20180529;08:00;Consumer Confidence;Italy;EUR;1
EUR_ItaBusinessConfidence;20180529;08:00;Business Confidence;Italy;EUR;1
EUR_EurPrivateLoans;20180529;08:00;Private Loans (YoY);European Monetary Union;EUR;1
EUR_EurM3MoneySupply;20180529;08:00;M3 Money Supply (3m);European Monetary Union;EUR;1
BRL_InflationIndexIGPM;20180529;11:00;Inflation Index/IGP-M;Brazil;BRL;1
BRL_UnemploymentRate;20180529;12:00;Unemployment Rate;Brazil;BRL;1
USD_S&PCaseShillerHomePriceIndices;20180529;13:00;S&P/Case-Shiller Home Price Indices (YoY);United States;USD;2
USD_ConsumerConfidence;20180529;14:00;Consumer Confidence;United States;USD;2
USD_DallasFedManufacturingBusinessIndex;20180529;14:30;Dallas Fed Manufacturing Business Index;United States;USD;1
USD_Auction;20180529;15:30;4-Week Bill Auction;United States;USD;1
EUR_EurCentralBankSpeech;20180529;16:30;ECB Lautenschläger speech;European Monetary Union;EUR;2
NZD_RBNZFinancialStabilityReport;20180529;21:00;RBNZ Financial Stability Report;New Zealand;NZD;2
NZD_BuildingPermits;20180529;22:45;Building Permits s.a. (MoM);New Zealand;NZD;2
GBP_BRCShopPriceIndex;20180529;23:01;BRC Shop Price Index (YoY);United Kingdom;GBP;1
JPY_RetailTrade;20180529;23:50;Retail Trade (YoY);Japan;JPY;2
JPY_LargeRetailerSales;20180529;23:50;Large Retailer Sales;Japan;JPY;2
