DKK_ConstitutionDay;20180605;00:00;Constitution Day ;Denmark;DKK;0
JPY_JibunBankServicesPMI;20180605;00:30;Jibun Bank Services PMI;Japan;JPY;1
AUD_CurrentAccount;20180605;01:30;Current Account Balance;Australia;AUD;1
CNY_CaixinServicesPMI;20180605;01:45;Caixin Services PMI;China;CNY;2
JPY_Auction;20180605;03:35;10-y Bond Auction;Japan;JPY;1
AUD_RBAInterestRateDecision;20180605;04:30;RBA Interest Rate Decision;Australia;AUD;3
AUD_RBARateStatement;20180605;04:30;RBA Rate Statement;Australia;AUD;3
RUB_S&PGlobalServicesPMI;20180605;06:00;S&P Global Services PMI;Russia;RUB;1
EUR_FraBudgetBalance;20180605;06:45;Budget Balance;France;EUR;1
CZK_RetailSales;20180605;07:00;Retail Sales (YoY);Czech Republic;CZK;1
HUF_RetailSales;20180605;07:00;Retail Sales (YoY);Hungary;HUF;1
HUF_GrossDomesticProduct;20180605;07:00;Gross Domestic Product (YoY);Hungary;HUF;1
SEK_IndustrialProductionValue;20180605;07:30;Industrial Production Value (YoY);Sweden;SEK;1
SEK_NewOrdersManufacturing;20180605;07:30;New Orders Manufacturing (YoY);Sweden;SEK;1
EUR_ItaHCOBServicesPMI;20180605;07:45;HCOB Services PMI;Italy;EUR;1
EUR_FraHCOBServicesPMI;20180605;07:50;HCOB Services PMI;France;EUR;1
EUR_FraHCOBCompositePMI;20180605;07:50;HCOB Composite PMI;France;EUR;1
EUR_GerHCOBServicesPMI;20180605;07:55;HCOB Services PMI;Germany;EUR;2
EUR_GerHCOBCompositePMI;20180605;07:55;HCOB Composite PMI;Germany;EUR;2
BRL_FipeIPCInflation;20180605;08:00;Fipe IPC Inflation;Brazil;BRL;1
EUR_EurHCOBServicesPMI;20180605;08:00;HCOB Services PMI;European Monetary Union;EUR;2
EUR_EurHCOBCompositePMI;20180605;08:00;HCOB Composite PMI;European Monetary Union;EUR;2
GBP_S&PGlobalCIPSServicesPMI;20180605;08:30;S&P Global/CIPS Services PMI;United Kingdom;GBP;2
EUR_EurRetailSales;20180605;09:00;Retail Sales (MoM);European Monetary Union;EUR;1
ZAR_GrossDomesticProduct;20180605;09:30;Gross Domestic Product (QoQ);South Africa;ZAR;1
GBP_CentralBankSpeech;20180605;10:00;BoE Cunliffe speech;United Kingdom;GBP;2
CLP_IMACEC;20180605;11:30;IMACEC;Chile;CLP;1
BRL_IndustrialOutput;20180605;12:00;Industrial Output (MoM);Brazil;BRL;1
CAD_LaborProductivity;20180605;12:30;Labor Productivity (QoQ);Canada;CAD;1
USD_RedbookIndex;20180605;12:55;Redbook Index (YoY);United States;USD;1
RUB_ConsumerPriceIndex;20180605;13:00;Consumer Price Index (MoM);Russia;RUB;1
MXN_ConsumerConfidence;20180605;13:00;Consumer Confidence s.a;Mexico;MXN;1
USD_S&PGlobalServicesPMI;20180605;13:45;S&P Global Services PMI;United States;USD;2
USD_S&PGlobalCompositePMI;20180605;13:45;S&P Global Composite PMI;United States;USD;2
USD_JOLTSJobOpenings;20180605;14:00;JOLTS Job Openings;United States;USD;1
USD_ISMServicesEmploymentIndex;20180605;14:00;ISM Services Employment Index;United States;USD;2
USD_ISMServicesPricesPaid;20180605;14:00;ISM Services Prices Paid;United States;USD;2
USD_ISMServicesNewOrdersIndex;20180605;14:00;ISM Services New Orders Index;United States;USD;2
USD_ISMServicesPMI;20180605;14:00;ISM Services PMI;United States;USD;2
NZD_GDTPriceIndex;20180605;14:35;GDT Price Index;New Zealand;NZD;2
USD_Auction;20180605;15:30;4-Week Bill Auction;United States;USD;1
EUR_GerCentralBankSpeech;20180605;17:30;German Buba President Weidmann speech;Germany;EUR;2
USD_APIWeeklyCrudeOilStock;20180605;20:30;API Weekly Crude Oil Stock;United States;USD;1
AUD_CentralBankSpeech;20180605;23:00;RBA Bullock speech;Australia;AUD;2
