SEK_Midsummer´sEve;20180622;00:00;Midsummer´s Eve;Sweden;SEK;0
EUR_EurEcoFinMeeting;20180622;00:00;EcoFin Meeting;European Monetary Union;EUR;2
USD_OPECMeeting;20180622;00:00;OPEC Meeting;United States;USD;2
JPY_JibunBankManufacturingPMI;20180622;00:30;Jibun Bank Manufacturing PMI;Japan;JPY;1
NZD_CreditCardSpending;20180622;03:00;Credit Card Spending (YoY);New Zealand;NZD;1
JPY_AllIndustryActivityIndex;20180622;04:30;All Industry Activity Index (MoM);Japan;JPY;2
EUR_FraGrossDomesticProduct;20180622;06:45;Gross Domestic Product (QoQ);France;EUR;1
EUR_FraHCOBManufacturingPMI;20180622;07:00;HCOB Manufacturing PMI;France;EUR;1
EUR_FraHCOBServicesPMI;20180622;07:00;HCOB Services PMI;France;EUR;1
EUR_FraHCOBCompositePMI;20180622;07:00;HCOB Composite PMI;France;EUR;1
EUR_GerHCOBCompositePMI;20180622;07:30;HCOB Composite PMI;Germany;EUR;2
EUR_GerHCOBManufacturingPMI;20180622;07:30;HCOB Manufacturing PMI;Germany;EUR;3
EUR_GerHCOBServicesPMI;20180622;07:30;HCOB Services PMI;Germany;EUR;2
EUR_EurHCOBServicesPMI;20180622;08:00;HCOB Services PMI;European Monetary Union;EUR;2
EUR_EurHCOBManufacturingPMI;20180622;08:00;HCOB Manufacturing PMI;European Monetary Union;EUR;2
EUR_EurHCOBCompositePMI;20180622;08:00;HCOB Composite PMI;European Monetary Union;EUR;2
GBP_BoEQuarterlyBulletin;20180622;11:00;BoE Quarterly Bulletin;United Kingdom;GBP;1
INR_FXReservesUSD;20180622;11:30;FX Reserves, USD;India;INR;1
CAD_RetailSales;20180622;12:30;Retail Sales ex Autos (MoM);Canada;CAD;2
CAD_ConsumerPriceIndex;20180622;12:30;Consumer Price Index (MoM);Canada;CAD;2
USD_S&PGlobalManufacturingPMI;20180622;13:45;S&P Global Manufacturing PMI;United States;USD;1
USD_S&PGlobalServicesPMI;20180622;13:45;S&P Global Services PMI;United States;USD;2
USD_S&PGlobalCompositePMI;20180622;13:45;S&P Global Composite PMI;United States;USD;2
MXN_1sthalfmonthInflation;20180622;14:00;1st half-month Inflation;Mexico;MXN;1
MXN_1sthalfmonthCoreInflation;20180622;14:00;1st half-month Core Inflation;Mexico;MXN;1
USD_BakerHughesUSOilRigCount;20180622;17:00;Baker Hughes US Oil Rig Count;United States;USD;2
AUD_CFTCAUDNCNetPositions;20180622;19:30;CFTC AUD NC Net Positions;Australia;AUD;1
JPY_CFTCJPYNCNetPositions;20180622;19:30;CFTC JPY NC Net Positions;Japan;JPY;1
USD_CFTCS&P500NCNetPositions;20180622;19:30;CFTC S&P 500 NC Net Positions;United States;USD;1
GBP_CFTCGBPNCNetPositions;20180622;19:30;CFTC GBP NC Net Positions;United Kingdom;GBP;1
USD_CFTCGoldNCNetPositions;20180622;19:30;CFTC Gold NC Net Positions;United States;USD;1
USD_CFTCOilNCNetPositions;20180622;19:30;CFTC Oil NC Net Positions;United States;USD;1
EUR_EurCFTCEURNCNetPositions;20180622;19:30;CFTC EUR NC Net Positions;European Monetary Union;EUR;1
