AUD_RBAMeetingMinutes;20180821;01:30;RBA Meeting Minutes;Australia;AUD;3
NZD_CreditCardSpending;20180821;03:00;Credit Card Spending (YoY);New Zealand;NZD;1
CHF_TradeBalance;20180821;06:00;Trade Balance;Switzerland;CHF;1
CHF_Exports;20180821;06:00;Exports (MoM);Switzerland;CHF;1
CHF_Imports;20180821;06:00;Imports (MoM);Switzerland;CHF;1
GBP_PublicSectorNetBorrowing;20180821;08:30;Public Sector Net Borrowing;United Kingdom;GBP;2
GBP_CBIIndustrialTrendsSurvey–Orders;20180821;10:00;CBI Industrial Trends Survey – Orders (MoM);United Kingdom;GBP;1
HUF_MNBInterestRateDecision;20180821;12:00;MNB Interest Rate Decision;Hungary;HUF;1
CAD_WholesaleSales;20180821;12:30;Wholesale Sales (MoM);Canada;CAD;1
USD_RedbookIndex;20180821;12:55;Redbook Index (YoY);United States;USD;1
NZD_GDTPriceIndex;20180821;14:24;GDT Price Index;New Zealand;NZD;2
USD_Auction;20180821;15:30;4-Week Bill Auction;United States;USD;1
USD_APIWeeklyCrudeOilStock;20180821;20:30;API Weekly Crude Oil Stock;United States;USD;1
NZD_RetailSales;20180821;22:45;Retail Sales (QoQ);New Zealand;NZD;2
