TRY_RepublicDay;20181029;00:00;Republic Day ;Turkey;TRY;0
AUD_HIANewHomeSales;20181029;04:20;HIA New Home Sales (MoM);Australia;AUD;2
ZAR_M3MoneySupply;20181029;06:00;M3 Money Supply (YoY);South Africa;ZAR;1
ZAR_PrivateSectorCredit;20181029;06:00;Private Sector Credit;South Africa;ZAR;1
EUR_ItaProducerPriceIndex;20181029;09:00;Producer Price Index (YoY);Italy;EUR;1
GBP_NetLendingtoIndividuals;20181029;09:30;Net Lending to Individuals (MoM);United Kingdom;GBP;1
GBP_ConsumerCredit;20181029;09:30;Consumer Credit;United Kingdom;GBP;1
GBP_MortgageApprovals;20181029;09:30;Mortgage Approvals;United Kingdom;GBP;2
GBP_M4MoneySupply;20181029;09:30;M4 Money Supply (YoY);United Kingdom;GBP;1
EUR_EurEuropeanCommissionreleasesEconomicGrowthForecasts;20181029;10:00;European Commission releases Economic Growth Forecasts;European Monetary Union;EUR;2
GBP_AutumnForecastStatement;20181029;12:30;Autumn Forecast Statement;United Kingdom;GBP;2
USD_PersonalSpending;20181029;12:30;Personal Spending;United States;USD;2
USD_CorePersonalConsumptionExpendituresPriceIndex;20181029;12:30;Core Personal Consumption Expenditures - Price Index (YoY);United States;USD;3
USD_PersonalIncome;20181029;12:30;Personal Income (MoM);United States;USD;2
USD_PersonalConsumptionExpendituresPriceIndex;20181029;12:30;Personal Consumption Expenditures - Price Index (MoM);United States;USD;2
BRL_PrimaryBudgetSurplus;20181029;12:30;Primary Budget Surplus;Brazil;BRL;1
BRL_NominalBudgetBalance;20181029;12:30;Nominal Budget Balance;Brazil;BRL;1
USD_CentralBankSpeech;20181029;13:45;Fed Evans speech;United States;USD;1
USD_DallasFedManufacturingBusinessIndex;20181029;14:30;Dallas Fed Manufacturing Business Index;United States;USD;1
USD_Auction;20181029;15:30;3-Month Bill Auction;United States;USD;1
KRW_BOKManufacturingBSI;20181029;21:00;BOK Manufacturing BSI;South Korea;KRW;1
JPY_UnemploymentRate;20181029;23:30;Unemployment Rate;Japan;JPY;2
JPY_JobsApplicantsRatio;20181029;23:30;Jobs / Applicants Ratio;Japan;JPY;2
