BRL_AllSoulsDay;20181102;00:00;All Souls Day;Brazil;BRL;0
AUD_RetailSales;20181102;00:30;Retail Sales s.a. (MoM);Australia;AUD;2
AUD_ProducerPriceIndex;20181102;00:30;Producer Price Index (YoY);Australia;AUD;1
TRY_Exports;20181102;05:00;Exports;Turkey;TRY;1
EUR_GerImportPriceIndex;20181102;07:00;Import Price Index (YoY);Germany;EUR;1
EUR_FraBudgetBalance;20181102;07:45;Budget Balance;France;EUR;1
TRY_TradeBalance;20181102;08:00;Trade Balance;Turkey;TRY;1
PLN_PurchasingManagerIndex;20181102;08:00;Purchasing Manager Index;Poland;PLN;2
CHF_RetailSales;20181102;08:15;Real Retail Sales (YoY);Switzerland;CHF;2
EUR_ItaHCOBManufacturingPMI;20181102;08:45;HCOB Manufacturing PMI;Italy;EUR;1
EUR_FraHCOBManufacturingPMI;20181102;08:50;HCOB Manufacturing PMI;France;EUR;1
EUR_GerHCOBManufacturingPMI;20181102;08:55;HCOB Manufacturing PMI;Germany;EUR;2
NOK_RegisteredUnemployment;20181102;09:00;Registered Unemployment s.a;Norway;NOK;1
EUR_EurHCOBManufacturingPMI;20181102;09:00;HCOB Manufacturing PMI;European Monetary Union;EUR;2
GBP_S&PGlobalConstructionPMI;20181102;09:30;S&P Global Construction PMI;United Kingdom;GBP;2
INR_FXReservesUSD;20181102;11:30;FX Reserves, USD;India;INR;1
USD_LaborForceParticipationRate;20181102;12:30;Labor Force Participation Rate;United States;USD;2
USD_AverageHourlyEarnings;20181102;12:30;Average Hourly Earnings (MoM);United States;USD;2
USD_UnemploymentRate;20181102;12:30;Unemployment Rate;United States;USD;2
USD_NonfarmPayrolls;20181102;12:30;Nonfarm Payrolls;United States;USD;3
USD_AverageWeeklyHours;20181102;12:30;Average Weekly Hours;United States;USD;1
USD_GoodsandServicesTradeBalance;20181102;12:30;Goods and Services Trade Balance;United States;USD;2
CAD_Imports;20181102;12:30;Imports;Canada;CAD;1
CAD_InternationalMerchandiseTrade;20181102;12:30;International Merchandise Trade;Canada;CAD;2
CAD_Exports;20181102;12:30;Exports;Canada;CAD;1
CAD_ParticipationRate;20181102;12:30;Participation Rate;Canada;CAD;2
CAD_UnemploymentRate;20181102;12:30;Unemployment Rate;Canada;CAD;3
CAD_AverageHourlyWages;20181102;12:30;Average Hourly Wages (YoY);Canada;CAD;2
CAD_NetChangeinEmployment;20181102;12:30;Net Change in Employment;Canada;CAD;3
USD_U6UnderemploymentRate;20181102;13:30;U6 Underemployment Rate;United States;USD;1
USD_ISMNYBusinessConditionsIndex;20181102;13:45;ISM-NY Business Conditions Index;United States;USD;1
USD_FactoryOrders;20181102;14:00;Factory Orders (MoM);United States;USD;2
DKK_CurrencyReserves;20181102;15:00;Currency Reserves;Denmark;DKK;1
JPY_CultureDay;20181102;15:00;Culture Day;Japan;JPY;0
USD_BakerHughesUSOilRigCount;20181102;17:00;Baker Hughes US Oil Rig Count;United States;USD;2
EUR_EurCFTCEURNCNetPositions;20181102;19:30;CFTC EUR NC Net Positions;European Monetary Union;EUR;1
AUD_CFTCAUDNCNetPositions;20181102;19:30;CFTC AUD NC Net Positions;Australia;AUD;1
USD_CFTCS&P500NCNetPositions;20181102;19:30;CFTC S&P 500 NC Net Positions;United States;USD;1
GBP_CFTCGBPNCNetPositions;20181102;19:30;CFTC GBP NC Net Positions;United Kingdom;GBP;1
USD_CFTCGoldNCNetPositions;20181102;19:30;CFTC Gold NC Net Positions;United States;USD;1
USD_CFTCOilNCNetPositions;20181102;19:30;CFTC Oil NC Net Positions;United States;USD;1
JPY_CFTCJPYNCNetPositions;20181102;19:30;CFTC JPY NC Net Positions;Japan;JPY;1
