JPY_LaborThanksgivingDay;20181123;00:00;Labor Thanksgiving Day;Japan;JPY;0
EUR_GerGrossDomesticProduct;20181123;07:00;Gross Domestic Product w.d.a (YoY);Germany;EUR;2
EUR_FraHCOBServicesPMI;20181123;08:15;HCOB Services PMI;France;EUR;1
EUR_FraHCOBCompositePMI;20181123;08:15;HCOB Composite PMI;France;EUR;1
EUR_FraHCOBManufacturingPMI;20181123;08:15;HCOB Manufacturing PMI;France;EUR;1
EUR_GerHCOBCompositePMI;20181123;08:30;HCOB Composite PMI;Germany;EUR;2
EUR_GerHCOBManufacturingPMI;20181123;08:30;HCOB Manufacturing PMI;Germany;EUR;3
EUR_GerHCOBServicesPMI;20181123;08:30;HCOB Services PMI;Germany;EUR;2
EUR_ItaTradeBalancenonEU;20181123;09:00;Trade Balance non-EU;Italy;EUR;1
EUR_EurHCOBServicesPMI;20181123;09:00;HCOB Services PMI;European Monetary Union;EUR;2
EUR_EurHCOBCompositePMI;20181123;09:00;HCOB Composite PMI;European Monetary Union;EUR;2
EUR_EurHCOBManufacturingPMI;20181123;09:00;HCOB Manufacturing PMI;European Monetary Union;EUR;2
BRL_MidmonthInflation;20181123;11:00;Mid-month Inflation;Brazil;BRL;1
INR_BankLoanGrowth;20181123;11:30;Bank Loan Growth;India;INR;1
INR_FXReservesUSD;20181123;11:30;FX Reserves, USD;India;INR;1
PLN_M3MoneySupply;20181123;13:00;M3 Money Supply (YoY);Poland;PLN;1
CAD_RetailSales;20181123;13:30;Retail Sales ex Autos (MoM);Canada;CAD;2
CAD_ConsumerPriceIndex;20181123;13:30;Consumer Price Index - Core (MoM);Canada;CAD;2
MXN_GrossDomesticProduct;20181123;14:00;Gross Domestic Product (QoQ);Mexico;MXN;1
USD_S&PGlobalManufacturingPMI;20181123;14:45;S&P Global Manufacturing PMI;United States;USD;1
USD_S&PGlobalServicesPMI;20181123;14:45;S&P Global Services PMI;United States;USD;2
USD_S&PGlobalCompositePMI;20181123;14:45;S&P Global Composite PMI;United States;USD;2
MXN_CurrentAccount;20181123;15:28;Accumulated Current Account/GDP;Mexico;MXN;1
