GBP_UKParliamentaryVoteonBrexit;20190115;00:00;UK Parliamentary Vote on Brexit;United Kingdom;GBP;3
IDR_Exports;20190115;04:00;Exports;Indonesia;IDR;1
IDR_TradeBalance;20190115;04:00;Trade Balance;Indonesia;IDR;1
IDR_Imports;20190115;04:00;Imports;Indonesia;IDR;1
JPY_MachineToolOrders;20190115;06:00;Machine Tool Orders (YoY);Japan;JPY;1
NOK_TradeBalance;20190115;07:00;Trade Balance;Norway;NOK;1
TRY_UnemploymentRate;20190115;07:00;Unemployment Rate;Turkey;TRY;1
EUR_FraConsumerPriceIndex;20190115;07:45;Consumer Price Index (EU norm) (YoY);France;EUR;2
EUR_FraInflationextobacco;20190115;07:45;Inflation ex-tobacco (MoM);France;EUR;1
EUR_FraBudgetBalance;20190115;07:45;Budget Balance;France;EUR;1
CNY_M2MoneySupply;20190115;08:00;M2 Money Supply (YoY);China;CNY;1
TRY_BudgetBalance;20190115;08:00;Budget Balance;Turkey;TRY;1
HUF_ConsumerPriceIndex;20190115;08:00;Consumer Price Index (YoY);Hungary;HUF;1
CNY_NewLoans;20190115;08:00;New Loans;China;CNY;1
EUR_GerRealGDPGrowth;20190115;09:00;Real GDP Growth;Germany;EUR;1
EUR_EurTradeBalance;20190115;10:00;Trade Balance n.s.a.;European Monetary Union;EUR;1
BRL_RetailSales;20190115;11:00;Retail Sales (MoM);Brazil;BRL;1
INR_TradeDeficitGovernment;20190115;11:30;Trade Deficit Government;India;INR;1
USD_NYEmpireStateManufacturingIndex;20190115;13:30;NY Empire State Manufacturing Index;United States;USD;1
USD_ProducerPriceIndex;20190115;13:30;Producer Price Index (YoY);United States;USD;1
USD_RedbookIndex;20190115;13:55;Redbook Index (YoY);United States;USD;1
NZD_GDTPriceIndex;20190115;14:20;GDT Price Index;New Zealand;NZD;2
EUR_EurCentralBankSpeech;20190115;15:00;ECB President Draghi speech;European Monetary Union;EUR;3
USD_IBDTIPPEconomicOptimism;20190115;15:00;IBD/TIPP Economic Optimism (MoM);United States;USD;1
ILS_ConsumerPriceIndex;20190115;16:30;Consumer Price Index (YoY);Israel;ILS;1
USD_CentralBankSpeech;20190115;18:00;Fed George speech;United States;USD;1
USD_APIWeeklyCrudeOilStock;20190115;21:30;API Weekly Crude Oil Stock;United States;USD;1
NZD_RetailSales;20190115;21:45;Electronic Card Retail Sales  (MoM);New Zealand;NZD;1
AUD_WestpacConsumerConfidence;20190115;23:30;Westpac Consumer Confidence;Australia;AUD;2
JPY_ProducerPriceIndex;20190115;23:50;Producer Price Index (YoY);Japan;JPY;1
JPY_MachineryOrders;20190115;23:50;Machinery Orders (MoM);Japan;JPY;2
