KRW_KoreanNewYear;20190204;00:00;Korean New Year ;South Korea;KRW;0
AUD_TDSecuritiesInflation;20190204;00:00;TD Securities Inflation (MoM);Australia;AUD;2
AUD_ANZJobAdvertisements;20190204;00:30;ANZ Job Advertisements;Australia;AUD;1
AUD_BuildingPermits;20190204;00:30;Building Permits (YoY);Australia;AUD;1
MXN_ConstitutionDay;20190204;06:00;Constitution Day;Mexico;MXN;0
TRY_ProducerPriceIndex;20190204;07:00;Producer Price Index (YoY);Turkey;TRY;1
TRY_ConsumerPriceIndex;20190204;07:00;Consumer Price Index (YoY);Turkey;TRY;1
BRL_FipeIPCInflation;20190204;07:00;Fipe IPC Inflation;Brazil;BRL;1
EUR_EurCentralBankSpeech;20190204;08:30;ECB Mersch speech;European Monetary Union;EUR;2
TRY_Exports;20190204;09:00;Exports;Turkey;TRY;1
EUR_EurSentixInvestorConfidence;20190204;09:30;Sentix Investor Confidence;European Monetary Union;EUR;1
GBP_S&PGlobalConstructionPMI;20190204;09:30;S&P Global Construction PMI;United Kingdom;GBP;1
EUR_ItaConsumerPriceIndex;20190204;10:00;Consumer Price Index (MoM);Italy;EUR;1
EUR_EurProducerPriceIndex;20190204;10:00;Producer Price Index (YoY);European Monetary Union;EUR;1
INR_FederalFiscalDeficitINR;20190204;10:49;Federal Fiscal Deficit, INR;India;INR;1
USD_ISMNYBusinessConditionsIndex;20190204;14:45;ISM-NY Business Conditions Index;United States;USD;1
USD_FactoryOrders;20190204;15:00;Factory Orders (MoM);United States;USD;2
USD_DurableGoodsOrders;20190204;15:00;Durable Goods Orders ex Defense;United States;USD;3
DKK_CurrencyReserves;20190204;16:00;Currency Reserves;Denmark;DKK;1
CNY_ChineseNewYear;20190204;16:00;Chinese New Year;China;CNY;0
USD_Auction;20190204;16:30;3-Month Bill Auction;United States;USD;1
USD_LoanOfficerSurvey;20190204;19:00;Loan Officer Survey;United States;USD;1
AUD_AiGPerformanceofServicesIndex;20190204;21:30;AiG Performance of Services Index;Australia;AUD;1
AUD_S&PGlobalServicesPMI;20190204;22:00;S&P Global Services PMI;Australia;AUD;1
AUD_S&PGlobalCompositePMI;20190204;22:00;S&P Global Composite PMI;Australia;AUD;1
