CNY_ChineseNewYear;20190207;00:00;Chinese New Year;China;CNY;0
AUD_NationalAustraliaBankBusinessConfidence;20190207;00:30;National Australia Bank Business Confidence (QoQ);Australia;AUD;2
JPY_CoincidentIndex;20190207;05:00;Coincident Index;Japan;JPY;1
JPY_LeadingEconomicIndex;20190207;05:00;Leading Economic Index;Japan;JPY;2
ZAR_Gross$Gold&ForexReserve;20190207;06:00;Gross $Gold & Forex Reserve ;South Africa;ZAR;1
ZAR_Net$Gold&ForexReserve;20190207;06:00;Net $Gold & Forex Reserve;South Africa;ZAR;1
INR_ReverseRepoRate;20190207;06:15;Reverse Repo Rate;India;INR;1
INR_RBIInterestRateDecision;20190207;06:15;RBI Interest Rate Decision (Repo Rate);India;INR;1
EUR_GerIndustrialProduction;20190207;07:00;Industrial Production s.a. (MoM);Germany;EUR;2
DKK_IndustrialProduction;20190207;07:00;Industrial Production (MoM);Denmark;DKK;1
NOK_ManufacturingOutput;20190207;07:00;Manufacturing Output;Norway;NOK;1
EUR_FraTradeBalanceEUR;20190207;07:45;Trade Balance EUR;France;EUR;1
EUR_FraExportsEUR;20190207;07:45;Exports, EUR;France;EUR;1
EUR_FraImportsEUR;20190207;07:45;Imports, EUR;France;EUR;1
EUR_FraCurrentAccount;20190207;07:45;Current Account;France;EUR;1
EUR_FraIndividualInvestment;20190207;07:45;Individual Investment (Current Year);France;EUR;1
HUF_IndustrialOutput;20190207;08:00;Industrial Output (YoY);Hungary;HUF;1
CHF_ForeignCurrencyReserves;20190207;08:00;Foreign Currency Reserves;Switzerland;CHF;1
GBP_HalifaxHousePrices;20190207;08:30;Halifax House Prices (YoY/3m);United Kingdom;GBP;1
EUR_ItaRetailSales;20190207;09:00;Retail Sales s.a. (MoM);Italy;EUR;1
CZK_FXReserves;20190207;09:00;FX Reserves;Czech Republic;CZK;1
EUR_EurEconomicBulletin;20190207;09:00;Economic Bulletin;European Monetary Union;EUR;2
EUR_EurEuropeanCommissionreleasesEconomicGrowthForecasts;20190207;10:00;European Commission releases Economic Growth Forecasts;European Monetary Union;EUR;2
GBP_MayJunckerMeeting;20190207;10:00;May - Juncker Meeting;United Kingdom;GBP;2
EUR_FraAuction;20190207;10:19;10-y Bond Auction;France;EUR;1
ILS_FXReserves;20190207;11:00;FX Reserves;Israel;ILS;1
CLP_TradeBalance;20190207;11:00;Trade Balance;Chile;CLP;1
GBP_BoEAssetPurchaseFacility;20190207;12:00;BoE Asset Purchase Facility;United Kingdom;GBP;3
GBP_BoEInterestRateDecision;20190207;12:00;BoE Interest Rate Decision;United Kingdom;GBP;3
GBP_MonetaryPolicySummary;20190207;12:00;Monetary Policy Summary;United Kingdom;GBP;3
GBP_BankofEnglandMonetaryPolicyReport;20190207;12:00;Bank of England Monetary Policy Report;United Kingdom;GBP;3
GBP_BoEMPCVoteRateUnchanged;20190207;12:00;BoE MPC Vote Rate Unchanged;United Kingdom;GBP;3
GBP_BoEMPCVoteRateCut;20190207;12:00;BoE MPC Vote Rate Cut;United Kingdom;GBP;3
GBP_BoEMPCVoteRateHike;20190207;12:00;BoE MPC Vote Rate Hike;United Kingdom;GBP;3
GBP_BankofEnglandMinutes;20190207;12:00;Bank of England Minutes;United Kingdom;GBP;3
RON_Interestratedecision;20190207;12:00;Interest rate decision;Romania;RON;1
EUR_EurCentralBankSpeech;20190207;12:15;ECB Mersch speech;European Monetary Union;EUR;2
GBP_CentralBankSpeech;20190207;12:30;BoE Governor Carney speech;United Kingdom;GBP;3
CZK_CNBInterestRateDecision;20190207;13:00;CNB Interest Rate Decision;Czech Republic;CZK;1
RUB_CentralBankReserves;20190207;13:00;Central Bank Reserves $;Russia;RUB;1
PLN_CentralBankFXReserves;20190207;13:00;Central Bank FX Reserves;Poland;PLN;1
USD_JoblessClaims;20190207;13:30;Continuing Jobless Claims;United States;USD;1
MXN_HeadlineInflation;20190207;14:00;Headline Inflation;Mexico;MXN;1
MXN_CoreInflation;20190207;14:00;Core Inflation;Mexico;MXN;1
MXN_12MonthInflation;20190207;14:00;12-Month Inflation;Mexico;MXN;1
TRY_TreasuryCashBalance;20190207;14:30;Treasury Cash Balance;Turkey;TRY;1
USD_CentralBankSpeech;20190207;14:30;Fed Clarida speech;United States;USD;2
USD_EIANaturalGasStorageChange;20190207;15:30;EIA Natural Gas Storage Change;United States;USD;1
USD_Auction;20190207;18:00;30-Year Bond Auction;United States;USD;1
MXN_CentralBankInterestRate;20190207;19:00;Central Bank Interest Rate;Mexico;MXN;1
USD_ConsumerCreditChange;20190207;20:00;Consumer Credit Change;United States;USD;1
KRW_FXReserves;20190207;21:00;FX Reserves;South Korea;KRW;1
JPY_OverallHouseholdSpending;20190207;23:30;Overall Household Spending (YoY);Japan;JPY;2
JPY_BankLending;20190207;23:50;Bank Lending (YoY);Japan;JPY;1
JPY_CurrentAccount;20190207;23:50;Current Account n.s.a.;Japan;JPY;1
JPY_TradeBalanceBOPBasis;20190207;23:50;Trade Balance - BOP Basis;Japan;JPY;1
