KRW_MemorialDay;20190606;00:00;Memorial Day ;South Korea;KRW;0
IDR_EidAlFitr;20190606;00:00;Eid Al Fitr;Indonesia;IDR;0
SEK_NationalDay;20190606;00:00;National Day;Sweden;SEK;0
NZD_ANZCommodityPrice;20190606;00:00;ANZ Commodity Price;New Zealand;NZD;1
TRY_RamazanFeast;20190606;00:00;Ramazan Feast;Turkey;TRY;0
COP_ConsumerPriceIndex;20190606;00:00;Consumer Price Index (YoY);Colombia;COP;1
AUD_Exports;20190606;01:30;Exports (MoM);Australia;AUD;2
AUD_Imports;20190606;01:30;Imports (MoM);Australia;AUD;2
AUD_TradeBalance;20190606;01:30;Trade Balance (MoM);Australia;AUD;2
JPY_CentralBankSpeech;20190606;03:50;BoJ Governor Kuroda speech;Japan;JPY;3
RON_GrossDomesticProduct;20190606;06:00;Gross Domestic Product;Romania;RON;1
EUR_GerFactoryOrders;20190606;06:00;Factory Orders n.s.a. (YoY);Germany;EUR;1
INR_ReverseRepoRate;20190606;06:15;Reverse Repo Rate;India;INR;1
INR_RBIInterestRateDecision;20190606;06:15;RBI Interest Rate Decision (Repo Rate);India;INR;1
HUF_IndustrialOutput;20190606;07:00;Industrial Output (YoY);Hungary;HUF;1
CZK_IndustrialProduction;20190606;07:00;Industrial Production (YoY);Czech Republic;CZK;1
CZK_Constructionoutput;20190606;07:00;Construction output (YoY);Czech Republic;CZK;1
CZK_ForeignTradeBalance;20190606;07:00;Foreign Trade Balance (MoM);Czech Republic;CZK;1
EUR_FraAuction;20190606;08:40;10-y Bond Auction;France;EUR;1
EUR_EurGrossDomesticProduct;20190606;09:00;Gross Domestic Product s.a. (YoY);European Monetary Union;EUR;3
GBP_CentralBankSpeech;20190606;09:00;BoE Governor Carney speech;United Kingdom;GBP;3
EUR_EurEmploymentChange;20190606;09:00;Employment Change (YoY);European Monetary Union;EUR;1
ILS_FXReserves;20190606;11:00;FX Reserves;Israel;ILS;1
INR_M3MoneySupply;20190606;11:30;M3 Money Supply;India;INR;1
USD_ChallengerJobCuts;20190606;11:30;Challenger Job Cuts;United States;USD;1
EUR_EurECBRateOnMainRefinancingOperations;20190606;11:45;ECB Rate On Main Refinancing Operations;European Monetary Union;EUR;3
EUR_EurECBRateOnDepositFacility;20190606;11:45;ECB Rate On Deposit Facility;European Monetary Union;EUR;3
USD_GoodsandServicesTradeBalance;20190606;12:30;Goods and Services Trade Balance;United States;USD;2
USD_JoblessClaims;20190606;12:30;Continuing Jobless Claims;United States;USD;1
USD_UnitLaborCosts;20190606;12:30;Unit Labor Costs;United States;USD;2
USD_NonfarmProductivity;20190606;12:30;Nonfarm Productivity;United States;USD;2
EUR_EurECBPressConference;20190606;12:30;ECB Press Conference;European Monetary Union;EUR;3
CAD_InternationalMerchandiseTrade;20190606;12:30;International Merchandise Trade;Canada;CAD;2
CAD_Exports;20190606;12:30;Exports;Canada;CAD;1
CAD_Imports;20190606;12:30;Imports;Canada;CAD;1
RUB_ConsumerPriceIndex;20190606;13:00;Consumer Price Index (MoM);Russia;RUB;1
RUB_CentralBankReserves;20190606;13:00;Central Bank Reserves $;Russia;RUB;1
CAD_IveyPurchasingManagersIndex;20190606;14:00;Ivey Purchasing Managers Index;Canada;CAD;2
USD_EIANaturalGasStorageChange;20190606;14:30;EIA Natural Gas Storage Change;United States;USD;1
USD_Auction;20190606;15:30;4-Week Bill Auction;United States;USD;1
CNY_DragonBoatFestival;20190606;16:00;Dragon Boat Festival ;China;CNY;0
USD_CentralBankSpeech;20190606;17:00;Fed Williams speech;United States;USD;2
AUD_AiGPerformanceofConstructionIndex;20190606;22:30;AiG Performance of Construction Index;Australia;AUD;2
JPY_LaborCashEarnings;20190606;23:30;Labor Cash Earnings (YoY);Japan;JPY;1
JPY_OverallHouseholdSpending;20190606;23:30;Overall Household Spending (YoY);Japan;JPY;2
JPY_JPForeignReserves;20190606;23:50;JP Foreign Reserves;Japan;JPY;1
