AUD_WestpacConsumerConfidence;20190710;00:30;Westpac Consumer Confidence;Australia;AUD;2
CNY_ConsumerPriceIndex;20190710;01:30;Consumer Price Index (YoY);China;CNY;3
CNY_ProducerPriceIndex;20190710;01:30;Producer Price Index (YoY);China;CNY;2
NOK_ConsumerPriceIndex;20190710;06:00;Consumer Price Index (MoM);Norway;NOK;1
NOK_CoreInflation;20190710;06:00;Core Inflation (MoM);Norway;NOK;1
RON_TradeBalance;20190710;06:00;Trade Balance;Romania;RON;1
DKK_Inflation;20190710;06:00;Inflation (HICP) (YoY);Denmark;DKK;1
DKK_ConsumerPriceIndex;20190710;06:00;Consumer Price Index (YoY);Denmark;DKK;1
RON_ConsumerPriceIndex;20190710;06:00;Consumer Price Index;Romania;RON;1
NOK_ProducerPriceIndex;20190710;06:00;Producer Price Index (YoY);Norway;NOK;1
EUR_FraIndustrialOutput;20190710;06:45;Industrial Output (MoM);France;EUR;1
EUR_EurNonMonetaryPolicyECBMeeting;20190710;07:00;Non-Monetary Policy ECB Meeting;European Monetary Union;EUR;1
EUR_ItaIndustrialOutput;20190710;08:00;Industrial Output s.a. (MoM);Italy;EUR;1
GBP_ManufacturingProduction;20190710;08:30;Manufacturing Production (YoY);United Kingdom;GBP;2
GBP_IndustrialProduction;20190710;08:30;Industrial Production (YoY);United Kingdom;GBP;1
GBP_IndexofServices;20190710;08:30;Index of Services (3M/3M);United Kingdom;GBP;1
GBP_TotalTradeBalance;20190710;08:30;Total Trade Balance;United Kingdom;GBP;1
GBP_GoodsTradeBalance;20190710;08:30;Goods Trade Balance;United Kingdom;GBP;1
GBP_TradeBalancenonEU;20190710;08:30;Trade Balance non-EU;United Kingdom;GBP;1
GBP_GrossDomesticProduct;20190710;08:30;Gross Domestic Product (MoM);United Kingdom;GBP;2
EUR_EurEuropeanCommissionreleasesEconomicGrowthForecasts;20190710;09:00;European Commission releases Economic Growth Forecasts;European Monetary Union;EUR;2
EUR_GerAuction;20190710;09:40;10-y Bond Auction;Germany;EUR;2
USD_MBAMortgageApplications;20190710;11:00;MBA Mortgage Applications;United States;USD;1
BRL_IPCAInflation;20190710;12:00;IPCA Inflation;Brazil;BRL;1
GBP_NIESRGDPEstimate;20190710;12:00;NIESR GDP Estimate (3M);United Kingdom;GBP;1
RUB_BudgetFulfilment;20190710;12:30;Budget Fulfilment;Russia;RUB;1
USD_FedChairPowelltestifies;20190710;14:00;Fed Chair Powell testifies;United States;USD;3
CAD_BankofCanadaMonetaryPolicyReport;20190710;14:00;Bank of Canada Monetary Policy Report;Canada;CAD;3
USD_WholesaleInventories;20190710;14:00;Wholesale Inventories;United States;USD;1
CAD_BoCRateStatement;20190710;14:00;BoC Rate Statement;Canada;CAD;3
CAD_BoCInterestRateDecision;20190710;14:00;BoC Interest Rate Decision;Canada;CAD;3
USD_EIACrudeOilStocksChange;20190710;14:30;EIA Crude Oil Stocks Change;United States;USD;1
CAD_BoCPressConference;20190710;15:15;BoC Press Conference;Canada;CAD;3
USD_Auction;20190710;17:00;10-Year Note Auction;United States;USD;1
GBP_CentralBankSpeech;20190710;17:10;BoE Tenreyro speech;United Kingdom;GBP;2
USD_CentralBankSpeech;20190710;17:30;Fed Bullard speech;United States;USD;2
USD_FOMCMinutes;20190710;18:00;FOMC Minutes;United States;USD;3
NZD_RetailSales;20190710;22:45;Electronic Card Retail Sales  (MoM);New Zealand;NZD;1
GBP_RICSHousingPriceBalance;20190710;23:01;RICS Housing Price Balance;United Kingdom;GBP;1
JPY_ForeignInvestmentinJapanStocks;20190710;23:50;Foreign Investment in Japan Stocks;Japan;JPY;1
JPY_ForeignBondInvestment;20190710;23:50;Foreign Bond Investment;Japan;JPY;1
