CLP_ArmyDay;20190919;00:00;Army Day;Chile;CLP;0
AUD_PartTimeEmployment;20190919;01:30;Part-Time Employment;Australia;AUD;1
AUD_FullTimeEmployment;20190919;01:30;Full-Time Employment;Australia;AUD;2
AUD_EmploymentChange;20190919;01:30;Employment Change s.a.;Australia;AUD;3
AUD_UnemploymentRate;20190919;01:30;Unemployment Rate s.a.;Australia;AUD;3
AUD_ParticipationRate;20190919;01:30;Participation Rate;Australia;AUD;1
AUD_RBABulletin;20190919;01:30;RBA Bulletin;Australia;AUD;2
JPY_BoJInterestRateDecision;20190919;03:00;BoJ Interest Rate Decision;Japan;JPY;3
JPY_BoJMonetaryPolicyStatement;20190919;03:00;BoJ Monetary Policy Statement ;Japan;JPY;3
KRW_MoneySupplyGrowth;20190919;03:00;Money Supply Growth;South Korea;KRW;1
JPY_AllIndustryActivityIndex;20190919;04:30;All Industry Activity Index (MoM);Japan;JPY;2
CHF_TradeBalance;20190919;06:00;Trade Balance;Switzerland;CHF;1
CHF_Exports;20190919;06:00;Exports (MoM);Switzerland;CHF;1
CHF_Imports;20190919;06:00;Imports (MoM);Switzerland;CHF;1
JPY_BoJPressConference;20190919;06:30;BoJ Press Conference;Japan;JPY;3
IDR_BankIndonesiaRate;20190919;07:23;Bank Indonesia Rate;Indonesia;IDR;1
CHF_SNBInterestRateDecision;20190919;07:30;SNB Interest Rate Decision;Switzerland;CHF;3
CHF_SNBMonetaryPolicyAssessment;20190919;07:30;SNB Monetary Policy Assessment;Switzerland;CHF;3
EUR_EurCurrentAccount;20190919;08:00;Current Account n.s.a;European Monetary Union;EUR;1
PLN_IndustrialOutput;20190919;08:00;Industrial Output (YoY);Poland;PLN;1
PLN_ProducerPriceIndex;20190919;08:00;Producer Price Index (YoY);Poland;PLN;1
NOK_NorgesBankInterestRateDecision;20190919;08:00;Norges Bank Interest Rate Decision;Norway;NOK;1
GBP_RetailSales;20190919;08:30;Retail Sales (MoM);United Kingdom;GBP;2
GBP_BoEAssetPurchaseFacility;20190919;11:00;BoE Asset Purchase Facility;United Kingdom;GBP;3
GBP_BoEInterestRateDecision;20190919;11:00;BoE Interest Rate Decision;United Kingdom;GBP;3
GBP_MonetaryPolicySummary;20190919;11:00;Monetary Policy Summary;United Kingdom;GBP;3
GBP_BankofEnglandMinutes;20190919;11:00;Bank of England Minutes;United Kingdom;GBP;3
GBP_BoEMPCVoteRateHike;20190919;11:00;BoE MPC Vote Rate Hike;United Kingdom;GBP;3
GBP_BoEMPCVoteRateUnchanged;20190919;11:00;BoE MPC Vote Rate Unchanged;United Kingdom;GBP;3
GBP_BoEMPCVoteRateCut;20190919;11:00;BoE MPC Vote Rate Cut;United Kingdom;GBP;3
EUR_EurCentralBankSpeech;20190919;12:00;ECB Lautenschläger speech;European Monetary Union;EUR;2
USD_CurrentAccount;20190919;12:30;Current Account;United States;USD;1
USD_JoblessClaims;20190919;12:30;Initial Jobless Claims;United States;USD;2
CAD_ADPEmploymentChange;20190919;12:30;ADP Employment Change;Canada;CAD;1
USD_PhiladelphiaFedManufacturingSurvey;20190919;12:30;Philadelphia Fed Manufacturing Survey;United States;USD;2
RUB_CentralBankReserves;20190919;13:00;Central Bank Reserves $;Russia;RUB;1
ZAR_SARBInterestRateDecision;20190919;13:00;SARB Interest Rate Decision;South Africa;ZAR;1
USD_ExistingHomeSales;20190919;14:00;Existing Home Sales (MoM);United States;USD;2
USD_ExistingHomeSalesChange;20190919;14:00;Existing Home Sales Change (MoM);United States;USD;1
USD_EIANaturalGasStorageChange;20190919;14:30;EIA Natural Gas Storage Change;United States;USD;1
USD_Auction;20190919;15:30;4-Week Bill Auction;United States;USD;1
JPY_NationalCPIexFreshFood;20190919;23:30;National CPI ex-Fresh Food (YoY);Japan;JPY;2
JPY_NationalCPIexFoodEnergy;20190919;23:30;National CPI ex Food, Energy (YoY);Japan;JPY;2
JPY_ConsumerPriceIndex;20190919;23:30;National Consumer Price Index (YoY);Japan;JPY;2
JPY_ForeignInvestmentinJapanStocks;20190919;23:50;Foreign Investment in Japan Stocks;Japan;JPY;1
JPY_ForeignBondInvestment;20190919;23:50;Foreign Bond Investment;Japan;JPY;1
