ZAR_HeritageDay;20190924;00:00;Heritage Day;South Africa;ZAR;0
JPY_JibunBankManufacturingPMI;20190924;00:30;Jibun Bank Manufacturing PMI;Japan;JPY;1
JPY_LeadingEconomicIndex;20190924;05:00;Leading Economic Index;Japan;JPY;2
JPY_CoincidentIndex;20190924;05:00;Coincident Index;Japan;JPY;1
JPY_CentralBankSpeech;20190924;05:30;BoJ Governor Kuroda speech;Japan;JPY;3
EUR_FraBusinessClimateinManufacturing;20190924;06:45;Business Climate in Manufacturing;France;EUR;1
TRY_ManufacturingConfidence;20190924;07:00;Manufacturing Confidence;Turkey;TRY;1
TRY_CapacityUtilization;20190924;07:00;Capacity Utilization;Turkey;TRY;1
PLN_Unemployment;20190924;08:00;Unemployment (MoM);Poland;PLN;1
EUR_GerIFO–BusinessClimate;20190924;08:00;IFO – Business Climate;Germany;EUR;2
EUR_GerIFO–Expectations;20190924;08:00;IFO – Expectations;Germany;EUR;2
EUR_GerIFO–CurrentAssessment;20190924;08:00;IFO – Current Assessment;Germany;EUR;2
GBP_PublicSectorNetBorrowing;20190924;08:30;Public Sector Net Borrowing;United Kingdom;GBP;2
GBP_UKcourtrulingonforcingnodealBrexit;20190924;09:30;UK court ruling on forcing no-deal Brexit;United Kingdom;GBP;2
GBP_Auction;20190924;09:45;30-y Bond Auction;United Kingdom;GBP;1
AUD_CentralBankSpeech;20190924;09:55;RBA Governor Lowe speech;Australia;AUD;3
GBP_CBIIndustrialTrendsSurvey–Orders;20190924;10:00;CBI Industrial Trends Survey – Orders (MoM);United Kingdom;GBP;1
HUF_MNBInterestRateDecision;20190924;12:00;MNB Interest Rate Decision;Hungary;HUF;1
BRL_MidmonthInflation;20190924;12:00;Mid-month Inflation;Brazil;BRL;1
USD_RedbookIndex;20190924;12:55;Redbook Index (YoY);United States;USD;1
USD_S&PCaseShillerHomePriceIndices;20190924;13:00;S&P/Case-Shiller Home Price Indices (YoY);United States;USD;2
USD_HousingPriceIndex;20190924;13:00;Housing Price Index (MoM);United States;USD;2
MXN_1sthalfmonthCoreInflation;20190924;13:00;1st half-month Core Inflation;Mexico;MXN;1
MXN_1sthalfmonthInflation;20190924;13:00;1st half-month Inflation;Mexico;MXN;1
USD_ConsumerConfidence;20190924;14:00;Consumer Confidence;United States;USD;2
USD_RichmondFedManufacturingIndex;20190924;14:00;Richmond Fed Manufacturing Index;United States;USD;1
EUR_EurCentralBankSpeech;20190924;16:30;ECB De Guindos speech;European Monetary Union;EUR;2
USD_Auction;20190924;17:00;2-Year Note Auction;United States;USD;1
USD_APIWeeklyCrudeOilStock;20190924;20:30;API Weekly Crude Oil Stock;United States;USD;1
NZD_TradeBalanceNZD;20190924;22:45;Trade Balance NZD (MoM);New Zealand;NZD;1
NZD_Exports;20190924;22:45;Exports;New Zealand;NZD;2
NZD_Imports;20190924;22:45;Imports;New Zealand;NZD;1
JPY_CorporateServicePriceIndex;20190924;23:50;Corporate Service Price Index (YoY);Japan;JPY;1
JPY_BoJMonetaryPolicyMeetingMinutes;20190924;23:50;BoJ Monetary Policy Meeting Minutes;Japan;JPY;3
