GBP_BRCShopPriceIndex;20191127;00:01;BRC Shop Price Index (YoY);United Kingdom;GBP;1
AUD_ConstructionWorkDone;20191127;00:30;Construction Work Done;Australia;AUD;1
JPY_CentralBankSpeech;20191127;01:30;BoJ Sakurai speech;Japan;JPY;2
EUR_GerImportPriceIndex;20191127;07:00;Import Price Index (MoM);Germany;EUR;1
NOK_LabourForceSurvey;20191127;07:00;Labour Force Survey;Norway;NOK;1
EUR_FraConsumerConfidence;20191127;07:45;Consumer Confidence;France;EUR;1
HUF_UnemploymentRate;20191127;08:00;Unemployment Rate (3M);Hungary;HUF;1
SEK_TradeBalance;20191127;08:30;Trade Balance (MoM);Sweden;SEK;1
CHF_ZEWSurvey–Expectations;20191127;09:00;ZEW Survey – Expectations;Switzerland;CHF;2
EUR_ItaBusinessConfidence;20191127;09:00;Business Confidence;Italy;EUR;1
EUR_ItaConsumerConfidence;20191127;09:00;Consumer Confidence;Italy;EUR;1
PLN_Unemployment;20191127;09:00;Unemployment (MoM);Poland;PLN;1
EUR_EurCentralBankSpeech;20191127;09:30;ECB Lane speech;European Monetary Union;EUR;2
MXN_JoblessRate;20191127;12:00;Jobless Rate;Mexico;MXN;1
MXN_TradeBalancesa;20191127;12:00;Trade Balance s/a, $;Mexico;MXN;1
MXN_TradeBalance;20191127;12:00;Trade Balance, $;Mexico;MXN;1
USD_MBAMortgageApplications;20191127;12:00;MBA Mortgage Applications;United States;USD;1
USD_JoblessClaims;20191127;13:30;Continuing Jobless Claims;United States;USD;1
USD_GrossDomesticProduct;20191127;13:30;Gross Domestic Product Annualized;United States;USD;3
USD_PersonalConsumptionExpendituresPrices;20191127;13:30;Personal Consumption Expenditures Prices (QoQ);United States;USD;2
USD_CorePersonalConsumptionExpenditures;20191127;13:30;Core Personal Consumption Expenditures (QoQ);United States;USD;2
USD_DurableGoodsOrders;20191127;13:30;Durable Goods Orders ex Transportation;United States;USD;2
USD_NondefenseCapitalGoodsOrdersexAircraft;20191127;13:30;Nondefense Capital Goods Orders ex Aircraft;United States;USD;3
USD_ChicagoPurchasingManagers'Index;20191127;14:45;Chicago Purchasing Managers' Index;United States;USD;2
USD_CorePersonalConsumptionExpendituresPriceIndex;20191127;15:00;Core Personal Consumption Expenditures - Price Index (MoM);United States;USD;2
USD_PersonalConsumptionExpendituresPriceIndex;20191127;15:00;Personal Consumption Expenditures - Price Index (YoY);United States;USD;1
USD_PersonalIncome;20191127;15:00;Personal Income (MoM);United States;USD;2
USD_PersonalSpending;20191127;15:00;Personal Spending;United States;USD;2
USD_PendingHomeSales;20191127;15:00;Pending Home Sales (MoM);United States;USD;2
USD_EIACrudeOilStocksChange;20191127;15:30;EIA Crude Oil Stocks Change;United States;USD;1
USD_Auction;20191127;16:00;7-Year Note Auction;United States;USD;1
USD_EIANaturalGasStorageChange;20191127;17:00;EIA Natural Gas Storage Change;United States;USD;1
USD_BakerHughesUSOilRigCount;20191127;18:00;Baker Hughes US Oil Rig Count;United States;USD;1
USD_FedBeigeBook;20191127;19:00;Fed Beige Book;United States;USD;2
KRW_BOKManufacturingBSI;20191127;21:00;BOK Manufacturing BSI;South Korea;KRW;1
NZD_TotalFilledJobs;20191127;21:45;Total Filled Jobs;New Zealand;NZD;2
JPY_ForeignInvestmentinJapanStocks;20191127;23:50;Foreign Investment in Japan Stocks;Japan;JPY;1
JPY_ForeignBondInvestment;20191127;23:50;Foreign Bond Investment;Japan;JPY;1
JPY_RetailTrade;20191127;23:50;Retail Trade (YoY);Japan;JPY;2
JPY_LargeRetailerSales;20191127;23:50;Large Retailer Sales;Japan;JPY;2
