AUD_BuildingPermits;20200108;00:30;Building Permits (YoY);Australia;AUD;1
JPY_ConsumerConfidenceIndex;20200108;05:00;Consumer Confidence Index;Japan;JPY;1
ZAR_Gross$Gold&ForexReserve;20200108;06:00;Gross $Gold & Forex Reserve ;South Africa;ZAR;1
ZAR_Net$Gold&ForexReserve;20200108;06:00;Net $Gold & Forex Reserve;South Africa;ZAR;1
DKK_UnemploymentRate;20200108;07:00;Unemployment Rate;Denmark;DKK;1
NOK_ManufacturingOutput;20200108;07:00;Manufacturing Output;Norway;NOK;1
EUR_GerFactoryOrders;20200108;07:00;Factory Orders n.s.a. (YoY);Germany;EUR;1
EUR_FraExportsEUR;20200108;07:45;Exports, EUR;France;EUR;1
EUR_FraImportsEUR;20200108;07:45;Imports, EUR;France;EUR;1
EUR_FraTradeBalanceEUR;20200108;07:45;Trade Balance EUR;France;EUR;1
EUR_FraConsumerConfidence;20200108;07:45;Consumer Confidence;France;EUR;1
EUR_FraCurrentAccount;20200108;07:45;Current Account;France;EUR;1
HUF_IndustrialOutput;20200108;08:00;Industrial Output (YoY);Hungary;HUF;1
HUF_TradeBalance;20200108;08:00;Trade Balance;Hungary;HUF;1
SEK_RetailSales;20200108;08:30;Retail Sales (MoM);Sweden;SEK;1
GBP_HalifaxHousePrices;20200108;08:30;Halifax House Prices (YoY/3m);United Kingdom;GBP;1
CZK_FXReserves;20200108;09:00;FX Reserves;Czech Republic;CZK;1
EUR_EurIndustrialConfidence;20200108;10:00;Industrial Confidence;European Monetary Union;EUR;1
EUR_EurConsumerConfidence;20200108;10:00;Consumer Confidence;European Monetary Union;EUR;1
EUR_EurServicesSentiment;20200108;10:00;Services Sentiment;European Monetary Union;EUR;1
EUR_EurBusinessClimate;20200108;10:00;Business Climate;European Monetary Union;EUR;2
EUR_EurEconomicSentimentIndicator;20200108;10:00;Economic Sentiment Indicator;European Monetary Union;EUR;1
EUR_GerAuction;20200108;10:30;10-y Bond Auction;Germany;EUR;2
CLP_ConsumerPriceIndex;20200108;11:00;Core Consumer Price Index (Inflation) (MoM);Chile;CLP;1
USD_MBAMortgageApplications;20200108;12:00;MBA Mortgage Applications;United States;USD;1
RON_Interestratedecision;20200108;13:00;Interest rate decision;Romania;RON;1
EUR_EurCentralBankSpeech;20200108;13:00;ECB De Guindos speech;European Monetary Union;EUR;2
PLN_NBPBaserate;20200108;13:00;NBP Base rate;Poland;PLN;1
USD_ADPEmploymentChange;20200108;13:15;ADP Employment Change;United States;USD;2
TRY_TreasuryCashBalance;20200108;14:30;Treasury Cash Balance;Turkey;TRY;1
USD_CentralBankSpeech;20200108;15:00;Fed Brainard speech;United States;USD;2
USD_EIACrudeOilStocksChange;20200108;15:30;EIA Crude Oil Stocks Change;United States;USD;1
USD_Auction;20200108;18:00;10-Year Note Auction;United States;USD;1
USD_ConsumerCreditChange;20200108;20:00;Consumer Credit Change;United States;USD;1
JPY_ForeignBondInvestment;20200108;23:50;Foreign Bond Investment;Japan;JPY;1
JPY_ForeignInvestmentinJapanStocks;20200108;23:50;Foreign Investment in Japan Stocks;Japan;JPY;1
