NOK_RetailSales;20200728;05:00;Retail Sales ;Norway;NOK;1
SEK_RetailSales;20200728;07:30;Retail Sales (MoM);Sweden;SEK;1
SEK_TradeBalance;20200728;07:30;Trade Balance (MoM);Sweden;SEK;1
GBP_CBIDistributiveTradesSurvey–Realized;20200728;10:00;CBI Distributive Trades Survey – Realized (MoM);United Kingdom;GBP;1
BRL_CurrentAccount;20200728;12:30;Current Account;Brazil;BRL;1
USD_RedbookIndex;20200728;12:55;Redbook Index (YoY);United States;USD;1
USD_S&PCaseShillerHomePriceIndices;20200728;13:00;S&P/Case-Shiller Home Price Indices (YoY);United States;USD;2
USD_ConsumerConfidence;20200728;14:00;Consumer Confidence;United States;USD;2
USD_RichmondFedManufacturingIndex;20200728;14:00;Richmond Fed Manufacturing Index;United States;USD;1
USD_Auction;20200728;17:00;7-Year Note Auction;United States;USD;1
USD_APIWeeklyCrudeOilStock;20200728;20:30;API Weekly Crude Oil Stock;United States;USD;1
KRW_ConsumerSentimentIndex;20200728;21:00;Consumer Sentiment Index;South Korea;KRW;1
GBP_BRCShopPriceIndex;20200728;23:01;BRC Shop Price Index (YoY);United Kingdom;GBP;1
