RUB_S&PGlobalManufacturingPMI;20201230;06:00;S&P Global Manufacturing PMI;Russia;RUB;1
GBP_NationwideHousingPrices;20201230;07:00;Nationwide Housing Prices s.a (MoM);United Kingdom;GBP;1
CHF_KOFLeadingIndicator;20201230;08:00;KOF Leading Indicator;Switzerland;CHF;2
CHF_ZEWSurvey–Expectations;20201230;09:00;ZEW Survey – Expectations;Switzerland;CHF;2
INR_TradeDeficit–RBI;20201230;11:30;Trade Deficit – RBI;India;INR;1
INR_M3MoneySupply;20201230;11:30;M3 Money Supply;India;INR;1
INR_BalancePayment;20201230;11:30;Balance Payment $;India;INR;1
INR_CurrentAccount;20201230;11:30;Current Account Balance $;India;INR;1
BRL_PrimaryBudgetSurplus;20201230;12:30;Primary Budget Surplus;Brazil;BRL;1
BRL_NominalBudgetBalance;20201230;12:30;Nominal Budget Balance;Brazil;BRL;1
USD_WholesaleInventories;20201230;13:30;Wholesale Inventories;United States;USD;1
USD_GoodsTradeBalance;20201230;13:30;Goods Trade Balance;United States;USD;1
AUD_NewYearholiday;20201230;14:00;New Year holiday;Australia;AUD;0
USD_ChicagoPurchasingManagers'Index;20201230;14:45;Chicago Purchasing Managers' Index;United States;USD;2
USD_PendingHomeSales;20201230;15:00;Pending Home Sales (YoY);United States;USD;1
USD_EIACrudeOilStocksChange;20201230;15:30;EIA Crude Oil Stocks Change;United States;USD;1
COP_NationalJoblessRate;20201230;16:00;National Jobless Rate;Colombia;COP;1
USD_BakerHughesUSOilRigCount;20201230;18:00;Baker Hughes US Oil Rig Count;United States;USD;1
MXN_FiscalBalancepesos;20201230;21:00;Fiscal Balance, pesos;Mexico;MXN;1
GBP_UKParliamentaryVoteonBrexit;20201230;21:00;UK Parliamentary Vote on Brexit;United Kingdom;GBP;2
SEK_NewYearsEve;20201230;22:00;New Years Eve;Sweden;SEK;0
KRW_ConsumerPriceIndex;20201230;23:00;Consumer Price Index Growth (MoM);South Korea;KRW;1
EUR_GerNewYearEve;20201230;23:00;New Year Eve;Germany;EUR;0
