HUF_TradeBalance;20210329;07:30;Trade Balance;Hungary;HUF;1
GBP_NetLendingtoIndividuals;20210329;08:30;Net Lending to Individuals (MoM);United Kingdom;GBP;1
GBP_ConsumerCredit;20210329;08:30;Consumer Credit;United Kingdom;GBP;1
GBP_MortgageApprovals;20210329;08:30;Mortgage Approvals;United Kingdom;GBP;1
GBP_M4MoneySupply;20210329;08:30;M4 Money Supply (MoM);United Kingdom;GBP;1
USD_DallasFedManufacturingBusinessIndex;20210329;14:30;Dallas Fed Manufacturing Business Index;United States;USD;1
USD_Auction;20210329;15:30;6-Month Bill Auction;United States;USD;1
NZD_BuildingPermits;20210329;21:45;Building Permits s.a. (MoM);New Zealand;NZD;2
JPY_JobsApplicantsRatio;20210329;23:30;Jobs / Applicants Ratio;Japan;JPY;2
JPY_UnemploymentRate;20210329;23:30;Unemployment Rate;Japan;JPY;2
JPY_LargeRetailerSales;20210329;23:50;Large Retailer Sales;Japan;JPY;2
JPY_RetailTrade;20210329;23:50;Retail Trade s.a (MoM);Japan;JPY;2
