DKK_RetailSales;20210727;06:00;Retail Sales (YoY);Denmark;DKK;1
JPY_CentralBankSpeech;20210727;07:30;BoJ Governor Kuroda speech;Japan;JPY;3
SEK_TradeBalance;20210727;07:30;Trade Balance (MoM);Sweden;SEK;1
EUR_ItaTradeBalancenonEU;20210727;08:00;Trade Balance non-EU;Italy;EUR;1
EUR_EurM3MoneySupply;20210727;08:00;M3 Money Supply (YoY);European Monetary Union;EUR;1
EUR_EurPrivateLoans;20210727;08:00;Private Loans (YoY);European Monetary Union;EUR;1
MXN_TradeBalance;20210727;11:00;Trade Balance, $;Mexico;MXN;1
MXN_TradeBalancesa;20210727;11:00;Trade Balance s/a, $;Mexico;MXN;1
HUF_MNBInterestRateDecision;20210727;12:00;MNB Interest Rate Decision;Hungary;HUF;1
BRL_CurrentAccount;20210727;12:30;Current Account;Brazil;BRL;1
USD_DurableGoodsOrders;20210727;12:30;Durable Goods Orders ex Defense;United States;USD;2
USD_NondefenseCapitalGoodsOrdersexAircraft;20210727;12:30;Nondefense Capital Goods Orders ex Aircraft;United States;USD;3
AUD_CentralBankSpeech;20210727;12:35;RBA Debelle speech;Australia;AUD;2
USD_RedbookIndex;20210727;12:55;Redbook Index (YoY);United States;USD;1
USD_S&PCaseShillerHomePriceIndices;20210727;13:00;S&P/Case-Shiller Home Price Indices (YoY);United States;USD;2
USD_HousingPriceIndex;20210727;13:00;Housing Price Index (MoM);United States;USD;2
USD_ConsumerConfidence;20210727;14:00;Consumer Confidence;United States;USD;2
USD_RichmondFedManufacturingIndex;20210727;14:00;Richmond Fed Manufacturing Index;United States;USD;1
USD_Auction;20210727;17:00;5-Year Note Auction;United States;USD;1
USD_APIWeeklyCrudeOilStock;20210727;20:30;API Weekly Crude Oil Stock;United States;USD;1
KRW_ConsumerSentimentIndex;20210727;21:00;Consumer Sentiment Index;South Korea;KRW;1
GBP_BRCShopPriceIndex;20210727;23:01;BRC Shop Price Index (YoY);United Kingdom;GBP;1
JPY_BoJSummaryofOpinions;20210727;23:50;BoJ Summary of Opinions;Japan;JPY;1
