SEK_ProducerPriceIndex;20211026;07:30;Producer Price Index (MoM);Sweden;SEK;1
EUR_EurECBBankLendingSurvey;20211026;08:00;ECB Bank Lending Survey;European Monetary Union;EUR;3
BRL_MidmonthInflation;20211026;12:00;Mid-month Inflation;Brazil;BRL;1
USD_RedbookIndex;20211026;12:55;Redbook Index (YoY);United States;USD;1
USD_S&PCaseShillerHomePriceIndices;20211026;13:00;S&P/Case-Shiller Home Price Indices (YoY);United States;USD;2
USD_HousingPriceIndex;20211026;13:00;Housing Price Index (MoM);United States;USD;2
USD_ConsumerConfidence;20211026;14:00;Consumer Confidence;United States;USD;2
USD_NewHomeSalesChange;20211026;14:00;New Home Sales Change (MoM);United States;USD;1
USD_NewHomeSales;20211026;14:00;New Home Sales (MoM);United States;USD;2
USD_RichmondFedManufacturingIndex;20211026;14:00;Richmond Fed Manufacturing Index;United States;USD;1
USD_Auction;20211026;17:00;2-Year Note Auction;United States;USD;1
USD_APIWeeklyCrudeOilStock;20211026;20:30;API Weekly Crude Oil Stock;United States;USD;1
KRW_ConsumerSentimentIndex;20211026;21:00;Consumer Sentiment Index;South Korea;KRW;1
NZD_TradeBalanceNZD;20211026;21:45;Trade Balance NZD (MoM);New Zealand;NZD;1
NZD_Imports;20211026;21:45;Imports;New Zealand;NZD;2
NZD_Exports;20211026;21:45;Exports;New Zealand;NZD;2
GBP_BRCShopPriceIndex;20211026;23:01;BRC Shop Price Index (YoY);United Kingdom;GBP;1
