CNY_CaixinServicesPMI;20230105;01:45;Caixin Services PMI;China;CNY;2
JPY_Auction;20230105;03:35;10-y Bond Auction;Japan;JPY;1
JPY_ConsumerConfidenceIndex;20230105;05:00;Consumer Confidence Index;Japan;JPY;1
DKK_IndustrialOutlook;20230105;07:00;Industrial Outlook;Denmark;DKK;1
EUR_GerImports;20230105;07:00;Imports (MoM);Germany;EUR;1
EUR_GerExports;20230105;07:00;Exports (MoM);Germany;EUR;1
EUR_GerTradeBalance;20230105;07:00;Trade Balance s.a.;Germany;EUR;2
HUF_ProducerPriceIndex;20230105;07:30;Producer Price Index (YoY);Hungary;HUF;1
BRL_FipeIPCInflation;20230105;08:00;Fipe IPC Inflation;Brazil;BRL;1
GBP_S&PGlobalCIPSCompositePMI;20230105;09:30;S&P Global/CIPS Composite PMI;United Kingdom;GBP;2
GBP_S&PGlobalCIPSServicesPMI;20230105;09:30;S&P Global/CIPS Services PMI;United Kingdom;GBP;1
EUR_FraAuction;20230105;09:50;10-y Bond Auction;France;EUR;1
EUR_ItaConsumerPriceIndex;20230105;10:00;Consumer Price Index (EU Norm) (YoY);Italy;EUR;1
EUR_EurProducerPriceIndex;20230105;10:00;Producer Price Index (YoY);European Monetary Union;EUR;1
ILS_FXReserves;20230105;11:00;FX Reserves;Israel;ILS;1
COP_ConsumerPriceIndex;20230105;11:00;Consumer Price Index (MoM);Colombia;COP;1
BRL_IndustrialOutput;20230105;12:00;Industrial Output (YoY);Brazil;BRL;1
MXN_ConsumerConfidence;20230105;12:00;Consumer Confidence s.a;Mexico;MXN;1
USD_ChallengerJobCuts;20230105;12:30;Challenger Job Cuts;United States;USD;1
PLN_CentralBankFXReserves;20230105;13:00;Central Bank FX Reserves;Poland;PLN;1
USD_ADPEmploymentChange;20230105;13:15;ADP Employment Change;United States;USD;3
USD_GoodsandServicesTradeBalance;20230105;13:30;Goods and Services Trade Balance;United States;USD;2
USD_JoblessClaims;20230105;13:30;Continuing Jobless Claims;United States;USD;1
USD_GoodsTradeBalance;20230105;13:30;Goods Trade Balance;United States;USD;1
CAD_InternationalMerchandiseTrade;20230105;13:30;International Merchandise Trade;Canada;CAD;2
CAD_Exports;20230105;13:30;Exports;Canada;CAD;1
CAD_Imports;20230105;13:30;Imports;Canada;CAD;1
USD_S&PGlobalCompositePMI;20230105;14:45;S&P Global Composite PMI;United States;USD;2
USD_S&PGlobalServicesPMI;20230105;14:45;S&P Global Services PMI;United States;USD;2
USD_EIANaturalGasStorageChange;20230105;15:30;EIA Natural Gas Storage Change;United States;USD;1
USD_EIACrudeOilStocksChange;20230105;16:00;EIA Crude Oil Stocks Change;United States;USD;1
USD_Auction;20230105;16:30;4-Week Bill Auction;United States;USD;1
EUR_ItaEpiphany;20230105;22:00;Epiphany;Italy;EUR;0
SEK_Epiphany;20230105;22:00;Epiphany;Sweden;SEK;0
PLN_Epiphany;20230105;23:00;Epiphany;Poland;PLN;0
JPY_LaborCashEarnings;20230105;23:30;Labor Cash Earnings (YoY);Japan;JPY;1
