TRY_EconomicConfidenceIndex;20230130;07:00;Economic Confidence Index;Turkey;TRY;1
NOK_CreditIndicator;20230130;07:00;Credit Indicator;Norway;NOK;1
CHF_KOFLeadingIndicator;20230130;08:00;KOF Leading Indicator;Switzerland;CHF;2
EUR_ItaTradeBalancenonEU;20230130;09:00;Trade Balance non-EU;Italy;EUR;1
EUR_GerGrossDomesticProduct;20230130;09:00;Gross Domestic Product (YoY);Germany;EUR;2
EUR_ItaProducerPriceIndex;20230130;10:00;Producer Price Index (YoY);Italy;EUR;1
EUR_EurIndustrialConfidence;20230130;10:00;Industrial Confidence;European Monetary Union;EUR;1
EUR_EurEconomicSentimentIndicator;20230130;10:00;Economic Sentiment Indicator;European Monetary Union;EUR;1
EUR_EurServicesSentiment;20230130;10:00;Services Sentiment;European Monetary Union;EUR;1
EUR_EurConsumerConfidence;20230130;10:00;Consumer Confidence;European Monetary Union;EUR;2
EUR_EurBusinessClimate;20230130;10:09;Business Climate;European Monetary Union;EUR;2
BRL_InflationIndexIGPM;20230130;11:00;Inflation Index/IGP-M;Brazil;BRL;1
BRL_NominalBudgetBalance;20230130;12:30;Nominal Budget Balance;Brazil;BRL;1
BRL_PrimaryBudgetSurplus;20230130;12:30;Primary Budget Surplus;Brazil;BRL;1
CLP_Unemploymentrate;20230130;13:00;Unemployment rate;Chile;CLP;1
USD_DallasFedManufacturingBusinessIndex;20230130;15:30;Dallas Fed Manufacturing Business Index;United States;USD;1
USD_Auction;20230130;16:30;3-Month Bill Auction;United States;USD;1
MXN_FiscalBalancepesos;20230130;21:00;Fiscal Balance, pesos;Mexico;MXN;1
KRW_IndustrialOutputGrowth;20230130;23:00;Industrial Output Growth;South Korea;KRW;1
KRW_IndustrialOutput;20230130;23:00;Industrial Output (YoY);South Korea;KRW;1
KRW_ServiceSectorOutput;20230130;23:00;Service Sector Output;South Korea;KRW;1
JPY_JobsApplicantsRatio;20230130;23:30;Jobs / Applicants Ratio;Japan;JPY;2
JPY_UnemploymentRate;20230130;23:30;Unemployment Rate;Japan;JPY;2
JPY_IndustrialProduction;20230130;23:50;Industrial Production (MoM);Japan;JPY;2
JPY_RetailTrade;20230130;23:50;Retail Trade (YoY);Japan;JPY;2
JPY_LargeRetailerSales;20230130;23:50;Large Retailer Sales;Japan;JPY;2
