AUD_CentralBankSpeech;20230215;00:15;RBA Governor Lowe speech;Australia;AUD;3
KRW_TradeBalance;20230215;02:00;Trade Balance;South Korea;KRW;1
IDR_Imports;20230215;04:00;Imports;Indonesia;IDR;1
IDR_Exports;20230215;04:00;Exports;Indonesia;IDR;1
IDR_TradeBalance;20230215;04:00;Trade Balance;Indonesia;IDR;1
JPY_TertiaryIndustryIndex;20230215;04:30;Tertiary Industry Index (MoM);Japan;JPY;1
NOK_TradeBalance;20230215;07:00;Trade Balance;Norway;NOK;1
GBP_RetailPriceIndex;20230215;07:00;Retail Price Index (YoY);United Kingdom;GBP;2
NOK_GrossDomesticProduct;20230215;07:00;Gross Domestic Product Growth;Norway;NOK;1
GBP_ProducerPriceIndex;20230215;07:00;Producer Price Index - Input (MoM) n.s.a;United Kingdom;GBP;1
GBP_PPICoreOutput;20230215;07:00;PPI Core Output (YoY) n.s.a ;United Kingdom;GBP;2
GBP_ConsumerPriceIndex;20230215;07:00;Consumer Price Index (YoY);United Kingdom;GBP;3
TRY_BudgetBalance;20230215;08:00;Budget Balance;Turkey;TRY;1
ZAR_ConsumerPriceIndex;20230215;08:00;Consumer Price Index (MoM);South Africa;ZAR;1
INR_TradeDeficitGovernment;20230215;08:30;Trade Deficit Government;India;INR;1
PLN_ConsumerPriceIndex;20230215;09:00;Consumer Price Index (YoY);Poland;PLN;1
ZAR_BusinessConfidenceIndex;20230215;09:30;Business Confidence Index;South Africa;ZAR;1
GBP_DCLGHousePriceIndex;20230215;09:30;DCLG House Price Index (YoY);United Kingdom;GBP;1
EUR_EurTradeBalance;20230215;10:00;Trade Balance s.a.;European Monetary Union;EUR;1
EUR_EurIndustrialProduction;20230215;10:00;Industrial Production s.a. (MoM);European Monetary Union;EUR;2
EUR_GerAuction;20230215;10:30;30-y Bond Auction;Germany;EUR;1
ZAR_RetailSales;20230215;11:00;Retail Sales (YoY);South Africa;ZAR;1
USD_MBAMortgageApplications;20230215;12:00;MBA Mortgage Applications;United States;USD;1
CAD_HousingStarts;20230215;13:15;Housing Starts s.a (YoY);Canada;CAD;1
USD_NYEmpireStateManufacturingIndex;20230215;13:30;NY Empire State Manufacturing Index;United States;USD;1
USD_RetailSales;20230215;13:30;Retail Sales ex Autos (MoM);United States;USD;2
CAD_ManufacturingSales;20230215;13:30;Manufacturing Sales (MoM);Canada;CAD;1
CAD_WholesaleSales;20230215;13:30;Wholesale Sales (MoM);Canada;CAD;1
EUR_EurCentralBankSpeech;20230215;14:00;ECB President Lagarde speech;European Monetary Union;EUR;3
USD_CapacityUtilization;20230215;14:15;Capacity Utilization;United States;USD;1
USD_IndustrialProduction;20230215;14:15;Industrial Production (MoM);United States;USD;1
USD_BusinessInventories;20230215;15:00;Business Inventories;United States;USD;1
USD_NAHBHousingMarketIndex;20230215;15:00;NAHB Housing Market Index;United States;USD;1
USD_EIACrudeOilStocksChange;20230215;15:30;EIA Crude Oil Stocks Change;United States;USD;1
ILS_ConsumerPriceIndex;20230215;16:30;Consumer Price Index (YoY);Israel;ILS;1
COP_GrossDomesticProduct;20230215;17:15;Gross Domestic Product (YoY);Colombia;COP;1
USD_Auction;20230215;18:00;20-Year Bond Auction;United States;USD;1
USD_TotalNetTICFlows;20230215;21:00;Total Net TIC Flows;United States;USD;1
USD_NetLongTermTICFlows;20230215;21:00;Net Long-Term TIC Flows;United States;USD;1
NZD_VisitorArrivals;20230215;21:45;Visitor Arrivals (YoY);New Zealand;NZD;1
JPY_Exports;20230215;23:50;Exports (YoY);Japan;JPY;2
JPY_Imports;20230215;23:50;Imports (YoY);Japan;JPY;2
JPY_MerchandiseTradeBalanceTotal;20230215;23:50;Merchandise Trade Balance Total;Japan;JPY;2
JPY_AdjustedMerchandiseTradeBalance;20230215;23:50;Adjusted Merchandise Trade Balance;Japan;JPY;1
JPY_ForeignInvestmentinJapanStocks;20230215;23:50;Foreign Investment in Japan Stocks;Japan;JPY;1
JPY_ForeignBondInvestment;20230215;23:50;Foreign Bond Investment;Japan;JPY;1
JPY_MachineryOrders;20230215;23:50;Machinery Orders (MoM);Japan;JPY;1
