KRW_MoneySupplyGrowth;20230512;03:00;Money Supply Growth;South Korea;KRW;1
NZD_RBNZInflationExpectations;20230512;03:00;RBNZ Inflation Expectations (QoQ);New Zealand;NZD;2
GBP_GrossDomesticProduct;20230512;06:00;Gross Domestic Product (YoY);United Kingdom;GBP;2
RON_IndustrialProduction;20230512;06:00;Industrial Production (MoM);Romania;RON;1
GBP_IndustrialProduction;20230512;06:00;Industrial Production (MoM);United Kingdom;GBP;2
GBP_ManufacturingProduction;20230512;06:00;Manufacturing Production (MoM);United Kingdom;GBP;2
GBP_TotalBusinessInvestment;20230512;06:00;Total Business Investment (QoQ);United Kingdom;GBP;1
NOK_GrossDomesticProduct;20230512;06:00;Gross Domestic Product Growth Mainland;Norway;NOK;1
RON_ConsumerPriceIndex;20230512;06:00;Consumer Price Index;Romania;RON;1
GBP_IndexofServices;20230512;06:00;Index of Services (3M/3M);United Kingdom;GBP;1
GBP_TradeBalancenonEU;20230512;06:00;Trade Balance non-EU;United Kingdom;GBP;1
GBP_GoodsTradeBalance;20230512;06:00;Goods Trade Balance;United Kingdom;GBP;1
GBP_TotalTradeBalance;20230512;06:00;Total Trade Balance;United Kingdom;GBP;1
HUF_IndustrialOutput;20230512;06:30;Industrial Output (YoY);Hungary;HUF;1
EUR_FraConsumerPriceIndex;20230512;06:45;Consumer Price Index (EU norm) (MoM);France;EUR;1
EUR_FraInflationextobacco;20230512;06:45;Inflation ex-tobacco (MoM);France;EUR;1
EUR_GerCentralBankSpeech;20230512;07:15;German Buba President Nagel speech;Germany;EUR;2
EUR_EurCentralBankSpeech;20230512;08:00;ECB De Guindos speech;European Monetary Union;EUR;2
CZK_CurrentAccount;20230512;08:00;Current Account (MoM);Czech Republic;CZK;1
GBP_CentralBankSpeech;20230512;11:15;BoE Pill speech;United Kingdom;GBP;2
INR_FXReservesUSD;20230512;11:30;FX Reserves, USD;India;INR;1
BRL_IPCAInflation;20230512;12:00;IPCA Inflation;Brazil;BRL;1
GBP_NIESRGDPEstimate;20230512;12:00;NIESR GDP Estimate (3M);United Kingdom;GBP;2
MXN_IndustrialOutput;20230512;12:00;Industrial Output (YoY);Mexico;MXN;1
INR_ConsumerPriceIndex;20230512;12:00;Consumer Price Index (YoY);India;INR;1
INR_ManufacturingOutput;20230512;12:00;Manufacturing Output;India;INR;1
INR_IndustrialOutput;20230512;12:00;Industrial Output;India;INR;1
INR_CumulativeIndustrialOutput;20230512;12:00;Cumulative Industrial Output;India;INR;1
USD_ExportPriceIndex;20230512;12:30;Export Price Index (YoY);United States;USD;1
USD_ImportPriceIndex;20230512;12:30;Import Price Index (MoM);United States;USD;1
EUR_GerCurrentAccount;20230512;12:45;Current Account n.s.a.;Germany;EUR;1
RUB_ForeignTrade;20230512;13:00;Foreign Trade;Russia;RUB;1
USD_UoM5yearConsumerInflationExpectation;20230512;14:00;UoM 5-year Consumer Inflation Expectation;United States;USD;2
USD_MichiganConsumerSentimentIndex;20230512;14:00;Michigan Consumer Sentiment Index;United States;USD;3
COP_RetailSales;20230512;15:00;Retail Sales (YoY);Colombia;COP;1
COP_Industrialoutput;20230512;15:00;Industrial output (YoY);Colombia;COP;1
RUB_ConsumerPriceIndex;20230512;16:00;Consumer Price Index (MoM);Russia;RUB;1
USD_USDAWASDEReport;20230512;16:00;USDA WASDE Report;United States;USD;1
USD_BakerHughesUSOilRigCount;20230512;17:00;Baker Hughes US Oil Rig Count;United States;USD;1
EUR_EurCFTCEURNCNetPositions;20230512;20:30;CFTC EUR NC Net Positions;European Monetary Union;EUR;1
AUD_CFTCAUDNCNetPositions;20230512;20:30;CFTC AUD NC Net Positions;Australia;AUD;1
USD_CFTCS&P500NCNetPositions;20230512;20:30;CFTC S&P 500 NC Net Positions;United States;USD;1
GBP_CFTCGBPNCNetPositions;20230512;20:30;CFTC GBP NC Net Positions;United Kingdom;GBP;1
USD_CFTCGoldNCNetPositions;20230512;20:30;CFTC Gold NC Net Positions;United States;USD;1
USD_CFTCOilNCNetPositions;20230512;20:30;CFTC Oil NC Net Positions;United States;USD;1
JPY_CFTCJPYNCNetPositions;20230512;20:30;CFTC JPY NC Net Positions;Japan;JPY;1
CLP_BCCHInterestRate;20230512;22:00;BCCH Interest Rate;Chile;CLP;1
USD_CentralBankSpeech;20230512;23:45;Fed Jefferson speech;United States;USD;2
