AUD_ConsumerPriceIndex;20230628;01:30;Monthly Consumer Price Index (YoY);Australia;AUD;3
EUR_GerGfkConsumerConfidenceSurvey;20230628;06:00;Gfk Consumer Confidence Survey;Germany;EUR;2
DKK_RetailSales;20230628;06:00;Retail Sales (YoY);Denmark;DKK;1
NOK_RetailSales;20230628;06:00;Retail Sales ;Norway;NOK;1
EUR_FraConsumerConfidence;20230628;06:45;Consumer Confidence;France;EUR;1
CHF_ZEWSurvey–Expectations;20230628;08:00;ZEW Survey – Expectations;Switzerland;CHF;2
EUR_ItaProducerPriceIndex;20230628;08:00;Producer Price Index (MoM);Italy;EUR;1
EUR_EurPrivateLoans;20230628;08:00;Private Loans (YoY);European Monetary Union;EUR;1
EUR_EurM3MoneySupply;20230628;08:00;M3 Money Supply (3m);European Monetary Union;EUR;1
EUR_ItaConsumerPriceIndex;20230628;09:00;Consumer Price Index (EU Norm) (MoM);Italy;EUR;1
EUR_ItaIndustrialSales;20230628;10:00;Industrial Sales n.s.a. (YoY);Italy;EUR;1
USD_MBAMortgageApplications;20230628;11:00;MBA Mortgage Applications;United States;USD;1
INR_M3MoneySupply;20230628;11:30;M3 Money Supply;India;INR;1
USD_WholesaleInventories;20230628;12:30;Wholesale Inventories;United States;USD;1
USD_GoodsTradeBalance;20230628;12:30;Goods Trade Balance;United States;USD;1
CHF_SNBQuarterlyBulletin;20230628;13:00;SNB Quarterly Bulletin;Switzerland;CHF;2
EUR_EurCentralBankSpeech;20230628;13:30;ECB President Lagarde speech;European Monetary Union;EUR;3
GBP_CentralBankSpeech;20230628;13:30;BoE Governor Bailey speech;United Kingdom;GBP;3
USD_CentralBankSpeech;20230628;13:30;Fed Chair Powell speech;United States;USD;3
JPY_CentralBankSpeech;20230628;13:30;BoJ Governor Ueda speech;Japan;JPY;3
USD_EIACrudeOilStocksChange;20230628;14:30;EIA Crude Oil Stocks Change;United States;USD;1
RUB_UnemploymentRate;20230628;16:00;Unemployment Rate;Russia;RUB;1
RUB_IndustrialOutput;20230628;16:00;Industrial Output;Russia;RUB;1
IDR_EidAlAdha;20230628;17:00;Eid Al Adha;Indonesia;IDR;0
USD_Auction;20230628;17:00;7-Year Note Auction;United States;USD;1
INR_IdulJuha;20230628;18:30;Idul Juha;India;INR;0
USD_BankStressTestInfo;20230628;20:30;Bank Stress Test Info;United States;USD;3
KRW_BOKManufacturingBSI;20230628;21:00;BOK Manufacturing BSI;South Korea;KRW;1
JPY_ForeignInvestmentinJapanStocks;20230628;23:50;Foreign Investment in Japan Stocks;Japan;JPY;1
JPY_ForeignBondInvestment;20230628;23:50;Foreign Bond Investment;Japan;JPY;1
JPY_RetailTrade;20230628;23:50;Retail Trade (YoY);Japan;JPY;2
JPY_LargeRetailerSales;20230628;23:50;Large Retailer Sales;Japan;JPY;2
